MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD-PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,TOTAL
DURANGO,108,B,193,103,57,3,1,0,0,1,358,0,3,361
DURANGO,108,C,185,113,49,3,0,0,0,0,350,0,4,354
DURANGO,108,C,197,99,48,1,0,0,1,1,347,0,5,352
DURANGO,109,B,59,101,32,8,0,0,0,2,202,0,0,202
DURANGO,109,C,52,76,36,2,0,0,0,0,166,0,1,167
DURANGO,110,B,84,94,68,7,0,0,1,0,254,0,2,256
DURANGO,110,C,106,122,62,5,0,0,0,2,297,0,6,303
DURANGO,110,C,91,108,60,3,0,0,1,1,264,0,3,267
DURANGO,110,C,82,99,50,4,1,1,0,3,240,1,5,246
DURANGO,110,C,81,125,59,8,1,0,0,3,277,0,0,277
DURANGO,110,C,81,106,64,1,1,0,0,1,254,0,14,268
DURANGO,110,C,85,109,61,8,2,0,0,0,265,0,4,269
DURANGO,110,C,84,107,48,2,0,0,0,1,242,0,3,245
DURANGO,111,B,91,93,78,4,0,0,0,1,267,0,5,272
DURANGO,111,C,85,87,70,10,1,0,1,1,255,0,1,256
DURANGO,111,C,82,80,79,4,0,0,1,3,249,0,4,253
DURANGO,111,C,91,91,77,8,0,0,0,3,270,0,0,270
DURANGO,111,C,83,91,71,4,0,0,1,4,254,2,1,257
DURANGO,112,B,108,107,77,5,1,0,1,1,300,0,4,304
DURANGO,113,B,66,71,42,6,0,0,0,1,186,0,1,187
DURANGO,113,C,69,80,34,6,0,0,0,2,191,0,0,191
DURANGO,114,B,74,71,69,8,1,0,3,0,226,0,0,226
DURANGO,114,C,75,79,53,8,1,0,2,0,218,0,0,218
DURANGO,115,B,140,156,84,9,0,0,2,3,394,0,2,396
DURANGO,116,B,114,134,59,6,1,0,0,0,314,0,1,315
DURANGO,117,B,94,74,21,7,3,0,0,0,199,0,3,202
DURANGO,117,C,88,70,52,3,2,0,1,0,216,0,3,219
DURANGO,118,B,68,69,82,7,0,0,1,6,233,0,7,240
DURANGO,118,C,58,67,82,2,1,0,2,6,218,0,2,220
DURANGO,118,C,63,84,78,4,1,0,0,7,237,0,9,246
DURANGO,118,C,79,69,83,5,1,0,0,6,243,0,5,248
DURANGO,119,B,18,50,103,1,0,0,2,6,180,0,5,185
DURANGO,119,C,14,48,76,0,1,0,0,6,145,0,0,145
DURANGO,120,B,18,66,91,1,1,0,0,1,178,0,5,183
DURANGO,120,C,25,60,72,3,2,0,1,5,168,0,6,174
DURANGO,121,B,44,62,113,5,1,0,0,8,233,0,8,241
DURANGO,122,B,23,74,129,4,2,0,0,1,233,0,9,242
DURANGO,123,B,35,75,154,5,0,0,2,2,273,0,6,279
DURANGO,124,B,36,80,106,2,1,1,1,2,229,0,3,232
DURANGO,124,C,28,59,125,2,1,0,3,2,220,0,7,227
DURANGO,125,B,43,63,171,11,0,0,1,3,292,0,12,304
DURANGO,126,B,47,60,111,2,0,0,0,7,227,0,8,235
DURANGO,126,C,37,55,118,2,1,0,2,7,222,0,12,234
DURANGO,127,B,35,71,95,2,0,0,1,3,207,0,5,212
DURANGO,127,C,40,71,86,3,1,0,2,3,206,0,5,211
DURANGO,128,B,35,140,103,0,3,0,0,2,283,0,6,289
DURANGO,128,C,32,163,96,2,0,0,1,1,295,0,4,299
DURANGO,128,C,34,152,118,1,1,1,1,3,311,0,11,322
