Municipio,Seccion,Tipo,PAN-PRD-PC,PRI-PVEM-PANAL-PD,PT,Validos,No Registrados,Nulos,Total,Nominal,,
CANATLAN,1,B ,149,182,29,360,1,17,378,692,,
CANATLAN,2,B ,159,107,20,286,0,5,291,494,,
CANATLAN,2,C ,152,98,23,273,0,10,283,494,,
CANATLAN,3,B ,161,182,33,376,0,11,387,610,,
CANATLAN,3,C 1 ,173,182,26,381,0,9,390,610,,
CANATLAN,3,C 2 ,184,170,28,382,2,6,390,611,,
CANATLAN,4,B ,123,132,23,278,0,9,287,486,,
CANATLAN,4,C ,121,136,14,271,0,8,279,486,,
CANATLAN,5,B ,144,164,34,342,0,15,357,603,,
CANATLAN,5,C ,138,156,28,322,0,20,342,603,,
CANATLAN,6,B ,148,133,37,318,0,11,329,566,,
CANATLAN,6,C 1 ,179,127,41,347,0,11,358,567,,
CANATLAN,6,C 2 ,154,126,32,312,0,10,322,567,,
CANATLAN,7,B ,150,184,27,361,0,19,380,663,,
CANATLAN,8,B ,129,79,9,217,0,9,226,466,,
CANATLAN,8,C ,129,83,12,224,0,10,234,467,,
CANATLAN,9,B ,86,119,8,213,0,6,219,396,,
CANATLAN,9,C ,83,127,7,217,0,9,226,397,,
CANATLAN,10,B ,45,66,2,113,0,3,116,210,,
CANATLAN,11,B ,32,24,0,56,0,0,56,111,,
CANATLAN,12,B ,22,53,3,78,0,7,85,193,,
CANATLAN,13,B ,192,157,12,361,0,24,385,691,,
CANATLAN,14,B ,156,125,13,294,0,5,299,498,,
CANATLAN,15,B ,112,108,9,229,1,11,241,422,,
CANATLAN,15,C ,111,113,8,232,0,12,244,422,,
CANATLAN,16,B ,29,24,4,57,0,5,62,107,,
CANATLAN,16,X 1 ,30,31,0,61,0,3,64,115,,
CANATLAN,16,X 2 ,31,23,0,54,0,0,54,114,,
CANATLAN,17,B ,35,34,4,73,0,3,76,144,,
CANATLAN,18,B ,17,15,1,33,0,1,34,58,,
,,,,,,,,,,,,
CANATLAN,19,B ,29,35,1,65,0,5,70,110, ,
