DISTRITO,MUNICIPIO ,SECCION,CASILLAS,PAN,PRI,PRD-PT,PVEM,PSN,CPDPPN,PAS,PRS,NO REGISTRADOS,VALIDOS,NULOS,TOTAL,LISTA NOMINAL
I,LA PAZ,121,0121B,45,40,129,77,0,5,3,1,0,300,4,304,689
I,LA PAZ,122,0122B,28,101,101,113,0,3,2,1,0,349,6,355,671
I,LA PAZ,123,0123B,24,58,93,73,0,1,2,1,0,252,8,260,504
I,LA PAZ,123,0123C,32,53,74,76,0,1,4,0,0,240,9,249,505
I,LA PAZ,124,0124B,23,79,113,86,0,4,2,0,0,307,10,317,606
I,LA PAZ,124,0124C,35,74,115,73,0,2,2,0,0,301,8,309,606
I,LA PAZ,125,0125B,80,99,114,112,0,4,0,3,0,412,7,419,728
I,LA PAZ,126,0126B,13,43,76,69,0,0,0,3,0,204,8,212,414
I,LA PAZ,126,0126C,26,40,83,73,0,1,0,3,0,226,8,234,414
I,LA PAZ,127,0127B,8,35,82,65,0,0,0,0,0,190,4,194,434
I,LA PAZ,127,0127C,16,36,106,58,0,0,3,0,0,219,10,229,434
I,LA PAZ,128,0128B,16,44,133,96,0,2,3,2,0,296,6,302,618
I,LA PAZ,129,0129B,12,33,83,49,0,4,0,0,0,181,11,192,389
I,LA PAZ,129,0129C,23,36,65,30,0,0,0,1,1,156,2,158,389
I,LA PAZ,130,0130B,22,21,79,48,0,6,5,0,1,182,5,187,403
I,LA PAZ,131,0131B,18,45,112,67,0,16,0,2,0,260,7,267,558
I,LA PAZ,132,0132B,30,24,64,59,0,5,1,0,0,183,3,186,456
I,LA PAZ,133,0133B,16,20,88,56,0,5,2,2,0,189,3,192,387
I,LA PAZ,134,0134B,17,21,62,38,0,3,3,0,0,144,1,145,339
I,LA PAZ,135,0135B,8,39,105,65,0,1,0,2,0,220,0,220,502
I,LA PAZ,135,0135C,14,36,111,72,0,1,1,2,0,237,9,246,503
I,LA PAZ,136,0136B,7,28,79,64,0,3,0,4,0,185,2,187,432
I,LA PAZ,136,0136C,23,31,74,42,0,0,1,4,0,175,10,185,432
I,LA PAZ,137,0137B,35,42,81,76,0,3,1,2,0,240,5,245,471
I,LA PAZ,137,0137C,40,27,116,74,0,1,1,1,0,260,6,266,471
I,LA PAZ,138,0138B,23,73,169,104,0,1,4,0,0,374,11,385,707
I,LA PAZ,139,0139B,32,36,134,63,0,1,0,1,0,267,9,276,581
I,LA PAZ,140,0140B,12,63,88,48,0,1,4,5,0,221,5,226,507
I,LA PAZ,141,0141B,11,16,85,45,0,1,0,7,0,165,8,173,378
I,LA PAZ,141,0141C,11,16,70,42,0,1,0,3,0,143,6,149,378
I,LA PAZ,142,0142B,10,58,82,52,0,1,0,0,0,203,2,205,447
I,LA PAZ,142,0142C,29,67,60,44,0,5,1,2,0,208,6,214,447
I,LA PAZ,143,0143B,20,18,70,54,0,6,0,2,0,170,2,172,446
I,LA PAZ,143,0143C,26,22,68,40,0,0,1,1,0,158,12,170,447
I,LA PAZ,144,0144B,31,28,60,45,0,1,0,0,0,165,1,166,465
I,LA PAZ,144,0144C,24,19,63,67,0,0,0,3,0,176,2,178,465
I,LA PAZ,145,0145B,23,43,132,72,0,4,1,1,0,276,5,281,624
I,LA PAZ,146,0146B,30,28,104,82,0,3,0,1,0,248,5,253,565
I,LA PAZ,147,0147B,29,35,144,99,0,1,5,1,1,315,4,319,644
I,LA PAZ,148,0148B,35,46,134,106,0,0,1,0,0,322,7,329,605
I,LA PAZ,149,0149B,31,56,138,107,0,1,3,6,0,342,8,350,675
I,LA PAZ,150,0150B,28,39,135,81,0,5,0,2,0,290,2,292,568
I,LA PAZ,151,0151B,21,44,106,33,0,2,2,0,0,208,3,211,482
