Distrito,Municipio,Sección,Tipo de casilla,ListaNominal,PAN-PRS,PRI-PVEM,PRD-PT,PC,PANAL,NOREGISTRADOS,NULOS,ANULADA POR TRIBUNALES
9,Comondu,1,B,676,134,108,141,1,8,0,0,
9,Comondu,2,B,382,108,53,80,2,12,0,1,
9,Comondu,3,B,610,197,89,106,1,27,0,5,
9,Comondu,3,C1,610,180,81,109,2,36,0,7,
9,Comondu,4,B,746,215,104,112,9,10,0,12,
9,Comondu,4,S,,65,33,31,0,2,0,0,
9,Comondu,5,B,489,163,59,110,2,0,0,9,
9,Comondu,5,C1,490,153,44,112,2,4,0,0,
9,Comondu,6,B,737,131,74,137,1,5,0,10,
9,Comondu,7,B,431,116,49,121,2,1,0,7,
9,Comondu,7,C1,432,111,70,106,0,5,0,3,
9,Comondu,8,B,554,190,49,102,4,5,0,2,
9,Comondu,9,B,510,178,57,82,0,1,0,5,
9,Comondu,10,B,422,123,47,85,1,6,0,4,
9,Comondu,10,C1,423,132,54,65,1,6,0,1,
9,Comondu,11,B,493,149,61,76,2,14,0,4,
9,Comondu,12,B,377,90,58,77,2,9,0,7,
9,Comondu,13,B,407,142,45,75,1,7,6,3,
9,Comondu,13,C1,407,150,30,79,4,9,0,3,
9,Comondu,14,B,552,155,96,88,0,8,0,3,
9,Comondu,15,B,673,229,80,99,1,3,2,12,
9,Comondu,16,B,489,174,77,86,0,4,0,3,
9,Comondu,16,C1,489,196,50,78,2,4,0,5,
9,Comondu,17,B,461,164,45,102,2,11,0,5,
9,Comondu,33,B,347,96,53,92,4,6,0,13,
9,Comondu,34,B,664,219,72,182,3,7,0,24,
9,Comondu,35,B,170,29,6,46,0,2,0,3,
10,Comondu,18,B,491,177,52,87,1,2,0,11,
10,Comondu,18,C1,491,161,62,88,10,5,0,7,
10,Comondu,19,B,416,170,39,57,4,2,1,9,
10,Comondu,19,C1,416,151,47,51,6,3,0,17,
10,Comondu,20,B,584,230,72,81,6,4,1,14,
