ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,12,268,1301,42,27,1003,33,26,528,11,4,13,,,,,,,,3256,2,88,3346,5346,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A01MR.jpg
32,ZACATECAS,2,APULCO,8,9,65,1022,45,,37,55,548,,,,965,,,,,,,,2737,1,119,2857,4343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A02MR.jpg
32,ZACATECAS,3,ATOLINGA,8,8,429,328,21,,656,9,,,,2,,,,,,,,,1445,3,160,1608,2413,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A03MR.jpg
32,ZACATECAS,4,BENITO JUAREZ,9,9,1160,580,32,58,,11,94,435,53,4,,,,,,,,,2427,0,42,2469,3478,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A04MR.jpg
32,ZACATECAS,5,CALERA,21,50,8158,2696,665,347,1079,269,151,2567,162,572,25,376,,,,,,,17067,3,511,17581,28360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A05MR.jpg
32,ZACATECAS,6,CAÑITAS ,10,12,54,854,17,29,1429,18,1154,164,31,319,4,100,,,,,,,4173,0,208,4381,6002,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A06MR.jpg
32,ZACATECAS,7,CONCEPCION DEL ORO,22,26,90,2073,79,65,1315,29,1992,486,16,199,,29,,,,,,,6373,0,284,6657,9441,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A07MR.jpg
32,ZACATECAS,8,CUAUHTEMOC,11,18,130,3044,433,281,2057,38,24,251,138,4,7,73,,,,,,,6480,2,266,6748,8968,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A08MR.jpg
32,ZACATECAS,9,CHALCHIHUITES,21,25,1036,3304,83,323,81,20,107,246,19,15,8,6,,,,,,,5248,1,186,5435,8424,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A09MR.jpg
32,ZACATECAS,10,FRESNILLO,205,322,8597,16960,2648,13507,3479,1331,2556,43584,1846,1990,866,1194,,,,,,,98558,50,2995,101603,162936,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A10MR.jpg
32,ZACATECAS,11,TRINIDAD GARCIA,7,8,307,376,20,25,544,16,,348,15,11,,,,,,,,,1662,0,56,1718,2821,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A11MR.jpg
32,ZACATECAS,12,GENARO CODINA,16,18,300,820,689,130,950,59,19,483,382,30,,10,,,,,,294,4166,0,184,4350,6075,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A12MR.jpg
32,ZACATECAS,13,ENRIQUE ESTRADA,7,11,864,666,120,29,11,55,85,157,38,1171,10,11,,,,,,,3217,3,131,3351,4823,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A13MR.jpg
32,ZACATECAS,14,FRANCISCO R. MURGUIA,42,48,413,5830,92,546,,80,122,4252,122,,29,332,,,,,,,11818,0,377,12195,17409,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A14MR.jpg
