CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD,PRI_PVEM,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,24,3,259,419,20,34,,382,191,32,,,7,,,,,,0,1344,14,1358,1976
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,25,2,148,243,33,18,,149,114,14,,,2,,,,,,0,721,9,730,1057
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,26,2,155,194,21,15,,177,42,10,,,3,,,,,,0,617,15,632,914
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,27,3,311,326,16,23,,315,165,30,,,6,,,,,,0,1192,9,1201,1712
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,28,2,193,340,15,26,,223,116,9,,,4,,,,,,0,926,14,940,1312
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,29,3,389,499,53,43,,287,91,33,,,22,,,,,,0,1417,13,1430,2053
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,30,2,163,242,11,16,,136,38,13,,,11,,,,,,0,630,9,639,905
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,31,4,283,597,27,33,,545,161,38,,,15,,,,,,0,1699,24,1723,2447
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,32,1,19,97,0,6,,75,21,0,,,0,,,,,,0,218,2,220,320
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,33,2,163,345,21,22,,147,156,7,,,4,,,,,,0,865,10,875,1293
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,34,3,220,521,13,15,,390,121,24,,,3,,,,,,0,1307,13,1320,1971
1,14,JALISCO,1,COLOTLÁN,3,AHUALULCO DE MERCADO,35,2,71,417,17,17,,376,44,7,,,3,,,,,,0,952,13,965,1325
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,40,4,79,426,317,61,,386,,144,82,,19,,,,,,0,1514,11,1525,2390
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,41,3,67,323,236,62,,265,,72,64,,14,,,,,,0,1103,9,1112,1592
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,42,3,60,270,412,57,,375,,84,130,,12,,,,,,0,1400,12,1412,2134
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,43,4,124,324,323,111,,474,,141,72,,21,,,,,,0,1590,22,1612,2450
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,44,1,44,122,89,9,,27,,15,8,,3,,,,,,0,317,7,324,531
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,45,1,5,76,91,4,,45,,2,4,,8,,,,,,0,235,0,235,384
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,46,1,7,94,162,8,,29,,10,12,,3,,,,,,0,325,4,329,447
1,14,JALISCO,1,COLOTLÁN,5,AMATITÁN,47,2,40,187,244,53,,53,,30,66,,9,,,,,,0,682,8,690,956
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,100,1,111,111,2,,,70,4,55,,4,,,,,,,0,357,12,369,542
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,101,1,62,119,18,,,145,2,37,,33,,,,,,,0,416,7,423,758
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,94,3,215,235,65,,,234,32,256,,68,,,,,,,0,1105,14,1119,1724
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,95,2,284,184,44,,,181,29,162,,54,,,,,,,0,938,18,956,1466
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,96,2,138,235,36,,,118,16,141,,43,,,,,,,0,727,7,734,1126
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,97,1,116,150,43,,,122,4,41,,12,,,,,,,0,488,8,496,767
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,98,1,41,115,72,,,110,3,45,,3,,,,,,,0,389,8,397,648
1,14,JALISCO,1,COLOTLÁN,7,SAN JUANITO DE ESCOBEDO,99,1,66,34,4,,,38,10,24,,6,,,,,,,0,182,4,186,255
1,14,JALISCO,1,COLOTLÁN,9,EL ARENAL,139,4,560,551,,528,173,98,,35,,2,,,,,,,1,1947,19,1967,2921
1,14,JALISCO,1,COLOTLÁN,9,EL ARENAL,140,4,369,467,,332,358,137,,11,,1,,,,,,,0,1675,13,1688,2519
1,14,JALISCO,1,COLOTLÁN,9,EL ARENAL,141,5,750,587,,405,303,136,,74,,6,,,,,,,0,2261,17,2278,3658
1,14,JALISCO,1,COLOTLÁN,9,EL ARENAL,142,4,373,348,,142,147,282,,69,,2,,,,,,,0,1363,45,1408,2342
1,14,JALISCO,1,COLOTLÁN,9,EL ARENAL,143,3,305,256,,280,286,164,,26,,7,,,,,,,0,1324,16,1340,2043
1,14,JALISCO,1,COLOTLÁN,19,BOLAÑOS,292,2,277,336,,,,208,7,10,,,,,,,,,0,838,3,841,1090
1,14,JALISCO,1,COLOTLÁN,19,BOLAÑOS,293,1,118,178,,,,159,5,3,,,,,,,,,0,463,5,468,572
1,14,JALISCO,1,COLOTLÁN,19,BOLAÑOS,294,5,893,1198,,,,301,367,2,,,,,,,,,0,2761,40,2801,3349
1,14,JALISCO,1,COLOTLÁN,19,BOLAÑOS,295,1,121,160,,,,63,9,0,,,,,,,,,0,353,9,362,491
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,411,3,573,230,8,6,,297,,19,,3,,,,,,,0,1136,11,1147,1686
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,412,1,88,102,0,7,,127,,3,,0,,,,,,,0,327,7,334,477
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,413,2,324,177,9,8,,189,,20,,0,,,,,,,0,727,8,735,1118
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,414,2,384,215,17,13,,283,,6,,3,,,,,,,0,921,13,934,1527
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,415,3,371,188,5,9,,154,,9,,1,,,,,,,0,737,6,743,999
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,416,2,261,167,6,9,,163,,5,,0,,,,,,,0,611,7,618,936
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,417,2,272,156,6,3,,157,,6,,1,,,,,,,0,601,14,615,959
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,418,2,357,187,3,8,,237,,15,,6,,,,,,,0,813,5,818,1252
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,419,2,299,215,7,4,,230,,14,,1,,,,,,,0,770,7,777,1208
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,420,3,426,306,4,40,,340,,12,,8,,,,,,,0,1136,16,1152,1859
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,421,1,101,105,1,7,,132,,1,,0,,,,,,,0,347,8,355,551
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,423,1,65,54,0,1,,20,,0,,0,,,,,,,0,140,2,142,268
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,424,1,59,41,2,1,,35,,0,,0,,,,,,,0,138,3,141,217
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,425,2,237,74,1,2,,124,,5,,1,,,,,,,0,444,15,459,866
1,14,JALISCO,1,COLOTLÁN,26,COLOTLÁN,426,1,114,82,1,3,,26,,0,,0,,,,,,,0,226,7,233,404
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,445,3,29,480,190,7,389,208,,41,,,,9,,,,,0,1353,13,1366,1876
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,446,3,33,345,142,5,499,363,,48,,,,3,,,,,3,1438,26,1467,2099
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,447,2,9,218,99,2,218,143,,18,,,,3,,,,,0,710,15,725,1048
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,448,2,10,257,89,3,269,243,,9,,,,5,,,,,0,885,7,892,1249
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,449,2,2,93,99,3,204,137,,6,,,,7,,,,,0,551,10,561,891
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,450,2,11,204,78,9,287,248,,13,,,,4,,,,,0,854,12,866,1261
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,451,2,10,99,69,8,141,187,,15,,,,1,,,,,0,530,15,545,904
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,452,1,4,77,65,2,244,40,,10,,,,1,,,,,0,443,4,447,628
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,453,2,25,199,55,2,337,177,,11,,,,0,,,,,0,806,16,822,1219
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,454,2,14,54,149,3,160,219,,9,,,,0,,,,,0,608,13,621,965
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,455,2,13,185,106,6,181,193,,10,,,,3,,,,,0,697,13,710,1000
1,14,JALISCO,1,COLOTLÁN,30,CUQUÍO,456,2,5,149,60,2,170,168,,4,,,,79,,,,,0,637,9,646,809
1,14,JALISCO,1,COLOTLÁN,32,CHIMALTITÁN,476,2,437,369,1,,,2,,0,,,,,,,,,0,809,6,815,1097
1,14,JALISCO,1,COLOTLÁN,32,CHIMALTITÁN,477,2,425,473,18,,,17,,0,,,,,,,,,0,933,9,942,1170
1,14,JALISCO,1,COLOTLÁN,32,CHIMALTITÁN,478,1,130,113,0,,,15,,0,,,,,,,,,0,258,1,259,332
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,530,3,400,64,,35,,544,170,,,6,,17,,,,,0,1236,16,1252,1846
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,531,4,645,70,,68,,628,153,,,8,,28,,,,,0,1600,23,1623,2494
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,532,3,361,40,,45,,522,80,,,2,,28,,,,,0,1078,13,1091,1652
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,533,2,363,55,,64,,325,70,,,4,,21,,,,,0,902,10,912,1348
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,534,1,111,33,,27,,224,20,,,2,,10,,,,,0,427,5,432,631
