CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,10,86,1068,804,86,45,210,73,105,16,17,35,47,46,2,2638,149,2789,6858
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,3,16,358,246,25,13,70,9,30,6,4,7,10,12,0,806,57,863,1995
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,2,14,271,173,31,21,48,10,38,11,10,14,5,11,0,657,43,700,1457
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,2,6,229,156,24,7,28,13,22,9,5,7,8,13,0,527,24,551,1182
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,4,29,406,310,29,16,41,12,34,11,12,17,13,22,0,952,51,1003,2451
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,3,18,411,277,30,15,84,9,53,13,3,17,19,24,1,973,52,1026,2175
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,4,34,523,390,30,19,67,23,49,11,8,16,15,26,0,1211,86,1297,2848
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,14,84,1608,1285,102,61,273,64,169,35,27,40,62,88,2,3898,209,4109,10027
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,3,17,361,232,25,19,59,17,37,12,6,8,6,12,0,811,45,856,1816
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,3,41,419,237,6,13,87,22,68,7,6,7,164,121,0,1198,58,1256,1125
