CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,B,14,115,89,8,4,23,7,10,2,1,3,3,4,0,283,17,300,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C01,5,111,86,13,2,19,9,9,2,0,3,9,9,0,277,12,289,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C02,11,99,72,6,3,27,8,11,2,2,4,5,5,1,255,18,274,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C03,8,105,84,15,10,15,6,16,1,3,3,5,7,1,278,17,296,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C04,12,110,85,10,6,23,7,10,1,5,1,3,6,0,279,18,297,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C05,1,115,65,6,4,13,6,3,3,1,3,7,4,0,231,15,246,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C06,14,98,71,7,5,32,6,8,3,0,6,6,3,0,259,20,279,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C07,4,99,76,12,1,18,8,17,1,2,2,3,2,0,245,16,261,686,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C08,12,105,91,7,5,21,6,10,1,2,5,3,3,0,271,3,274,685,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,C09,5,111,85,2,5,19,10,11,0,1,5,3,3,0,260,13,273,685,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,B,2,122,80,8,0,23,4,9,2,1,4,0,0,0,255,32,287,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C01,7,114,92,8,7,25,2,5,3,1,1,6,9,0,280,13,293,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,C02,7,122,74,9,6,22,3,16,1,2,2,4,3,0,271,12,283,665,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,B,7,130,93,19,11,27,3,20,7,4,7,0,6,0,334,15,349,729,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,C01,7,141,80,12,10,21,7,18,4,6,7,5,5,0,323,28,351,728,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,B,5,112,83,8,2,11,7,12,5,4,4,5,8,0,266,8,274,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,C01,1,117,73,16,5,17,6,10,4,1,3,3,5,0,261,16,277,591,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,B,8,99,91,4,5,12,4,5,2,2,5,3,4,0,244,10,254,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C01,9,102,78,11,3,13,2,8,2,3,2,2,3,0,238,12,250,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C02,9,105,72,9,2,5,0,10,3,4,6,6,4,0,235,18,253,613,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,C03,3,100,69,5,6,11,6,11,4,3,4,2,11,0,235,11,246,612,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,B,8,140,98,9,8,31,5,19,5,1,8,6,7,0,345,10,355,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C01,3,125,107,10,5,26,1,18,3,1,5,7,4,1,315,26,342,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,C02,7,146,72,11,2,27,3,16,5,1,4,6,13,0,313,16,329,725,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,B,7,140,116,4,5,20,8,14,2,1,4,4,6,0,331,24,355,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C01,9,141,94,8,6,17,7,18,2,1,3,5,4,0,315,12,327,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C02,6,123,101,10,4,14,6,7,4,2,5,3,8,0,293,27,320,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,C03,12,119,79,8,4,16,2,10,3,4,4,3,8,0,272,23,295,712,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,B,5,110,89,6,6,18,4,14,1,0,0,8,7,0,268,21,289,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C01,5,122,94,8,6,17,7,12,2,1,1,4,7,0,286,11,297,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C02,8,103,87,8,4,27,3,8,6,6,4,5,5,0,274,17,291,717,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C03,11,104,102,12,4,20,9,17,2,3,1,1,5,0,291,19,310,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C04,6,137,81,2,3,18,11,7,1,1,4,4,5,0,280,10,290,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C05,6,123,101,8,3,20,2,11,2,2,0,8,5,1,291,11,303,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C06,9,118,72,9,7,7,0,10,1,1,6,4,10,0,254,14,268,716,Acta Casilla,,,
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,C07,4,116,98,9,3,18,7,13,2,0,5,5,5,0,285,23,308,716,Acta Casilla,,,
