ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,140,885,17292,10774,911,624,2394,597,1629,387,291,460,642,670,10,37556,2011,39577,83128,0.476
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,155,811,18973,11492,886,779,2656,555,1988,308,395,435,956,828,34,41062,2319,43415,91879,0.4725
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,175,4064,17908,10884,856,1375,4390,785,1520,241,498,364,828,719,32,44432,2068,46532,96657,0.4814
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,172,3640,16601,11498,905,1076,4125,701,1397,337,573,352,912,920,30,43037,2005,45072,95120,0.4738
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2382,15641,11727,1244,1007,3705,532,1175,170,345,267,596,943,14,39734,1993,41741,92768,0.4499
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,140,2421,14723,10794,877,1008,2773,556,1072,146,330,321,1050,884,42,36955,1933,38930,86249,0.4513
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,147,1996,17164,7750,3128,1427,2495,474,887,208,545,276,1057,965,24,38372,1828,40224,91593,0.4391
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,154,1128,17567,9223,969,6102,5702,386,981,603,211,295,431,243,43,43841,2005,45889,81115,0.5657
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,146,1725,17905,10500,1297,1657,3029,517,851,206,275,300,843,545,67,39650,2771,42488,83615,0.5081
12,GUERRERO,10,TECPAN DE GALEANA,119,183,352,21562,15740,443,928,3691,655,2250,192,229,393,493,352,12,47280,1885,49177,85282,0.5766
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,180,786,17324,17334,875,827,2591,553,1432,451,367,183,322,573,22,43618,1461,45101,85811,0.5255
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,179,606,14693,18986,837,3831,2594,1360,1333,534,372,200,386,557,6,46289,1245,47540,84840,0.5603
12,GUERRERO,13,SAN MARCOS,110,171,5840,14827,12345,4169,9442,1932,438,1212,714,133,366,781,614,22,52813,3340,56175,81432,0.6898
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,156,465,7415,18687,1297,9251,3469,927,804,633,106,2010,1926,1198,11,48188,2643,50842,74737,0.6802
12,GUERRERO,15,SAN LUIS ACATLAN,105,166,2178,11230,18687,1997,2929,8277,1118,1305,357,73,424,465,527,38,49567,2720,52325,75802,0.6902
12,GUERRERO,16,OMETEPEC,67,138,6005,16813,14601,3753,734,3856,250,851,521,224,172,602,1221,30,49603,2142,51775,70916,0.73
12,GUERRERO,17,COYUCA DE CATALAN,160,208,679,25302,22208,907,1203,4895,190,1042,117,55,41,310,311,0,57260,1183,58443,89337,0.6541
12,GUERRERO,18,PUNGARABATO,150,222,401,25130,28511,445,235,722,479,2410,45,119,90,416,728,7,59731,1046,60784,97275,0.6248
12,GUERRERO,19,EDUARDO NERI,96,149,2945,21570,12773,570,339,2237,342,819,389,92,378,553,578,4,43585,1786,45375,70045,0.6477
12,GUERRERO,20,TELOLOAPAN,184,222,532,14438,16883,1680,784,8408,2486,1143,140,215,122,204,420,27,47455,2021,49503,79678,0.6212
12,GUERRERO,21,TAXCO DE ALARCON,126,203,9782,22926,8751,2618,2881,2148,2106,991,565,423,1590,498,174,28,55453,2395,57876,96929,0.597
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,164,1127,14455,11947,1274,1481,3880,1273,1944,307,1457,337,528,328,33,40338,1996,42367,93531,0.4529
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,182,4461,17258,8686,7481,1498,6196,925,1567,1140,314,205,841,613,36,51185,1990,53211,90270,0.5894
12,GUERRERO,24,TIXTLA DE GUERRERO,118,178,810,12113,14475,675,2471,7619,967,907,213,185,1276,209,189,3,42109,2797,44909,84857,0.5292
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,163,915,20379,14167,1027,1000,2175,1354,1137,464,334,376,395,381,28,44104,2946,47078,79940,0.5889
12,GUERRERO,26,ATLIXTAC,117,188,8195,17983,19212,1674,526,5031,2122,1518,1480,154,155,96,269,8,58415,2834,61257,81986,0.7471
12,GUERRERO,27,TLAPA DE COMONFORT,94,188,1217,21536,13163,7614,530,1770,1257,2589,325,348,1013,235,525,11,52122,2461,54594,97902,0.5576
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,326,13846,14821,9618,910,6454,231,1062,93,227,308,225,461,9,48582,2667,51258,78808,0.6504
