ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PRS,BRE,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,LA PAZ,38,62,3546,5076,475,356,675,356,270,1368,3406,355,43,15926,523,16449,31854,0.5164
3,BAJA CALIFORNIA SUR,2,LA PAZ,25,38,2830,3489,261,195,248,195,139,875,2718,247,46,11243,330,11573,19608,0.5902
3,BAJA CALIFORNIA SUR,3,LA PAZ,23,39,2887,3876,292,218,220,218,155,965,2772,345,56,12004,343,12347,20418,0.6047
3,BAJA CALIFORNIA SUR,4,LA PAZ,84,126,8012,10050,868,649,549,649,505,3119,7697,1060,189,33347,862,34209,65271,0.5241
3,BAJA CALIFORNIA SUR,5,LA PAZ,35,69,4658,6645,385,288,374,288,283,1722,4474,538,84,19739,555,20294,34177,0.5938
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,18,36,2362,3249,140,103,141,103,111,366,2269,52,19,8915,321,9236,15264,0.6051
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,45,121,6023,9897,2256,1691,519,1691,362,2049,5785,480,88,30841,1072,31913,65869,0.4845
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,69,144,7428,7895,1773,1329,628,1329,500,2400,7136,672,180,31270,1092,32362,80334,0.4028
3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,20,26,1971,3596,184,136,135,136,146,310,1892,80,10,8596,150,8746,13104,0.6674
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,19,38,2240,4446,306,228,223,228,121,330,2152,102,5,10381,303,10684,18516,0.5770
3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,24,35,2326,4224,147,109,174,109,155,234,2233,73,4,9788,246,10034,15613,0.6427
3,BAJA CALIFORNIA SUR,12,LORETO,19,33,3045,4247,92,68,123,68,81,212,2925,42,6,10909,195,11104,14955,0.7425
3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,17,32,2499,3167,83,60,112,60,505,210,2400,114,6,9216,296,9512,14621,0.6506
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,12,29,1979,2026,183,136,132,136,1066,449,1900,95,12,8114,349,8463,15884,0.5328
3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,15,21,1318,1322,101,74,61,74,191,136,1265,23,1,4566,133,4699,7382,0.6365
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,20,55,3213,4119,914,684,350,684,291,1079,3087,83,62,14566,505,15071,32546,0.4631
