CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,2,MULEGE,87,1,109,35,2,2,7,0,1,1,1,1,0,0,159,5,164,259
1,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,2,MULEGE,88,2,223,246,10,2,18,4,1,9,3,14,0,1,531,28,559,935
1,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,2,MULEGE,89,2,299,188,27,7,24,8,6,1,8,3,1,0,572,21,593,926
1,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,2,MULEGE,90,1,216,160,12,1,10,11,3,4,1,1,0,1,420,15,435,613
1,3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,2,MULEGE,91,1,131,121,10,1,4,2,2,5,3,1,1,0,281,5,286,411
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,92,1,110,52,22,2,11,19,6,0,2,1,0,0,225,7,232,374
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,93,1,130,74,22,0,11,24,2,1,0,1,0,0,265,6,271,473
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,94,4,693,322,97,17,92,76,10,13,8,12,1,2,1343,53,1396,2928
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,95,2,189,104,24,6,24,29,11,2,2,1,0,1,393,23,416,862
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,96,2,293,140,34,1,29,38,11,2,3,2,0,1,554,19,573,1166
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,97,3,385,214,58,5,52,43,10,2,4,2,0,1,776,27,803,994
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,98,3,383,208,82,7,33,95,17,8,5,1,0,3,842,22,864,1667
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,99,1,129,54,12,1,30,3,0,1,1,2,0,0,233,8,241,345
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,101,1,22,33,1,3,39,4,0,0,0,1,0,0,103,3,106,153
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,102,1,138,25,7,5,54,4,1,0,1,1,0,0,236,11,247,592
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,103,1,197,113,9,8,65,16,7,6,0,4,0,0,425,23,448,702
1,3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,2,MULEGE,104,9,1210,621,87,40,575,98,20,23,5,31,5,4,2719,147,2866,5628
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,105,1,60,36,10,0,1,5,2,0,1,0,0,0,115,4,119,197
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,107,1,120,69,32,4,4,11,1,1,2,1,0,0,245,9,254,449
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,108,2,245,136,68,3,17,29,2,1,2,2,0,1,506,11,517,924
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,109,1,153,92,42,1,5,14,1,3,0,1,0,0,312,9,321,552
