CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,1,2,17,175,187,5,56,216,0,0,0,7,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,5,,668,3,671,820
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,2,2,39,310,367,10,65,270,0,0,0,15,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,,1078,25,1103,1390
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,3,2,291,204,0,0,140,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,635,5,640,838
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,4,1,158,100,0,0,65,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,323,3,326,433
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,5,1,185,121,0,0,94,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,400,2,402,515
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,6,1,169,94,0,0,135,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,398,5,403,559
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,7,1,39,22,0,0,67,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,128,2,130,202
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,8,1,78,93,0,0,71,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,242,7,249,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,9,1,126,7,0,0,102,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,235,1,236,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,10,1,89,69,0,0,111,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,269,5,274,374
