CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,1,10,94,21,18,6,1,14,11,122,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,314,22,336,486
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,2,39,145,45,4,19,2,15,16,247,15,1,2,0,1,0,1,0,0,1,0,0,1,1,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,571,34,605,951
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,3,60,245,180,13,20,8,43,39,372,22,11,2,0,0,0,6,0,0,2,0,0,0,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1061,43,1104,1953
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,1,11,84,51,3,11,2,21,29,182,7,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,412,8,420,672
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,2,33,77,82,3,17,4,14,38,251,23,2,0,0,0,1,5,0,1,0,0,0,1,1,1,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,564,28,592,912
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,1,16,53,46,2,10,2,11,9,113,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,289,11,300,418
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,1,22,52,51,1,8,2,17,10,141,13,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,336,10,346,474
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,2,20,105,54,8,16,5,10,24,296,8,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,559,21,580,817
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,2,26,149,62,18,22,2,45,24,475,28,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,871,25,896,1330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,2,31,102,49,12,8,1,27,18,371,29,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,667,26,693,965
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,1,13,34,26,1,4,8,9,10,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,219,1,220,330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,1,24,94,36,2,8,3,15,8,223,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,447,16,463,632
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,2,61,121,74,5,29,2,16,24,347,17,3,0,0,0,0,5,0,0,1,0,0,0,2,1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,725,29,754,567
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,1,11,35,26,4,5,2,3,2,80,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,184,5,189,245
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,1,13,55,37,2,7,3,8,14,149,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,12,316,426
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,2,44,102,81,4,7,1,19,25,283,30,3,1,0,0,0,4,0,0,1,0,0,1,0,2,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,629,7,636,943
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,2,15,89,57,5,7,0,19,16,260,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,494,19,513,791
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,2,19,99,72,5,5,1,10,23,135,27,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,413,24,437,793
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,1,1,37,5,0,3,0,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,10,82,119
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,1,14,45,5,1,7,0,14,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,21,167,250
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,1,46,72,12,1,9,1,14,57,48,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,22,297,415
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,1,29,16,5,0,1,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,15,82,212
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,2,39,65,23,6,11,4,13,2,158,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,366,30,396,571
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,1,18,176,41,6,7,0,12,9,264,9,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,554,25,579,732
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,1,3,16,5,0,0,1,6,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,9,79,109
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,1,20,22,9,0,12,2,7,1,40,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,8,131,191
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,1,16,39,38,0,7,3,6,8,91,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,232,10,242,492
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,1,11,96,23,2,4,0,8,3,69,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,231,9,240,350
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,1,5,35,11,0,8,0,3,1,35,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,8,110,149
