ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,1,AHUMADA,1,1,67,58,2,4,2,27,8,12,9,0,189,0,189,0
8,CHIHUAHUA,5,ASCENSION,1,1,22,31,2,2,2,3,2,3,1,0,68,6,74,0
8,CHIHUAHUA,9,BOCOYNA,1,1,89,34,3,5,1,11,7,4,13,0,167,12,179,0
8,CHIHUAHUA,11,CAMARGO,1,1,263,129,21,6,1,13,21,34,11,4,499,14,517,0
8,CHIHUAHUA,17,CUAUHTEMOC,1,1,396,170,14,9,7,23,27,42,23,0,711,46,757,0
8,CHIHUAHUA,19,CHIHUAHUA,5,5,1556,688,52,37,14,120,142,172,120,5,2901,158,3064,0
8,CHIHUAHUA,21,DELICIAS,1,1,328,117,26,8,3,27,38,43,28,5,618,15,638,0
8,CHIHUAHUA,27,GUACHOCHI,1,1,151,123,13,10,4,15,64,17,7,1,404,33,438,0
8,CHIHUAHUA,31,GUERRERO,1,1,122,74,11,2,0,9,21,7,6,0,252,11,263,0
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,2,2,416,328,9,34,7,46,38,45,25,2,948,59,1009,0
8,CHIHUAHUA,35,JANOS,1,1,23,14,3,2,1,3,1,1,1,0,49,3,52,0
8,CHIHUAHUA,36,JIMENEZ,1,1,175,116,15,2,23,36,26,41,17,1,451,27,479,0
8,CHIHUAHUA,37,JUAREZ,11,11,1079,654,59,77,26,160,269,319,130,21,2773,124,2918,0
8,CHIHUAHUA,45,MEOQUI,1,1,58,26,5,2,0,6,12,10,3,0,122,3,125,0
8,CHIHUAHUA,50,NVO. CASAS GRANDES,1,1,114,76,20,5,8,15,27,31,27,1,323,12,336,0
8,CHIHUAHUA,52,OJINAGA,1,1,178,138,1,6,12,3,17,18,11,2,384,17,403,0
