ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,1,LA PIEDAD,147,279,19135,30627,16049,950,1324,387,1232,5387,450,397,31,75938,2803,78772,151585,0.5197
16,MICHOACAN,2,PURUÁNDIRO,127,239,7821,19922,25533,6695,1751,13,3577,1964,0,1258,70,68534,3591,72195,129623,0.5570
16,MICHOACAN,3,MARAVATÍO,98,230,12397,18305,22631,1715,1780,7371,3921,1863,890,1024,44,71897,3543,75484,128194,0.5888
16,MICHOACAN,4,JIQUILPAN,158,295,22592,27557,19791,2130,7124,3648,1690,3312,0,467,30,88311,2873,91214,152023,0.6000
16,MICHOACAN,5,JACONA,126,276,13542,23024,15640,2422,4673,6198,2005,3162,772,5114,45,76552,3416,80013,152751,0.5238
16,MICHOACAN,6,ZAMORA,96,238,14199,13095,7101,5592,2648,3468,1476,4280,1188,1474,109,54521,2905,57535,136998,0.4200
16,MICHOACAN,7,ZACAPU,141,247,12536,16913,22180,3402,3512,7039,2794,5244,0,646,100,74266,4545,78911,134399,0.5871
16,MICHOACAN,8,ZINAPÉCUARO,141,307,14274,24976,21234,11487,4547,6080,1907,4744,0,1946,91,91195,4868,96154,172940,0.5560
16,MICHOACAN,9,LOS REYES,110,234,16319,17069,16992,4278,6487,3181,747,1657,0,516,53,67246,2977,70276,128280,0.5478
16,MICHOACAN,10,MORELIA NOROESTE,74,239,11809,16675,11504,2207,5105,2258,1465,4146,2075,2719,184,59963,5588,65735,146552,0.4485
16,MICHOACAN,11,MORELIA NORESTE,93,211,14339,13107,9048,3135,3624,2118,1167,3884,1840,2217,147,54479,4718,59344,122027,0.4863
16,MICHOACAN,12,HIDALGO,126,251,4717,8800,13554,2392,1957,493,2823,582,3,416,18,35737,1763,37518,138010,0.2718
16,MICHOACAN,13,ZITÁCUARO,99,225,13219,17070,16061,6654,4707,2321,2913,3446,1951,1325,64,69667,4120,73851,129045,0.5723
16,MICHOACAN,14,URUAPAN NORTE,91,218,11395,13676,20904,1093,2181,1383,2014,3158,2489,674,59,58967,3284,62310,123219,0.5057
16,MICHOACAN,15,PÁTZCUARO,114,272,16279,22984,28792,2023,5904,3703,1486,4489,0,1769,152,87429,6096,93677,157008,0.5966
16,MICHOACAN,16,MORELIA SUROESTE,89,265,19955,17693,11323,2055,3650,4389,1567,5443,2690,2978,266,71743,6791,78800,163797,0.4811
16,MICHOACAN,17,MORELIA SURESTE,93,221,22591,14992,8545,2437,2847,2788,1302,4146,2282,2089,209,64019,6317,70545,126334,0.5584
16,MICHOACAN,18,HUETAMO,157,225,2820,23192,28060,4061,2252,3697,851,1298,218,290,13,66739,2587,69339,106125,0.6534
16,MICHOACAN,19,TACÁMBARO,119,220,16102,23428,19439,990,3423,0,1860,1875,0,623,29,67740,3512,71281,119683,0.5956
16,MICHOACAN,20,URUAPAN SUR,95,266,19804,19956,18813,1736,2933,1431,1843,3140,2364,799,90,72819,3438,76347,157879,0.4836
16,MICHOACAN,21,COALCOMÁN DE VÁZQUEZ PALLARES,102,191,8166,14379,21007,1584,4347,0,1815,2102,1855,136,27,55391,1861,57279,103152,0.5553
16,MICHOACAN,22,MÚGICA,108,214,2812,30270,28976,713,597,1505,843,1885,0,146,25,67747,2109,69881,109325,0.6392
16,MICHOACAN,23,APATZINGÁN,96,199,10422,13896,11656,3691,1365,1873,767,5888,0,2958,48,52516,2335,54899,105278,0.5215
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,216,6994,17790,15647,914,1313,0,1494,4426,749,1144,71,50471,2145,52687,130581,0.4035
