CIRCUNSCRIPCION,﻿ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,2,20,276,204,9,0,2,1,22,1,2,0,537,16,553,1070
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,2,19,243,215,11,1,0,1,22,1,0,0,513,11,524,925
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,2,14,237,224,8,4,1,1,22,0,0,0,511,9,520,888
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,3,6,247,186,3,5,1,3,38,0,0,0,489,8,497,910
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,1,6,100,108,0,2,0,2,19,1,0,0,238,10,248,689
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,1,4,80,167,1,0,0,0,15,0,0,0,267,3,270,615
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,1,6,44,137,3,2,1,1,2,1,0,0,197,0,197,524
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,1,3,53,40,1,0,0,0,1,0,0,0,98,2,100,287
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,2,276,231,38,11,5,2,3,7,1,1,1,575,21,597,979
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,2,205,190,48,8,4,4,2,6,1,0,0,468,23,491,797
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,2,233,239,34,11,6,0,2,7,2,1,0,535,15,550,810
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,2,369,348,102,7,10,4,5,12,0,6,0,863,16,879,1376
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,2,178,169,69,7,1,2,2,1,1,0,0,430,10,440,791
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,2,176,293,45,4,7,0,5,4,3,2,0,539,18,557,984
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,3,322,657,61,4,10,1,4,2,0,2,0,1063,18,1081,1785
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,2,196,268,29,4,12,0,3,4,1,0,1,517,8,526,940
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,441,1,66,238,25,2,6,0,1,0,1,0,0,339,9,348,669
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,442,1,70,176,53,6,2,2,1,0,0,1,0,311,0,311,547
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,443,1,65,158,12,0,2,2,0,0,0,1,0,240,0,240,455
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,444,2,71,151,35,0,4,2,3,7,1,0,0,274,10,284,533
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,445,1,16,118,79,4,1,0,2,0,0,0,0,220,12,232,590
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1369,3,550,351,181,3,10,1,1,15,3,1,0,1116,23,1139,1705
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1370,4,721,511,207,3,12,0,13,20,0,2,0,1489,41,1530,2261
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1371,1,51,14,18,1,0,0,1,1,0,0,0,86,3,89,193
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1372,1,107,61,11,2,1,0,2,0,1,0,0,185,9,194,343
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1373,4,525,384,181,4,9,1,8,15,1,10,1,1138,38,1177,2292
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1374,1,137,87,44,2,3,2,2,3,1,5,0,286,12,298,472
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1375,1,145,167,38,2,2,0,2,3,1,0,0,360,8,368,542
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1376,1,186,203,97,2,2,0,4,3,0,1,0,498,3,501,650
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARÁN,1377,1,230,199,39,10,5,0,16,0,0,1,0,500,18,518,673
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1498,2,114,203,198,6,15,2,5,16,2,4,0,565,30,595,1140
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1499,1,65,176,118,2,5,2,4,21,1,2,0,396,8,404,725
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1500,2,81,258,111,1,6,0,0,27,5,4,0,493,19,512,844
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1501,2,69,197,220,2,11,1,2,17,4,2,0,525,23,548,1022
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1502,1,13,193,165,3,0,1,0,5,1,2,0,383,8,391,663
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1503,2,13,314,218,2,5,0,3,19,1,2,0,577,14,591,1012
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1504,2,44,314,308,8,8,2,4,6,2,3,0,699,22,721,1240
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1505,1,7,151,214,0,0,0,0,15,1,0,0,388,7,395,613
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1506,2,7,285,248,6,4,0,0,31,0,1,0,582,8,590,981
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1507,2,178,172,221,3,10,0,0,21,1,4,0,610,12,622,1163
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1508,2,46,189,218,6,7,2,1,5,2,6,0,482,12,494,1174
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1509,1,33,199,173,7,17,0,2,4,3,0,0,438,18,456,746
