CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,1,1,248,95,10,0,3,19,10,34,1,8,1,8,1,0,0,,,438,0,12,450,554
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,2,1,299,70,14,4,9,4,2,52,2,1,5,3,0,0,0,,,465,0,9,474,647
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,3,1,270,129,10,12,4,2,6,46,2,3,3,2,0,0,0,,,489,0,15,504,653
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,15,3192,1019,115,39,167,93,133,543,26,28,94,20,28,4,0,,,5501,12,198,5711,10147
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,5,2,491,156,14,7,14,18,9,68,2,4,6,6,3,1,0,,,799,0,23,822,1043
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,6,2,240,56,4,2,12,5,5,32,3,7,3,1,1,1,0,,,372,0,15,387,1015
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,7,2,426,163,11,8,11,17,12,63,4,7,4,10,1,1,0,,,738,0,11,749,963
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,8,2,492,100,6,1,8,6,1,45,2,2,5,1,1,0,0,,,670,0,11,681,761
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,7,2081,538,63,21,40,45,36,316,15,14,31,15,2,3,1,,,3221,1,64,3286,4514
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,364,128,20,3,25,16,6,78,6,4,16,9,5,0,0,,,680,1,40,721,1009
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,11,2,317,190,16,9,23,13,7,78,7,7,6,4,1,3,1,,,682,0,26,708,914
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,12,3,491,291,25,9,15,13,46,158,9,12,2,11,4,0,0,,,1086,0,54,1140,1532
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,2,442,140,30,5,24,10,11,105,5,1,24,6,3,0,0,,,806,1,53,860,1185
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,2,331,188,18,2,37,12,3,86,3,5,9,2,3,1,0,,,700,2,33,735,1045
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,2,458,140,14,9,34,10,6,72,2,1,17,6,2,0,0,,,771,0,39,810,1131
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,2,431,134,6,5,28,14,9,80,7,1,25,10,5,0,0,,,755,0,39,794,1171
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,17,7,1887,543,94,16,60,48,27,475,25,32,26,18,10,4,0,,,3265,2,97,3364,5140
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,18,1,271,93,5,3,6,9,5,38,4,1,5,2,2,1,1,,,446,0,11,457,635
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,2,396,112,9,3,9,15,3,91,2,4,12,5,2,1,0,,,664,0,47,711,1070
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,2,409,139,16,9,19,14,4,69,1,7,18,14,3,2,0,,,724,0,31,755,1114
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,3,535,268,20,6,26,15,18,149,4,5,11,6,2,2,0,,,1067,0,32,1099,1556
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,2,340,159,16,5,26,12,13,93,5,6,10,7,4,2,0,,,698,0,22,720,933
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,2,299,100,24,0,16,5,3,75,2,1,6,5,2,0,0,,,538,0,9,547,865
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,24,2,346,206,10,4,13,16,8,121,3,9,2,3,1,0,1,,,743,5,26,774,1116
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,25,1,201,161,4,3,4,9,8,58,1,0,1,4,0,2,0,,,456,0,8,464,592
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,26,2,414,217,11,9,7,8,3,119,5,10,2,5,0,0,0,,,810,0,19,829,1094
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,27,2,405,209,9,10,12,19,12,108,6,13,5,8,2,0,2,,,820,0,22,842,1095
 ,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,28,1,170,159,7,4,6,11,0,50,4,2,2,6,3,0,0,,,424,0,9,433,587
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,29,2,313,182,11,4,21,10,12,96,1,5,4,1,1,1,0,,,662,0,13,675,847
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,30,2,313,155,10,7,7,8,3,82,3,5,6,4,2,1,0,,,606,0,13,619,756
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,31,1,264,135,11,5,9,7,9,67,1,1,4,6,0,1,0,,,520,0,13,533,713
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,2,308,113,8,4,18,20,10,72,1,5,9,5,3,1,1,,,578,1,35,614,818
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,2,312,159,15,5,33,9,8,82,3,5,7,2,1,1,1,,,643,0,20,663,938
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,2,443,180,16,11,18,56,4,105,2,3,24,7,1,0,0,,,870,0,32,902,1281
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,2,355,119,8,8,18,6,3,72,2,3,12,18,3,1,0,,,628,0,32,660,967
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,2,413,144,12,2,17,17,9,77,4,2,28,4,12,1,0,,,742,1,45,788,1196
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,2,317,110,7,7,9,14,1,53,1,1,23,0,5,5,0,,,553,0,19,572,896
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,38,2,308,113,8,6,9,9,2,39,5,2,9,3,1,0,0,,,514,0,13,527,768
