MUNICIPIO,CASILLA,TCAS,PAN,PRI,PRD,PT-Convergencia-PAS-PSN,PVEM,PDS,PCD,PARM,DSPPN,NULOS,TOTAL,OBSERVACIONES
Campeche,1,,117,160,21,16,5,1,1,5,5,5,336,
Campeche,2,,172,157,24,16,4,1,24,7,13,6,424,
Campeche,3,,155,207,38,11,5,1,4,10,4,6,441,
Campeche,4,,116,136,25,17,3,1,5,4,0,5,312,
Campeche,4,C1,93,124,28,10,0,1,3,1,4,7,271,
Campeche,4,C2,104,147,30,10,5,1,6,3,3,18,327,
Campeche,4,C3,89,136,25,10,4,1,2,4,3,8,282,
Campeche,5,,127,82,32,11,2,0,4,5,9,6,278,
Campeche,5,C,121,103,24,12,4,0,4,0,10,12,290,
Campeche,6,,168,155,32,9,3,0,1,4,13,17,402,
Campeche,7,,181,242,61,18,9,1,3,5,6,6,532,
Campeche,8,,188,127,37,23,9,2,3,8,4,6,407,
Campeche,9,,169,185,24,20,8,1,2,5,6,5,425,
Campeche,9,C,167,145,24,18,4,0,3,10,5,14,390,
Campeche,10,,121,106,38,24,2,2,1,0,0,14,308,
Campeche,10,C,84,120,24,16,3,0,0,4,4,40,295,
Campeche,11,,105,106,29,18,6,0,2,5,7,16,294,
Campeche,11,C,99,103,20,17,4,2,0,4,11,9,269,
Campeche,12,,186,207,33,45,7,0,0,15,6,17,516,
Campeche,12,C,175,212,41,36,6,2,0,2,10,0,484,
Campeche,13,,124,133,35,11,4,2,1,6,2,10,328,
Campeche,13,C,98,145,37,22,3,1,3,4,2,0,315,
Campeche,14,,81,89,14,14,6,1,1,0,5,14,225,
Campeche,14,C,72,113,18,11,4,0,2,2,1,12,235,
Campeche,15,,87,133,21,7,4,0,1,2,1,12,268,
Campeche,15,C,90,124,9,5,1,0,1,2,3,6,241,
Campeche,16,,106,180,43,15,6,0,2,5,3,15,375,
Campeche,17,,173,172,30,10,3,0,7,4,6,0,405,
Campeche,18,,130,169,34,20,2,1,8,7,7,7,385,
Campeche,19,,102,177,37,14,4,0,5,1,4,0,344,
Campeche,20,,83,132,18,5,1,1,1,2,2,8,253,
Campeche,20,C,70,120,14,12,3,0,2,1,4,21,247,
Campeche,21,,79,38,12,12,12,2,2,6,4,13,180,
Campeche,21,C,81,128,20,8,2,0,0,3,5,22,269,
Campeche,22,,82,113,29,15,2,3,8,2,3,12,269,
Campeche,22,C,81,120,21,10,2,1,9,3,8,16,271,
Campeche,23,,157,177,60,37,3,1,13,5,8,19,480,
Campeche,24,,142,152,40,11,3,0,1,1,9,12,371,
Campeche,24,C,129,188,33,26,5,1,3,3,5,13,406,
Campeche,25,,168,216,43,10,4,0,2,2,5,28,478,
Campeche,26,,149,195,35,18,3,0,1,1,8,11,421,
Campeche,26,C,199,179,26,21,3,0,1,11,8,8,456,
Campeche,27,,118,186,36,29,9,1,3,4,5,13,404,
Campeche,27,C,148,216,32,22,9,0,2,7,5,21,462,
Campeche,28,,69,167,15,12,7,2,3,1,5,3,284,
Campeche,28,C,75,147,24,20,4,0,1,4,4,11,290,
Campeche,29,,99,150,21,60,4,0,2,1,5,18,360,
Campeche,29,C,112,165,16,23,7,0,0,2,8,20,353,
Campeche,30,,110,134,24,19,1,0,1,4,3,13,309,
Campeche,30,C,92,125,13,32,2,1,0,4,5,0,274,
Campeche,31,,94,140,25,7,3,1,3,7,4,15,299,
Campeche,31,C,107,140,24,13,4,0,1,3,2,0,294,
Campeche,32,,118,115,37,18,2,0,10,3,1,11,315,
Campeche,32,C,127,115,17,26,2,0,16,3,10,0,316,
Campeche,33,,93,98,21,13,3,0,4,1,2,0,235,
Campeche,33,C,77,95,29,9,2,0,0,3,5,19,239,
Campeche,34,,87,148,42,17,4,0,2,2,1,11,314,
Campeche,34,C,89,165,32,14,4,1,5,3,6,10,329,
Campeche,35,,69,107,22,9,3,0,0,3,0,0,213,
Campeche,35,C,83,97,29,7,4,0,1,4,0,9,234,
Campeche,36,,108,114,26,8,3,0,2,2,0,18,281,
Campeche,36,C,96,130,31,12,2,1,2,4,0,20,298,
Campeche,37,,99,173,36,19,5,1,3,4,5,18,363,
Campeche,38,,158,167,14,14,4,1,4,4,7,9,382,
Campeche,39,,111,209,41,23,3,1,1,7,3,15,414,
Campeche,39,C,133,179,44,15,5,0,5,3,3,20,407,
Campeche,40,,153,199,58,12,6,3,5,7,4,18,465,
Campeche,41,,161,211,49,16,3,1,1,5,4,71,522,
Campeche,42,,148,129,26,23,8,0,2,8,10,8,362,
Campeche,42,C,150,125,39,19,4,1,2,12,4,16,372,
Campeche,43,,151,120,30,29,5,6,0,2,7,11,361,
Campeche,43,C,109,127,22,28,4,2,1,2,5,17,317,
Campeche,44,,98,67,24,40,4,0,1,7,6,0,247,
Campeche,44,C,121,83,23,20,2,0,2,9,4,16,280,
Campeche,45,,97,121,18,24,3,1,0,1,8,20,293,
Campeche,45,C,115,123,18,19,4,0,0,2,3,18,302,
Campeche,46,,130,160,18,16,3,2,0,6,5,22,362,
Campeche,46,C,144,134,15,27,3,1,0,5,5,12,346,
Campeche,47,,100,175,25,12,6,1,6,6,8,0,339,
Campeche,47,C,115,189,35,14,4,0,0,4,8,0,369,
Campeche,48,,125,162,29,17,6,0,1,7,7,0,354,
Campeche,48,C,127,153,27,14,4,0,1,10,5,19,360,
Campeche,49,,141,188,23,45,9,0,1,6,3,14,430,
Campeche,49,C,141,167,31,31,4,1,1,10,7,21,414,
Campeche,50,,121,157,29,17,5,1,2,4,9,9,354,
Campeche,50,C,105,155,39,17,4,2,0,5,11,4,342,
Campeche,51,,124,208,42,19,6,1,1,10,6,12,429,
Campeche,51,C,128,212,23,24,4,0,1,10,5,9,416,
Campeche,52,,98,152,19,19,0,0,0,8,6,7,309,
Campeche,52,C,102,147,25,17,3,0,0,3,2,15,314,
Campeche,53,,156,168,48,29,6,0,1,20,6,17,451,
Campeche,53,C,159,179,47,22,5,0,0,22,7,20,461,
Campeche,54,,94,160,26,28,5,0,1,13,5,17,349,
Campeche,54,C,102,136,29,23,4,0,4,10,8,14,330,
Campeche,55,,167,203,67,24,7,4,4,4,5,17,502,
Campeche,55,C,192,219,60,28,7,2,3,3,4,7,525,
Campeche,56,,95,123,36,20,11,3,1,7,7,11,314,
Campeche,56,C,121,127,30,27,0,0,1,5,6,10,327,
Campeche,57,,106,137,30,22,5,0,5,5,2,4,316,
Campeche,57,C,124,138,42,18,4,5,1,2,0,18,352,
Campeche,58,,163,144,47,13,0,1,1,7,7,31,414,
Campeche,58,C,136,156,45,9,8,0,4,4,1,0,363,
Campeche,59,,141,155,32,12,3,1,4,5,4,10,367,
Campeche,59,C,134,174,31,8,7,1,4,6,4,7,376,
Campeche,60,,123,98,33,30,5,2,3,6,4,6,310,
Campeche,60,C,118,135,26,16,3,2,5,4,2,17,328,
Campeche,61,,117,127,18,21,1,0,1,7,4,11,307,
Campeche,61,C,136,123,19,22,4,0,0,3,0,20,327,
Campeche,62,,91,105,27,15,1,0,0,2,2,53,296,
Campeche,62,C,72,152,27,7,3,1,1,3,3,0,269,
Campeche,63,,96,164,27,16,3,0,1,3,3,11,324,
Campeche,63,C,101,139,33,11,4,1,1,0,1,10,301,
Campeche,64,,105,147,21,12,5,0,0,4,3,11,308,
Campeche,64,C,112,135,22,16,6,0,1,3,6,15,316,
Campeche,65,,130,171,32,13,6,2,2,4,7,19,386,
Campeche,65,C,132,204,27,9,1,1,1,2,2,28,407,
Campeche,66,,104,136,57,18,3,4,0,3,1,17,343,
Campeche,66,C,115,109,29,26,6,1,1,5,1,14,307,
Campeche,67,,133,119,25,23,2,1,2,8,7,16,336,
Campeche,67,C,137,102,40,18,6,0,1,9,0,18,331,
