ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,1,CANATLAN,39,54,6685,6378,422,750,173,240,17,14648,363,15028,23831,0.6306
10,DURANGO,2,CANELAS,14,14,995,814,34,4,5,0,1,1852,54,1907,3141,0.6071
10,DURANGO,3,CONETO DE COMONFORT,9,11,607,1725,28,6,5,4,0,2375,47,2422,3469,0.6982
10,DURANGO,4,CUENCAME ,40,55,5549,5426,1737,1719,117,36,1,14584,351,14936,24670,0.6054
10,DURANGO,5,DURANGO,333,772,152186,84503,11876,3918,1939,4239,121,258661,4098,262880,455230,0.5775
10,DURANGO,6,GOMEZ PALACIO,206,428,42270,60131,1166,2868,934,939,57,108308,2080,110445,243294,0.4540
10,DURANGO,7,GRAL. SIMON BOLIVAR,16,23,2680,2521,79,8,29,1,1,5318,126,5445,7778,0.7001
10,DURANGO,8,GUADALUPE VICTORIA,26,53,7773,7421,779,477,261,125,5,16836,429,17270,28172,0.613
10,DURANGO,9,GUANACEVI,23,28,2389,3096,46,4,7,5,0,5547,117,5664,7419,0.7634
10,DURANGO,10,HIDALGO,8,11,1219,1118,44,5,1,0,0,2387,28,2415,3356,0.7196
10,DURANGO,11,INDE,17,17,1390,1541,15,5,5,4,0,2960,72,3032,4441,0.6827
10,DURANGO,12,LERDO,80,187,20341,25455,516,3210,729,936,101,51187,1432,52720,103955,0.5071
10,DURANGO,13,MAPIMI,25,40,4499,5126,96,494,95,21,3,10331,259,10593,17416,0.6082
10,DURANGO,14,MEZQUITAL,32,58,3399,8369,5521,27,90,8,58,17414,1517,18989,25959,0.7315
10,DURANGO,15,NAZAS,17,21,2404,3547,406,135,14,44,0,6550,131,6681,9214,0.7251
10,DURANGO,16,NOMBRE DE DIOS,21,28,2934,2980,1586,364,916,172,1,8952,279,9232,14215,0.6495
10,DURANGO,17,NUEVO IDEAL,29,45,4994,4528,179,319,73,186,21,10279,422,10722,20213,0.5305
10,DURANGO,18,OCAMPO,19,18,1909,2228,205,47,19,97,3,4505,143,4651,7006,0.6639
10,DURANGO,19,EL ORO,30,31,3237,2015,83,74,14,18,2,5441,139,5582,9547,0.5847
10,DURANGO,20,OTAEZ,14,17,907,1642,64,83,19,8,1,2723,138,2862,3753,0.7626
10,DURANGO,21,PANUCO DE CORONADO,16,25,2905,3184,414,51,90,29,5,6673,115,6793,10702,0.6347
10,DURANGO,22,PEÑON BLANCO,14,20,2398,2633,122,107,51,16,0,5327,92,5419,8364,0.6479
10,DURANGO,23,POANAS,23,36,5764,4714,528,381,377,86,4,11850,268,12122,18741,0.6468
10,DURANGO,24,PUEBLO NUEVO,48,70,7196,7988,472,345,525,253,19,16779,540,17338,30771,0.5635
10,DURANGO,25,RODEO,23,26,2576,2965,92,469,13,68,2,6183,122,6307,9790,0.6442
10,DURANGO,26,SAN BERNARDO,12,13,659,1047,16,16,4,2,0,1744,27,1771,2776,0.6380
10,DURANGO,27,SAN DIMAS,38,44,2855,3420,228,1114,127,15,3,7759,187,7949,13311,0.5972
10,DURANGO,28,SAN JUAN DE GUADALUPE,16,14,1154,1491,439,85,2,0,0,3171,83,3254,4506,0.7221
10,DURANGO,29,SAN JUAN DEL RIO,23,26,2131,3944,61,258,7,13,0,6414,101,6515,9828,0.6629
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,601,608,4,1,3,1,0,1218,24,1242,1867,0.6652
10,DURANGO,31,SAN PEDRO DEL GALLO,8,5,344,625,133,7,1,0,0,1110,14,1124,1469,0.7651
10,DURANGO,32,SANTA CLARA,9,10,1409,1338,428,293,16,3,0,3487,107,3594,5193,0.6921
10,DURANGO,33,SANTIAGO PAPASQUIARO,62,84,9017,10582,201,366,204,102,8,20472,479,20959,35587,0.5890
10,DURANGO,34,SUCHIL,11,13,835,1444,885,87,18,10,0,3279,93,3372,5225,0.6454
10,DURANGO,35,TAMAZULA DE  VICTORIA,31,37,3755,4584,55,15,3,1,3,8413,282,8698,15204,0.5721
10,DURANGO,36,TEPEHUANES,27,36,1443,3720,138,121,38,19,5,5479,230,5714,9384,0.6089
10,DURANGO,37,TLAHUALILO,26,32,3975,5895,86,385,80,64,3,10485,159,10647,14681,0.7252
10,DURANGO,38,TOPIA,13,16,1287,1883,19,13,17,1,0,3220,122,3342,5621,0.5946
10,DURANGO,39,VICENTE GUERRERO,17,32,3556,3995,284,400,1179,258,6,9672,232,9910,16415,0.6037
