CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,B,100,123,8,24,3,7,0,265,10,275,480,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/GOBERNADOR/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_GOB_0037B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,37,C01,113,90,12,49,1,6,0,271,9,280,479,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/GOBERNADOR/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_GOB_0037C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,38,B,180,133,26,7,10,13,2,369,24,395,635,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/GOBERNADOR/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_GOB_0038B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,39,B,47,109,3,0,0,3,2,162,1,165,277,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/GOBERNADOR/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_GOB_0039B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,40,B,155,143,6,13,5,3,0,325,10,335,509,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/CANATLÁN/GOBERNADOR/ACTAS DE ESCRUTINIO/CANATLÁN_AEC_GOB_0040B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,B,140,117,7,8,12,5,0,289,10,299,563,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1015B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,C01,114,135,13,4,7,6,1,279,6,286,563,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1015C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1015,C02,135,128,16,5,12,0,0,296,7,303,562,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1015C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1016,B,96,86,6,2,5,9,0,204,5,209,447,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1016B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1016,C01,97,87,15,3,8,4,0,214,8,222,446,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1016C1.pdf
