ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ACATLÁN,12,30,3262,3427,347,219,121,360,394,69,22,22,3,4,8246,442,8692,16086,0.6221
13,HIDALGO,2,ACAXOCHITLÁN,21,49,2883,6284,1606,635,713,583,2488,171,65,82,6,46,15516,1082,16644,29120,0.6003
13,HIDALGO,3,ACTOPAN,35,72,4056,8555,3565,387,437,1077,2397,609,315,338,64,71,21800,1066,22937,43021,0.5843
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE ,12,16,1787,1481,244,126,59,619,287,51,6,36,8,4,4704,292,5000,6861,0.781
13,HIDALGO,5,AJACUBA,11,23,2110,2382,1448,1065,647,158,402,13,36,6,3,1,8270,203,8474,13021,0.6889
13,HIDALGO,6,ALFAJAYUCAN,22,34,1390,2299,2126,2216,81,206,502,19,54,7,45,2,8945,282,9229,14819,0.6227
13,HIDALGO,7,ALMOLOYA ,13,18,1196,1898,421,32,717,292,162,5,2,3,1,1,4729,143,4873,8469,0.6483
13,HIDALGO,8,APAN ,25,56,7034,4564,2056,137,655,443,952,118,6,2,1,13,15968,392,16373,31645,0.5659
13,HIDALGO,9,ATITALAQUIA,10,33,3854,3134,1270,107,197,214,1440,41,6,10,1,14,10274,297,10585,19591,0.5935
13,HIDALGO,10,ATLAPEXCO,16,27,787,5214,2658,53,89,430,607,16,15,25,3,2,9897,500,10399,13915,0.7357
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,45,3792,4573,2743,241,371,597,334,102,23,20,8,7,12804,392,13203,22574,0.5953
13,HIDALGO,12,ATOTONILCO DE TULA,18,46,2048,4074,3764,486,1176,362,1836,59,23,4,2,31,13834,569,14434,27534,0.5909
13,HIDALGO,13,CALNALI,16,23,722,3251,2350,453,253,280,838,8,15,7,2,3,8179,878,9060,11958,0.7972
13,HIDALGO,14,CARDONAL,17,26,1508,3201,1788,103,141,895,540,62,14,68,4,3,8324,424,8751,14300,0.6119
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,66,5228,8375,2130,1607,781,1748,1566,243,295,313,85,44,22371,735,23150,40226,0.5964
13,HIDALGO,16,CHAPANTONGO,10,16,2092,2367,284,1807,41,182,208,9,12,1,4,0,7007,119,7126,9435,0.7552
13,HIDALGO,17,CHAPULHUACÁN,25,33,136,4303,5804,41,40,126,252,20,5,14,2,1,10743,412,11156,15917,0.7008
13,HIDALGO,18,CHILCUAUTLA,15,25,1857,2809,1670,665,70,221,1225,12,26,4,8,3,8567,285,8855,13024,0.6798
