CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,9,METEPEC,1,ACATLAN,1,3,100,169,15,3,4,9,10,1,0,1,0,0,312,4,316,1516
5,13,HIDALGO,9,METEPEC,1,ACATLAN,2,2,230,201,26,13,13,15,24,3,0,0,0,2,525,25,552,870
5,13,HIDALGO,9,METEPEC,1,ACATLAN,3,1,41,104,9,5,2,17,3,1,0,0,0,0,182,14,196,294
5,13,HIDALGO,9,METEPEC,1,ACATLAN,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
5,13,HIDALGO,9,METEPEC,1,ACATLAN,5,2,190,197,21,30,7,62,30,8,3,4,1,0,553,58,611,945
5,13,HIDALGO,9,METEPEC,1,ACATLAN,6,3,331,267,20,15,8,28,18,0,0,4,1,0,692,29,721,1248
5,13,HIDALGO,9,METEPEC,1,ACATLAN,7,2,222,166,6,9,3,11,7,5,0,0,0,0,429,11,440,1318
5,13,HIDALGO,9,METEPEC,1,ACATLAN,8,3,590,340,24,23,8,21,37,10,2,3,0,0,1058,58,1116,1856
5,13,HIDALGO,9,METEPEC,1,ACATLAN,9,4,481,656,80,53,36,116,139,21,2,5,0,0,1589,118,1707,2632
5,13,HIDALGO,9,METEPEC,1,ACATLAN,10,3,403,466,46,24,16,29,42,7,5,3,1,2,1042,35,1079,1709
5,13,HIDALGO,9,METEPEC,1,ACATLAN,11,3,468,497,75,28,15,37,58,8,6,0,0,0,1192,42,1234,2037
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,3,206,364,25,16,9,15,26,5,4,2,0,0,672,48,720,1401
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,3,369,592,132,20,29,29,119,5,4,1,1,7,1301,53,1361,2080
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,3,277,475,121,6,26,25,128,2,4,1,0,1,1065,55,1121,1605
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,15,1,27,136,26,9,24,15,22,0,0,2,0,0,261,14,275,451
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,16,1,145,164,17,14,29,22,47,0,0,0,0,0,438,45,483,722
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,2,81,170,16,6,26,14,45,0,0,0,1,0,359,87,446,787
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,1,4,58,2,4,1,3,5,0,1,0,0,0,78,8,86,146
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,2,48,253,75,7,21,58,64,0,0,0,0,0,526,8,534,1072
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,3,126,362,30,57,55,37,60,8,0,0,0,4,735,94,833,1908
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,3,109,201,124,36,9,20,28,6,4,0,0,1,537,30,568,1508
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,3,225,613,79,40,43,36,62,3,4,2,1,0,1108,53,1161,2041
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,3,260,555,170,46,66,64,151,4,7,3,1,13,1327,82,1422,2222
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,3,222,378,86,19,37,31,102,3,2,0,0,3,880,32,915,1472
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,1,77,143,35,8,14,18,47,0,0,0,0,0,342,21,363,743
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,4,325,465,102,60,67,47,536,0,2,0,0,0,1604,148,1752,2833
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,2,31,219,24,41,15,20,235,135,25,68,0,6,813,38,857,970
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,3,107,427,192,73,103,40,123,2,1,1,1,0,1070,58,1128,1675
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,3,133,321,102,86,68,35,386,3,4,1,1,6,1140,101,1247,2227
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,2,97,141,44,58,40,27,183,0,4,0,0,3,594,75,672,1194
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,2,174,374,61,34,23,31,117,0,2,0,0,0,816,46,862,1422
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,2,46,237,168,11,17,11,28,0,1,3,0,2,522,34,558,909
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,6,479,777,364,25,42,94,211,11,1,0,1,12,2005,97,2114,3981
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,3,175,468,161,25,25,61,106,3,0,4,0,6,1028,54,1088,2224
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,2,156,233,112,9,15,29,67,1,1,0,0,0,623,30,653,1226
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,3,242,398,164,15,40,55,99,1,0,3,1,12,1018,41,1071,1937
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,2,187,287,126,9,14,22,108,1,1,0,0,0,755,30,785,1382
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,3,200,249,103,4,11,27,69,3,0,0,0,0,666,22,688,1733
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,3,282,279,230,11,14,39,113,320,149,167,29,0,1633,38,1671,1964
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,2,162,256,119,22,21,38,84,162,144,150,28,0,1186,35,1221,1447
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,2,120,239,77,17,17,34,66,0,2,0,0,0,572,34,606,1118
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,43,2,130,117,50,3,9,15,40,1,2,0,0,0,367,10,377,1246
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,44,3,172,291,111,11,15,19,66,1,1,2,0,0,689,30,719,1745
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,45,2,121,140,57,3,9,11,37,0,0,0,0,0,378,13,391,1277
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,46,4,255,280,158,8,11,47,85,1,1,2,0,2,848,40,890,1663
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,47,2,138,259,120,8,23,30,72,0,0,0,0,1,650,23,674,1119
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,48,1,5,85,15,3,1,9,5,1,2,0,2,0,128,10,138,226
