ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,PT,MORENA,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ZIMAPÁN,192,248,11653,20878,583,2263,29435,24,64812,2476,67312,108749,0.6337
13,HIDALGO,2,ZACUALTIPÁN DE ÁNGELES,171,244,10083,17043,3012,3438,43964,83,77540,5241,82864,114454,0.731
13,HIDALGO,3,SAN FELIPE ORIZATLÁN,104,194,18892,10187,942,3778,32786,79,66585,6480,73144,101246,0.7586
13,HIDALGO,4,HUEJUTLA DE REYES,91,195,14338,9175,2469,3535,34116,186,63633,6941,70760,108880,0.6855
13,HIDALGO,5,IXMIQUILPAN,134,226,24870,6827,675,4743,29646,45,66761,2245,69051,113918,0.6316
13,HIDALGO,6,HUICHAPAN,113,215,26804,4621,805,5792,35014,107,73036,2567,75710,122028,0.6469
13,HIDALGO,7,MIXQUIAHUALA DE JUÁREZ,86,193,14336,13378,3272,6005,28579,70,65570,2216,67856,112181,0.6274
13,HIDALGO,8,ACTOPAN,119,211,16703,10706,1406,4314,31144,120,64273,2536,66929,115180,0.6236
13,HIDALGO,9,METEPEC,121,210,13899,11438,812,3111,33530,67,62790,2629,65486,103913,0.7034
13,HIDALGO,10,APAN,91,207,18604,6512,2969,5594,30657,113,64336,2561,67010,119955,0.5991
13,HIDALGO,11,TULANCINGO DE BRAVO,54,190,20123,3609,1396,4398,21185,181,50711,2832,53724,118375,0.4909
13,HIDALGO,12,PACHUCA DE SOTO,96,193,21240,6553,1283,4133,17505,117,50714,1734,52565,110204,0.5909
13,HIDALGO,13,PACHUCA DE SOTO,33,160,20275,5820,1188,4528,14151,151,45962,1500,47613,105777,0.5009
13,HIDALGO,14,TULA DE ALLENDE,74,190,14247,10393,1490,7620,16728,76,50478,1671,52225,114386,0.4944
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,191,15702,9565,2431,8329,20789,101,56816,1939,58856,113310,0.5683
13,HIDALGO,16,TIZAYUCA,63,190,10895,5687,988,4122,24301,92,45993,1443,47528,112056,0.4619
13,HIDALGO,17,VILLAS DEL ALAMO,87,190,24392,5995,1285,4484,16607,176,52763,1567,54506,112848,0.521
13,HIDALGO,18,TEPEAPULCO,85,197,16427,5863,1796,4103,30258,99,58447,1867,60413,115158,0.5733
