SECCION,Municipio,PAN,PRI,PRD,PC,PT,PVEM,PCM,PPS,PDM,NO REGISTRADOS,NULOS
1,AMACUZAC,30,178,247,16,6,2,57,2,0,0,13
2,AMACUZAC,6,159,133,0,3,0,2,0,0,0,12
3,AMACUZAC,13,378,206,2,8,3,2,2,0,0,9
4,AMACUZAC,9,367,217,12,35,3,3,1,0,0,13
5,AMACUZAC,4,148,107,2,7,1,3,0,0,0,6
6,AMACUZAC,14,324,354,37,4,2,12,1,2,0,18
7,AMACUZAC,20,165,202,5,2,0,2,0,0,0,22
8,AMACUZAC,25,251,239,2,2,4,6,0,0,0,3
9,AMACUZAC,14,324,226,14,8,1,6,2,0,0,14
10,AMACUZAC,19,161,221,18,15,2,9,1,0,0,26
11,AMACUZAC,7,165,129,1,2,4,5,0,0,0,6
12,ATLATLAHUCAN,58,417,209,0,47,0,0,0,0,0,13
13,ATLATLAHUCAN,38,411,193,0,25,0,0,0,0,1,15
14,ATLATLAHUCAN,27,351,163,0,37,0,0,0,0,0,19
15,ATLATLAHUCAN,8,262,194,0,13,0,0,0,0,0,26
16,ATLATLAHUCAN,7,110,27,0,39,0,0,0,0,0,9
17,ATLATLAHUCAN,5,241,78,0,17,0,0,0,0,0,24
18,ATLATLAHUCAN,16,146,120,0,1,0,0,0,0,0,7
19,ATLATLAHUCAN,8,183,58,0,12,0,0,0,0,0,12
20,ATLATLAHUCAN,43,24,32,0,2,0,0,0,0,0,5
21,ATLATLAHUCAN,40,12,18,1,3,0,1,0,0,0,1
22,ATLATLAHUCAN,38,9,19,0,5,0,0,0,0,1,9
23,ATLATLAHUCAN,38,20,16,0,1,0,0,0,0,0,2
24,Axochiapan,0,245,188,1,4,0,0,0,1,0,2
25,Axochiapan,0,245,255,0,1,0,0,0,2,0,16
26,Axochiapan,0,342,388,6,2,0,0,0,12,3,24
27,Axochiapan,0,307,212,3,3,1,0,0,1,0,11
28,Axochiapan,0,213,250,0,0,0,0,0,9,0,9
29,Axochiapan,4,345,228,1,6,0,0,0,3,0,17
30,Axochiapan,0,328,202,2,5,0,0,0,3,0,16
31,Axochiapan,0,329,269,3,4,0,0,0,8,0,25
32,Axochiapan,1,169,117,0,0,0,0,0,0,0,0
33,Axochiapan,4,389,129,5,2,4,0,1,3,0,10
34,Axochiapan,1,75,27,0,1,0,0,0,0,0,1
35,Axochiapan,0,93,180,8,1,0,0,0,0,0,16
36,Axochiapan,0,131,115,7,2,2,0,0,0,0,15
37,Axochiapan,0,55,166,1,1,0,0,2,0,0,0
38,Axochiapan,0,107,165,17,22,0,0,0,0,0,8
39,Axochiapan,10,116,132,3,12,0,0,0,0,0,10
40,Axochiapan,4,109,348,0,6,1,0,1,5,0,13
41,Axochiapan,0,100,224,0,4,0,0,0,5,0,19
42,Axochiapan,0,144,9,0,0,0,0,0,1,0,2
43,Axochiapan,0,132,88,0,1,0,0,0,0,0,9
44,AYALA,151,130,108,12,10,3,11,0,0,0,14
45,AYALA,221,218,185,5,16,0,45,1,0,0,28
46,AYALA,100,169,96,1,6,3,10,2,0,0,8
47,AYALA,154,113,143,9,11,4,14,2,0,3,13
48,AYALA,64,155,119,24,3,5,11,0,0,0,10
49,AYALA,118,416,100,12,5,1,10,1,0,0,16
50,AYALA,107,200,68,9,2,2,11,3,0,0,7
51,AYALA,75,279,106,11,2,3,2,2,1,0,9
52,AYALA,94,226,127,44,7,0,7,2,1,0,20
53,AYALA,54,46,23,0,1,0,1,1,1,0,2
54,AYALA,227,132,94,1,13,3,34,1,0,0,29
55,AYALA,150,145,104,2,4,1,62,2,1,2,16
56,AYALA,259,158,90,1,13,3,13,1,0,0,4
57,AYALA,276,146,42,0,19,3,16,0,0,0,19
58,AYALA,288,184,29,4,18,6,13,1,1,0,6
59,AYALA,256,225,131,0,12,9,26,4,2,0,8
60,AYALA,67,58,16,0,4,4,0,0,0,0,0
61,AYALA,94,147,180,16,25,3,32,2,0,0,22
62,AYALA,225,150,188,1,14,0,18,4,0,0,37
63,AYALA,50,57,45,0,0,0,0,0,0,0,0
64,AYALA,27,43,56,2,2,4,2,0,0,0,8
65,AYALA,70,101,34,0,2,2,1,0,0,1,4
66,AYALA,82,198,153,1,5,2,10,1,1,1,33
67,AYALA,127,148,164,8,10,4,11,1,2,0,20
68,AYALA,48,152,255,27,22,2,7,0,0,0,30
69,AYALA,57,182,236,11,7,3,11,0,0,0,11
70,AYALA,231,146,100,8,6,1,21,1,0,0,20
71,AYALA,262,164,67,2,9,0,9,2,0,0,4
72,AYALA,292,200,92,1,8,1,7,2,0,0,27
73,AYALA,189,173,98,2,8,3,4,3,0,0,14
74,AYALA,242,348,145,1,14,2,4,2,0,0,25
75,AYALA,94,181,162,1,21,4,4,2,0,0,10
76,AYALA,79,166,127,0,6,1,7,0,0,0,21
77,AYALA,166,196,174,5,17,3,4,1,0,0,0
78,AYALA,36,30,25,3,1,0,2,0,0,0,3
79,AYALA,27,58,124,1,0,0,1,1,0,0,0
80,AYALA,36,141,265,1,4,4,12,0,0,0,13
81,AYALA,72,58,22,1,1,2,1,1,0,0,3
82,AYALA,13,60,24,0,0,0,0,0,0,0,2
83,AYALA,41,191,131,1,6,5,6,6,0,0,10
84,AYALA,24,263,117,4,6,3,9,0,0,0,60
85,AYALA,79,126,61,5,0,0,0,0,0,0,12
86,COATLAN DEL RIO,51,230,161,1,0,0,1,0,0,0,25
87,COATLAN DEL RIO,42,280,304,0,0,0,11,0,0,0,26
88,COATLAN DEL RIO,6,123,93,1,1,1,3,1,1,0,10
89,COATLAN DEL RIO,28,279,276,7,4,4,7,0,1,0,19
90,COATLAN DEL RIO,18,102,69,2,0,0,0,0,0,0,0
91,COATLAN DEL RIO,4,85,39,1,0,1,1,0,0,0,4
92,COATLAN DEL RIO,5,197,89,1,0,0,1,0,0,0,0
93,COATLAN DEL RIO,40,214,181,0,0,0,0,0,0,0,20
94,COATLAN DEL RIO,29,204,57,1,1,4,3,1,0,0,10
95,COATLAN DEL RIO,13,127,14,0,1,1,0,0,0,0,7
96,COATLAN DEL RIO,19,75,18,0,0,0,0,0,0,0,8
97,CUAUTLA,42,195,200,3,10,12,118,6,1,0,8
98,CUAUTLA,26,73,115,2,11,8,47,5,0,0,7
99,CUAUTLA,16,141,115,2,14,2,178,24,0,0,16
100,CUAUTLA,5,143,81,1,7,1,149,33,0,0,36
101,CUAUTLA,30,87,89,2,16,4,85,5,1,0,5
102,CUAUTLA,47,143,184,8,5,10,54,7,0,1,11
103,CUAUTLA,52,116,234,0,7,13,47,0,0,0,10
104,CUAUTLA,26,132,261,2,6,9,15,1,0,1,12
105,CUAUTLA,26,106,165,2,8,12,36,1,1,0,9
106,CUAUTLA,26,114,185,3,9,12,19,0,2,0,23
107,CUAUTLA,41,128,216,4,3,16,17,0,1,0,12
108,CUAUTLA,44,146,320,20,13,12,45,2,0,0,16
109,CUAUTLA,31,140,278,7,14,10,35,2,1,0,25
110,CUAUTLA,63,160,284,11,8,15,28,0,2,1,34
111,CUAUTLA,56,174,244,10,14,18,37,0,0,0,6
112,CUAUTLA,46,234,262,14,15,27,23,3,0,0,24
113,CUAUTLA,53,154,186,2,12,15,42,3,3,0,30
114,CUAUTLA,80,340,356,4,13,15,29,0,1,0,35
115,CUAUTLA,37,124,146,3,4,20,13,0,0,0,11
116,CUAUTLA,50,176,262,16,8,17,27,1,0,0,21
117,CUAUTLA,46,114,238,6,7,14,68,1,0,0,15
118,CUAUTLA,23,136,274,2,6,35,42,0,0,0,20
119,CUAUTLA,44,154,354,5,12,10,29,1,0,1,10
120,CUAUTLA,40,183,289,3,4,21,20,1,0,0,24
121,CUAUTLA,24,60,99,0,4,8,16,0,1,0,14
122,CUAUTLA,42,136,177,2,1,11,10,2,0,0,0
123,CUAUTLA,78,189,500,2,10,15,32,1,1,0,36
124,CUAUTLA,68,125,342,2,8,15,31,1,0,0,4
125,CUAUTLA,61,169,485,1,12,14,29,3,0,0,22
126,CUAUTLA,42,114,274,4,6,12,25,1,0,0,20
127,CUAUTLA,34,130,331,0,6,27,27,4,0,0,20
128,CUAUTLA,61,134,387,1,6,14,16,0,0,0,20
129,CUAUTLA,42,172,264,1,2,24,25,4,0,1,16
130,CUAUTLA,46,165,164,0,3,17,54,2,0,1,10
131,CUAUTLA,42,153,421,2,6,18,15,1,1,0,13
132,CUAUTLA,55,154,352,4,6,27,21,2,0,0,18
133,CUAUTLA,25,49,103,2,1,7,5,0,1,0,7
134,CUAUTLA,58,133,245,4,10,17,43,1,1,0,25
135,CUAUTLA,43,270,412,4,27,19,65,2,3,0,34
136,CUAUTLA,26,118,271,3,3,4,22,0,3,0,16
137,CUAUTLA,47,228,232,2,3,20,30,2,0,0,12
138,CUAUTLA,57,115,248,3,7,12,23,1,2,0,13
139,CUAUTLA,36,89,232,1,6,12,61,2,0,0,16
140,CUAUTLA,36,162,427,2,5,11,38,3,0,0,10
141,CUAUTLA,33,99,231,0,7,12,26,0,0,2,14
142,CUAUTLA,33,195,323,0,3,22,33,2,2,0,21
143,CUAUTLA,43,217,402,2,7,32,44,8,0,0,29
144,CUAUTLA,15,111,251,4,3,11,15,0,1,0,17
145,CUAUTLA,35,97,402,2,4,11,11,3,2,0,16
146,CUAUTLA,28,148,430,1,5,23,26,1,0,1,10
147,CUAUTLA,37,142,262,8,9,10,43,6,0,0,13
148,CUAUTLA,79,142,238,4,18,21,55,1,0,0,31
149,CUAUTLA,24,140,164,1,5,11,25,2,2,0,0
150,CUAUTLA,43,138,232,5,8,13,50,3,0,0,16
151,CUAUTLA,58,203,299,6,12,21,19,4,0,0,26
152,CUAUTLA,59,221,286,1,7,24,27,1,0,0,15
153,CUAUTLA,35,83,176,2,2,4,37,3,0,1,6
154,CUAUTLA,15,102,227,0,4,6,43,1,0,0,22
155,CUAUTLA,48,186,276,4,5,27,47,3,0,0,14
156,CUAUTLA,37,133,221,5,7,14,25,2,0,0,17
157,CUAUTLA,18,94,276,2,4,7,63,6,1,0,5
158,CUAUTLA,15,83,179,1,3,15,12,0,0,0,1
159,CUAUTLA,50,196,462,1,5,29,30,1,3,0,8
160,CUAUTLA,23,98,283,5,2,7,7,0,0,0,4
161,CUAUTLA,14,63,245,0,2,7,12,1,0,0,7
162,CUAUTLA,34,129,398,2,13,20,37,1,0,0,13
163,CUAUTLA,22,70,156,1,3,8,6,0,0,0,5
164,CUAUTLA,13,76,108,1,0,9,22,0,1,0,2
165,CUAUTLA,30,170,215,2,4,13,38,0,0,1,14
166,CUAUTLA,40,204,286,7,4,8,32,0,1,0,15
167,CUAUTLA,23,189,215,0,8,9,27,0,0,0,9
168,CUAUTLA,27,162,219,2,10,20,47,2,2,0,7
169,CUAUTLA,29,189,279,3,14,27,25,0,0,0,12
170,CUAUTLA,23,129,293,2,2,18,26,2,0,0,7
171,CUAUTLA,15,77,137,0,6,6,21,0,0,0,0
172,CUAUTLA,38,110,192,2,3,13,13,1,0,0,7
173,CUAUTLA,69,151,329,4,7,33,39,1,1,0,10
174,CUAUTLA,49,142,263,2,2,19,18,1,0,0,20
175,CUAUTLA,55,143,223,2,10,13,46,0,1,0,9
176,CUAUTLA,35,107,160,2,4,11,34,0,0,1,10
177,CUAUTLA,55,169,217,2,1,19,41,1,0,0,11
178,CUAUTLA,64,202,365,6,9,11,46,2,2,2,28
179,CUAUTLA,45,119,284,4,5,14,20,2,1,0,8
180,CUAUTLA,31,161,266,5,14,4,91,1,0,0,18
181,CUAUTLA,51,168,117,2,12,8,42,0,1,1,12
182,CUAUTLA,36,176,191,6,3,11,12,3,0,0,10
183,CUAUTLA,62,209,161,7,11,13,10,2,0,0,14
184,CUAUTLA,15,167,54,4,3,6,13,1,0,0,7
185,CUAUTLA,42,362,160,2,2,7,33,0,1,0,24
186,CUAUTLA,24,199,147,3,3,12,15,1,0,0,12
187,CUAUTLA,15,33,43,1,1,1,3,0,0,1,1
188,CUERNAVACA,244,305,180,58,11,20,39,4,6,0,17
189,CUERNAVACA,159,137,111,21,8,14,13,5,1,1,18
190,CUERNAVACA,269,452,127,40,17,25,36,7,6,0,36
191,CUERNAVACA,132,252,94,26,5,16,33,4,2,1,27
192,CUERNAVACA,305,239,153,56,16,25,47,6,25,14,21
193,CUERNAVACA,324,317,244,84,30,29,37,10,12,0,50
194,CUERNAVACA,302,287,251,65,27,49,61,15,7,1,29
195,CUERNAVACA,179,211,162,95,11,30,18,6,2,0,30
196,CUERNAVACA,123,302,115,47,19,10,14,2,1,0,33
197,CUERNAVACA,185,294,270,165,22,35,30,5,2,2,27
198,CUERNAVACA,122,212,130,83,9,26,30,0,0,0,24
199,CUERNAVACA,219,170,185,47,9,21,34,8,3,3,22
200,CUERNAVACA,105,106,110,18,5,22,14,1,3,0,16
201,CUERNAVACA,222,178,93,65,8,13,12,4,3,0,22
