ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,ACONCHI,2,5,978,0,42,0,14,8,541,77,0,24,0,0,0,0,0,0,0,1684,143,1827,2271,0.8045
26,SONORA,2,AGUA PRIETA,30,97,17460,0,703,0,911,362,9044,567,0,155,0,0,0,0,0,0,25,29202,906,30133,60676,0.4966
26,SONORA,62,ALAMOS,29,41,5540,5524,251,120,53,219,130,107,0,4,171,195,11,2,0,0,1,12327,280,12608,18909,0.6668
26,SONORA,3,ALTAR,7,12,1387,1856,820,25,153,5,46,27,0,13,15,6,10,0,0,0,0,4363,77,4440,6217,0.7142
26,SONORA,4,ARIVECHI,3,4,428,546,5,3,1,3,12,16,1,1,5,10,3,0,0,0,1,1034,7,1042,1278,0.8153
26,SONORA,5,ARIZPE,5,7,954,0,361,0,15,8,895,14,0,4,0,0,0,0,0,0,1,2251,136,2388,2846,0.8391
26,SONORA,6,ATIL,1,1,264,276,50,3,2,50,6,2,0,6,1,4,3,1,0,0,0,668,10,678,740,0.9162
26,SONORA,7,BACADEHUACHI,1,2,319,283,2,8,1,156,82,5,5,3,8,3,9,2,0,0,0,886,26,912,1033,0.8829
26,SONORA,8,BACANORA,4,4,459,157,12,287,3,48,41,12,2,6,1,17,0,1,0,0,0,1046,36,1082,1605,0.6741
26,SONORA,9,BACERAC,2,2,454,0,173,0,9,1,296,9,0,3,0,0,0,0,0,0,0,945,33,978,1130,0.8655
26,SONORA,10,BACOACHI,2,3,323,0,207,0,15,7,418,18,0,2,0,0,0,0,0,0,0,990,78,1068,1416,0.7542
26,SONORA,58,BACUM,13,30,2475,3560,2681,319,68,218,216,203,0,200,0,0,0,0,0,0,3,9940,370,10313,17328,0.5952
26,SONORA,11,BANAMICHI,2,3,583,0,17,0,17,11,516,8,0,6,0,0,0,0,0,0,2,1158,75,1235,1459,0.8465
26,SONORA,12,BAVIACORA,6,9,1731,0,56,0,24,28,671,30,0,12,0,0,0,0,0,0,0,2552,172,2724,3247,0.8389
26,SONORA,13,BAVISPE,2,3,615,0,16,0,8,1,373,10,0,1,0,0,0,0,0,0,0,1024,58,1082,1339,0.8081
26,SONORA,71,BENITO JUAREZ,12,25,2977,4402,941,128,30,434,131,148,0,86,13,45,7,0,0,0,6,9342,196,9544,15196,0.6281
26,SONORA,14,BENJAMIN HILL,4,8,960,719,13,24,41,179,26,51,0,69,5,5,3,0,0,0,0,2095,33,2128,3815,0.5578
26,SONORA,46,CABORCA,36,99,7385,14434,431,409,937,291,760,2259,0,417,65,92,30,19,0,0,5,27529,669,28203,57916,0.4870
26,SONORA,59,CAJEME,219,523,39104,62760,2896,2237,1298,12623,3238,5360,1732,1971,492,1073,137,41,0,3225,127,138187,3962,142276,304116,0.4678
26,SONORA,15,CANANEA,19,45,5912,0,1137,0,363,743,3670,550,0,113,0,0,0,0,0,0,15,12488,645,13148,26498,0.4962
26,SONORA,47,CARBO,2,6,1029,0,27,0,331,235,542,18,0,20,0,0,0,0,0,0,0,2202,56,2258,3373,0.6694
26,SONORA,16,CUCURPE,3,2,426,0,19,0,7,1,284,3,0,4,0,0,0,0,0,0,0,744,49,793,990,0.8010
26,SONORA,17,CUMPAS,8,12,1352,0,379,0,37,12,1966,23,0,16,0,0,0,0,0,0,4,3785,282,4071,5192,0.7841
26,SONORA,18,DIVISADEROS,1,2,456,487,4,2,1,2,6,1,1,0,0,0,0,0,0,0,0,960,1,961,1164,0.8256
26,SONORA,60,EMPALME,30,69,6204,4536,2813,3848,633,112,1624,611,0,258,0,0,0,0,0,0,0,20639,665,21304,39169,0.5439
26,SONORA,63,ETCHOJOA,40,79,8937,9747,5659,240,255,103,709,344,0,123,157,256,42,2,0,0,1,26574,823,27398,41937,0.6533
26,SONORA,19,FRONTERAS,5,12,1332,0,99,0,763,49,1480,96,0,41,0,0,0,0,0,0,1,3860,302,4163,6165,0.6753
26,SONORA,70,GRAL. PLUTARCO ELIAS CALLES,8,17,1254,1711,1303,42,40,1056,47,31,0,15,1,7,1,0,0,0,0,5508,191,5699,10243,0.5564
26,SONORA,20,GRANADOS,1,2,456,514,4,3,0,5,24,0,0,0,0,4,0,0,0,0,0,1010,8,1018,1218,0.8358
26,SONORA,61,GUAYMAS,91,193,18909,16243,1497,705,8777,1104,974,2586,256,1626,65,167,26,4,0,0,19,52939,1671,54629,108383,0.5040
26,SONORA,49,HERMOSILLO,417,951,104843,106039,6287,6483,3601,11659,5773,10451,2031,6552,1196,3038,213,29,1365,0,315,269560,8984,278859,552671,0.5046
26,SONORA,21,HUACHINERA,2,2,507,0,15,0,5,3,297,7,0,1,0,0,0,0,0,0,0,835,51,886,1010,0.8772
26,SONORA,22,HUASABAS,1,3,453,779,2,9,0,1,18,6,5,2,0,11,1,0,0,0,0,1287,9,1296,1571,0.8250
26,SONORA,64,HUATABAMPO,41,99,17119,13887,3383,285,244,94,619,389,0,145,184,435,72,15,0,0,9,36871,792,37672,56837,0.6628
26,SONORA,23,HUEPAC,2,3,575,0,28,0,9,5,366,11,0,6,0,0,0,0,0,0,0,1000,64,1064,1307,0.8141
26,SONORA,24,IMURIS,9,17,2482,1928,103,100,35,319,0,83,27,22,0,0,0,0,0,0,0,5099,209,5308,9169,0.5789
26,SONORA,48,LA COLORADA,5,6,640,813,227,239,6,7,9,22,2,4,2,10,0,0,0,0,0,1981,48,2029,2479,0.8185
26,SONORA,25,MAGDALENA,15,39,4771,0,970,0,208,198,5268,252,0,133,0,0,0,0,0,0,10,11800,693,12503,22662,0.5517
26,SONORA,50,MAZATAN,1,3,488,510,60,19,6,92,17,8,0,3,5,5,5,0,0,0,0,1218,40,1258,1508,0.8342
26,SONORA,26,MOCTEZUMA,4,9,1516,0,30,0,21,29,1388,39,0,10,0,0,0,0,0,0,1,3033,132,3166,4022,0.7872
26,SONORA,27,NACO,4,7,1776,0,76,0,77,63,861,25,0,12,0,0,0,0,0,0,1,2890,140,3031,4441,0.6825
26,SONORA,28,NACORI CHICO,3,4,617,511,2,6,0,0,7,3,1,0,23,22,3,0,0,0,0,1195,13,1208,1498,0.8064
26,SONORA,29,NACOZARI DE GARCIA,10,18,2354,0,718,0,154,49,1966,199,0,32,0,0,0,0,0,0,7,5472,256,5735,9446,0.6071
26,SONORA,65,NAVOJOA,76,193,27104,24154,2549,1083,669,914,1209,1595,0,614,83,400,42,8,0,0,54,60424,1623,62101,113338,0.5479
26,SONORA,30,NOGALES,133,294,28405,23858,1321,1550,1166,9347,505,2764,1432,1297,60,147,23,3,0,0,77,71878,2138,74093,175374,0.4225
26,SONORA,66,ONAVAS,1,2,235,400,3,72,6,3,10,9,3,5,1,1,0,0,0,0,0,748,9,757,908,0.8337
26,SONORA,51,OPODEPE,5,6,757,0,16,0,36,95,376,9,0,285,0,0,0,0,0,0,0,1574,83,1657,2177,0.7611
26,SONORA,31,OQUITOA,1,1,149,279,0,0,1,0,8,5,0,0,0,0,0,0,0,0,0,442,10,452,532,0.8496
26,SONORA,52,PITIQUITO,6,13,1106,2032,235,43,42,402,75,27,0,35,7,20,1,0,0,0,1,4025,76,4102,5921,0.6928
26,SONORA,53,PUERTO PEÑASCO,18,67,13131,7681,198,183,187,422,319,368,0,268,27,98,12,0,0,0,5,22894,404,23303,42190,0.5523
26,SONORA,67,QUIRIEGO,3,6,1233,1038,42,9,6,33,20,20,0,6,13,6,9,2,0,0,0,2437,46,2483,3414,0.7273
26,SONORA,54,RAYON,3,4,780,0,34,0,20,31,670,37,0,22,0,0,0,0,0,0,1,1594,100,1695,2188,0.7747
26,SONORA,68,ROSARIO,6,9,1169,1934,5,15,9,7,8,10,9,2,8,17,0,0,0,0,0,3193,76,3269,4641,0.7044
26,SONORA,32,SAHUARIPA,12,12,1141,1581,6,54,4,1,202,10,4,3,49,35,10,1,0,0,1,3101,72,3174,4581,0.6929
26,SONORA,33,SAN FELIPE DE JESUS,1,1,227,0,9,0,6,5,150,3,0,11,0,0,0,0,0,0,0,411,31,442,508,0.8701
26,SONORA,72,SAN IGNACIO RIO MUERTO,8,21,1688,2765,629,730,29,90,194,157,0,253,0,0,0,0,0,0,0,6535,234,6769,10092,0.6707
26,SONORA,34,SAN JAVIER,1,2,150,305,185,6,3,1,3,4,1,1,0,5,0,0,0,0,0,664,17,681,776,0.8776
26,SONORA,55,SAN LUIS RIO COLORADO,91,237,23320,17637,1170,2104,453,589,1175,3483,0,2629,72,315,23,19,0,0,55,52989,2025,55069,139009,0.3962
26,SONORA,56,SAN MIGUEL DE HORCASITAS,4,8,1241,0,202,0,30,586,490,154,0,34,0,0,0,0,0,0,1,2737,230,2968,4722,0.6285
26,SONORA,35,SAN PEDRO DE LA CUEVA,3,5,757,895,7,7,2,6,5,6,3,1,1,11,1,0,0,0,0,1702,27,1729,2101,0.8229
26,SONORA,36,SANTA ANA,12,23,2791,3080,51,34,85,187,86,78,0,19,34,51,3,1,0,0,0,6500,158,6658,12040,0.5530
26,SONORA,37,SANTA CRUZ,1,3,286,430,165,7,6,8,0,9,2,0,0,0,0,0,0,0,0,913,13,926,1347,0.6875
26,SONORA,38,SARIC,2,4,432,552,1,288,2,44,7,2,0,1,0,0,6,0,0,0,0,1335,28,1363,1799,0.7576
26,SONORA,39,SOYOPA,6,5,823,551,11,231,2,9,28,11,3,3,0,9,0,1,0,0,0,1682,46,1728,2083,0.8296
26,SONORA,40,SUAQUI GRANDE,1,2,512,637,3,10,1,4,5,9,0,3,0,2,0,0,0,0,0,1186,8,1194,1395,0.8559
26,SONORA,41,TEPACHE,3,2,261,438,350,3,0,0,5,2,0,4,0,3,0,0,0,0,0,1066,35,1101,1445,0.7619
26,SONORA,42,TRINCHERAS,3,3,604,704,2,3,4,0,8,4,0,1,9,5,0,0,0,0,0,1344,13,1357,1677,0.8092
26,SONORA,43,TUBUTAMA,5,5,367,570,2,6,2,39,3,68,0,0,0,0,0,4,0,0,5,1061,30,1096,1454,0.7538
26,SONORA,57,URES,13,17,2260,0,708,0,104,366,1972,92,0,300,0,0,0,0,0,0,1,5802,411,6214,8849,0.7022
26,SONORA,44,VILLA HIDALGO,3,4,494,0,242,0,10,153,282,22,0,2,0,0,0,0,0,0,0,1205,71,1276,1636,0.7800
26,SONORA,45,VILLA PESQUEIRA,3,4,700,500,5,21,2,4,143,16,1,8,4,12,0,1,0,0,0,1417,29,1446,1600,0.9038
26,SONORA,69,YECORA,7,11,1239,1954,46,23,4,3,17,1,6,4,19,36,0,1,0,0,0,3353,82,3435,4323,0.7946
