ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRD,PT,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,19,52,850,779,3566,233,142,7852,4518,,,,181,,,,18121,16,879,19016,28856,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_1.PDF
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,8,45,470,641,4514,324,296,9725,3762,,,,,,,,19732,30,647,20409,29642,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_2.PDF
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,48,447,665,5176,249,426,5787,5671,,,,,,,,18421,0,965,19386,28545,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_3.PDF
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,23,57,963,519,5345,306,305,6152,7114,,,,,,491,,21195,408,742,22345,30794,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_4.PDF
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,21,55,484,607,6409,247,252,5476,6509,,,,,,,728,20712,17,824,21553,31220,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_5.PDF
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,32,62,678,702,5725,566,275,7047,7690,,,,,,,,22683,13,1131,23827,32466,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_6.PDF
4,CAMPECHE,7,TENABO,35,66,457,463,8350,292,474,5553,8473,,,,,,,,24062,11,934,25007,31655,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_7.PDF
4,CAMPECHE,8,CD DEL CARMEN,17,53,518,416,7439,196,273,3562,4041,,316,,,542,,,17303,24,768,18095,31518,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_8.PDF
4,CAMPECHE,9,CD DEL CARMEN,24,53,477,386,7491,275,292,2970,6097,1677,,,,,,,19665,8,780,20453,31316,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_9.PDF
4,CAMPECHE,10,CD DEL CARMEN,16,43,435,372,7926,218,272,4059,3497,,,531,,,,,17310,8,682,18000,28478,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_10.PDF
4,CAMPECHE,11,CD DEL CARMEN,30,54,629,690,9452,277,357,3275,4208,,,,,,,,18888,10,732,19630,31658,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_11.PDF
4,CAMPECHE,12,SABANCUY CARMEN,29,54,290,1179,7284,194,152,3056,7127,,,,,,,,19282,2,1230,20514,31001,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_12.PDF
4,CAMPECHE,13,ESCARCEGA,28,57,523,1849,7985,408,57,3070,5446,,,,,,,,19338,9,1101,20448,31219,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_13.PDF
4,CAMPECHE,14,CANDELARIA,30,61,292,314,3818,88,29,7034,7646,,,,,,,,19221,0,1206,20427,30987,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/DIPUTADOS/CONSEJOS/COMP_14.PDF
