CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,15,2531,1080,181,77,204,106,113,1085,73,40,91,28,36,2,1,,,,21,,,,5669,5,255,5929,10147
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,217,127,24,8,51,16,9,166,15,7,15,8,4,0,0,,,,15,,,,682,0,39,721,1009
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,2,286,142,58,1,56,16,19,168,7,8,27,6,5,1,0,,,,10,,,,810,1,58,869,1185
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,2,179,180,33,10,74,9,7,161,7,6,15,3,5,2,0,,,,11,,,,702,1,32,735,1045
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,2,358,138,40,9,46,10,9,121,6,5,19,6,2,0,1,,,,5,,,,775,0,36,811,1131
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,2,310,137,41,12,30,14,13,70,13,3,30,9,6,1,1,,,,5,,,,695,0,29,724,1171
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,2,323,121,24,10,15,12,4,127,1,1,12,0,3,0,3,,,,4,,,,660,0,48,708,1070
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,2,316,155,45,7,24,15,5,97,6,7,19,10,2,0,0,,,,4,,,,712,1,36,749,1114
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,3,361,269,66,13,42,13,28,214,12,9,13,6,4,3,0,,,,8,,,,1061,1,40,1102,1556
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,2,217,157,35,9,35,6,21,163,10,6,12,4,4,2,1,,,,15,,,,697,1,23,721,933
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,2,175,162,36,7,28,11,11,131,9,4,7,7,3,2,0,,,,27,,,,620,0,40,660,865
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,2,197,121,21,6,24,13,11,127,13,9,7,7,3,0,0,,,,15,,,,574,1,40,615,818
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,2,181,145,54,18,30,10,13,146,14,7,6,5,0,2,0,,,,12,,,,643,0,22,665,938
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,2,291,171,53,15,36,24,9,173,15,8,23,7,3,0,0,,,,5,,,,833,0,34,867,1281
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,2,299,129,23,17,22,12,3,95,1,6,15,20,4,1,0,,,,2,,,,649,0,32,681,967
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,2,303,147,26,5,22,23,11,126,6,5,28,8,10,2,0,,,,16,,,,738,1,48,787,1196
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,2,236,109,24,11,8,14,4,107,9,1,14,2,0,7,0,,,,1,,,,547,2,17,566,896
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,40,2,183,118,25,5,23,8,5,153,9,3,6,5,4,0,0,,,,2,,,,549,2,23,574,766
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,41,2,174,85,41,7,9,13,5,136,7,7,11,7,0,0,0,,,,3,,,,505,0,27,532,768
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,7,1703,502,74,25,50,51,49,642,49,36,24,16,5,1,0,,,,,,,,3227,3,84,3314,4514
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,17,7,1571,461,81,30,93,47,37,789,48,48,30,15,10,3,0,,,,,,,,3263,4,111,3378,5140
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,18,1,243,80,8,4,10,8,6,64,4,6,4,4,0,1,0,,,,,,,,442,0,15,457,635
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,38,2,239,100,9,7,13,5,3,126,8,7,9,0,1,0,0,,,,,,,,527,0,30,557,768
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,3,562,263,20,12,62,33,18,304,20,16,7,14,3,2,0,,,,,,,,1336,1,56,1393,2052
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,81,17,3642,1297,190,68,309,135,91,1979,148,153,37,57,11,4,3,,,,,,,,8124,5,237,8366,12236
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,124,7,1264,435,83,19,95,36,22,577,47,30,11,15,9,1,0,,,,,,,,2644,17,105,2766,4078
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,128,1,62,55,5,1,9,0,2,33,0,0,2,0,0,0,0,,,,,,,,169,0,9,178,219
 ,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,42,2,225,216,23,10,35,12,6,215,12,12,4,13,7,1,0,,,,,,,,791,0,40,831,1106
 ,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,43,2,238,198,10,13,25,9,17,196,11,26,6,5,4,1,0,,,,,,,,759,0,20,779,995
 ,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,60,2,183,147,17,11,20,14,9,204,6,20,2,4,1,1,3,,,,,,,,642,0,35,677,973
