ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,PRI_PVEM_NVA_ALIANZA_PD,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1, ABASOLO,2,4,56,485,,,121,486,,,,22,,,,,,,,,,,,,,576,,1746,28,1774,2210,0.803
19,NUEVO LEON,2, AGUALEGUAS,9,10,1202,742,,,816,,,,,,,,,,,,,,,,,,,,,2760,32,2792,3792,0.736
19,NUEVO LEON,3, LOS ALDAMAS,7,5,545,646,,,305,,,,,,,,,,,,,,,,,,,,,1496,5,1501,2214,0.678
19,NUEVO LEON,4, ALLENDE,19,42,8078,5435,,169,245,174,94,,,158,,,,,,,,,,,,,,,,14353,309,14662,24878,0.589
19,NUEVO LEON,5, ANAHUAC,20,25,2810,3184,,264,75,32,104,,,113,1836,,,,,,,,,,,,,,,8418,172,8590,14047,0.678
19,NUEVO LEON,6, APODACA,288,628,55838,64171,2924,3566,8073,17586,5480,,,3314,3490,,18825,,,,,,,,,,,,,183267,3343,186610,360935,0.537
19,NUEVO LEON,7, ARAMBERRI,17,26,3068,,15,,,16,,,,,,317,,,,,,,,,,,5848,,,9264,290,9554,11719,0.815
19,NUEVO LEON,8, BUSTAMANTE,4,5,1029,811,,,9,,763,,,23,,,,,,,,,,,,,,,,2635,18,2653,3238,0.819
19,NUEVO LEON,9, CADEREYTA JIMENEZ,46,116,10709,10159,,,10412,301,277,61,,209,1134,,,,,,,,,,,,,436,,33698,733,34431,66345,0.552
19,NUEVO LEON,10, EL CARMEN,4,20,1837,,,,,996,,,,,,,,586,,,,,,,,,2104,2004,,7527,127,7654,13425,0.57
19,NUEVO LEON,11, CERRALVO,10,12,2561,1671,,,,,,,,,,,,,,,,,,,,,,,,4232,41,4273,6323,0.676
19,NUEVO LEON,12, CIENEGA DE FLORES,5,38,1397,1816,5093,347,1512,241,988,,,,365,,,,,,,,,,,,,,,11759,270,12029,22577,0.533
19,NUEVO LEON,13, CHINA,14,18,1898,,,,,,,,,,736,1098,,,,,,,,,,,2521,,,6253,120,6373,9425,0.676
19,NUEVO LEON,14, DR. ARROYO,37,54,8482,11544,111,132,,,69,,,,28,20,,,,,,,,,,,,,,20386,433,20819,26658,0.781
19,NUEVO LEON,15, DR. COSS,10,6,716,881,,86,,,72,,,,,,,,,,,,,,,,,,,1755,19,1774,2713,0.654
19,NUEVO LEON,16, DR. GONZALEZ,4,6,630,616,,,77,,,,,,,,,,,,,,,,,,,650,,1973,41,2014,3023,0.666
19,NUEVO LEON,17, GALEANA,37,64,3850,9268,116,413,150,,5290,,,,,607,,,,,,,,,,,,,,19694,842,20536,29781,0.69
19,NUEVO LEON,18, GARCIA,114,208,7409,20652,,,655,1237,631,,,431,573,,,,25557,,,,,,,,,3063,,60208,1069,61277,110470,0.555
19,NUEVO LEON,19, SAN PEDRO GARZA GARCIA,62,165,33433,10154,280,264,732,,780,223,,449,6355,327,,,,,,,,11260,,,,,,64257,885,65142,100475,0.648
19,NUEVO LEON,20, GRAL. BRAVO,9,9,1985,1888,,,,,,,,,,,,,,,,,,,,,,,,3873,26,3899,5558,0.702
19,NUEVO LEON,21, GRAL. ESCOBEDO,124,403,25285,53692,2156,3062,5334,7632,,,,,2694,,,,,25805,,,,,,,,,,125660,2752,128412,251429,0.511
19,NUEVO LEON,22, GRAL. TERAN,19,24,3017,,,,,,,,,,1597,,,,,,,,,,,,3132,,,7746,201,7947,12585,0.632
19,NUEVO LEON,23, GRAL. TREVIÑO,3,4,810,433,,,,,,,,,,,,,,,,,,,,,,,,1243,13,1256,1786,0.703
19,NUEVO LEON,24, GRAL. ZARAGOZA,5,10,96,1717,,2245,,,,,,,,,,,,,,,,,,,,,,4058,88,4146,4897,0.847
19,NUEVO LEON,25, GRAL. ZUAZUA,44,53,7027,4551,,,,,,,,690,,1383,,,,,,,,,,,,929,,14580,204,14784,29271,0.505
19,NUEVO LEON,26, GUADALUPE,293,858,114623,,3076,4854,,23889,,,,5705,5331,,,,,,20770,,,,,,118558,,,296806,5906,302712,523886,0.586
19,NUEVO LEON,27, LOS HERRERAS,6,6,1017,,,,,,,,,,,,,,,,,,,,,,973,,,1990,20,2010,2722,0.738
19,NUEVO LEON,28, HIDALGO,9,21,1884,,,,,2227,,,,233,111,1271,,,,,,,,,,,2160,396,,8282,143,8425,12237,0.689
19,NUEVO LEON,29, HIGUERAS,2,3,520,471,,,,,,,,,99,,,,,,,,,,,,,,,1090,14,1104,1341,0.823
19,NUEVO LEON,30, HUALAHUISES,9,12,1614,1862,,,,,238,,,,,,,,,,,388,,,,,,,,4102,54,4156,5874,0.708
19,NUEVO LEON,31, ITURBIDE,4,6,1156,1305,,,,,11,,,,,,,,,,,,,,,,,,,2472,43,2515,2915,0.863
19,NUEVO LEON,32, JUAREZ,150,300,18434,,573,1081,,2369,,,,915,954,28118,,,,,,,,,,,28978,,,81422,1479,82901,170059,0.506
19,NUEVO LEON,33, LAMPAZOS DE NARANJO,5,9,2280,1067,,,53,,,,,,,,,,,,,,,,,,,,,3400,28,3428,4470,0.767
19,NUEVO LEON,34, LINARES,47,105,20044,,,,,177,,,,,,,,,,,,,,,,,13673,405,,34299,907,35206,60403,0.583
19,NUEVO LEON,35, MARIN,3,7,837,1208,,,,,45,,838,,,,,,,,,,,,,,,,,2928,44,2972,4393,0.677
19,NUEVO LEON,36, MELCHOR OCAMPO,2,3,,520,,,,,581,,,,,,,,,,,,,,,,,,,1101,6,1107,1355,0.817
