ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PAN_PRD_MC,PRI,PRD,PT,PT_MORENA_ES,PVEM,MC,NA,MORENA,ES,VR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS 1,82,389,,29903,28899,,,89460,4183,,4244,,,3420,,160109,175,5280,165564,260453,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D01.pdf
15,MEXICO,2,TOLUCA DE LERDO,106,374,,43036,36572,,,73001,4772,,3219,,,4515,,165115,620,5284,171019,241049,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D02.pdf
15,MEXICO,3,CHIMALHUACAN,91,382,,15904,57371,,,68940,2301,,2226,,,1699,,148441,61,4351,152853,251806,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D03.pdf
15,MEXICO,4,LERMA DE VILLADA,118,421,,34314,50441,,,74874,15354,,3645,,,4496,,183124,75,5527,188726,262595,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D04.pdf
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,405,,19865,47545,,,75688,4497,,2829,,,2744,,153168,98,5310,158576,263181,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D05.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,106,349,,23791,23884,,,77496,5102,,2632,,,3089,,135994,81,4000,140075,222082,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D06.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,137,429,,37665,40908,,,79604,9246,,5375,,,6585,,179383,137,6723,186243,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D07.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,150,389,,28365,28352,,,85077,5459,,4290,,,2790,,154333,90,4850,159273,232046,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D08.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,529,,50958,57494,,,60244,4715,,5826,,,3404,,182641,90,8533,191264,272227,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D09.pdf
15,MEXICO,10,VALLE DE BRAVO,176,456,17552,,59765,22685,,55743,9866,1790,4358,,,9323,,181082,74,8123,189279,252414,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D10.pdf
