id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PRS,MEDP,CDPPN,PSN,PAS,No Reg,Nulos,Total
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,90,149,16,10,0,0,0,0,0,0,0,0,265
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,67,110,6,24,0,4,0,0,0,0,0,0,211
18,8/7/2002,12,Ayuntamientos,18,0,1,E,Extraordinaria,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,29,90,13,14,0,0,0,0,0,0,0,0,146
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,191,293,38,55,0,5,0,1,0,3,0,0,586
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,111,168,13,24,0,0,0,1,0,0,0,10,327
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,99,278,18,14,0,1,0,0,0,0,0,20,430
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,6,152,168,9,14,0,1,0,0,0,0,0,12,356
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,162,197,9,5,0,1,0,1,0,0,0,3,378
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,8,190,226,7,27,0,1,0,0,0,0,0,0,451
18,8/7/2002,12,Ayuntamientos,18,0,1,B,Basica,0,1,ACAPONETA,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,9,149,242,17,9,0,2,0,2,0,0,0,9,430
