Municipio,Seccion,Casilla,Cabecera,PAN,PRI,PRD,PT,PVEM,PRS,PARMEN,C.D.,NO REGISTRADOS,NULOS,Comment
ACAPONETA,1,B,Acaponeta,120,118,10,3,0,2,0,4,0,0,
ACAPONETA,2,B,Acaponeta,54,70,34,2,0,2,1,9,1,4,
ACAPONETA,2,E,El Centenario,8,54,10,4,0,0,1,1,0,0,
ACAPONETA,3,B,Acaponeta,84,222,207,12,0,3,7,11,0,24,
ACAPONETA,4,B,Acaponeta,74,150,41,7,0,2,1,2,0,17,
ACAPONETA,5,B,Acaponeta,104,234,38,13,0,2,0,5,0,12,
ACAPONETA,6,B,Acaponeta,107,166,36,13,0,7,0,1,0,12,
ACAPONETA,7,B,Acaponeta,171,151,32,14,0,1,0,5,0,10,
ACAPONETA,8,B,Acaponeta,201,198,36,7,0,3,1,8,0,9,
ACAPONETA,9,B,Acaponeta,88,107,20,3,0,3,0,12,0,4,
ACAPONETA,10,B,Acaponeta,179,224,26,14,0,2,0,13,0,24,
ACAPONETA,11,B,Acaponeta,103,140,12,5,0,5,0,4,0,5,
ACAPONETA,12,B,Acaponeta,158,212,19,12,0,0,0,13,0,14,
ACAPONETA,13,B,Acaponeta,141,174,14,8,0,1,0,7,0,13,
ACAPONETA,14,B,Acaponeta,61,128,5,10,0,3,0,2,0,2,
ACAPONETA,15,B,Acaponeta,105,178,20,5,0,2,0,2,0,0,
ACAPONETA,16,B,Acaponeta,83,142,26,13,0,0,0,6,0,0,
ACAPONETA,17,B,Acaponeta,85,147,21,10,0,0,0,5,0,8,
ACAPONETA,18,B,Acaponeta,115,152,16,0,0,1,1,4,0,0,
ACAPONETA,19,B,El Tacote,7,39,14,4,0,0,0,0,0,6,
ACAPONETA,20,B,Cerro Bola,12,62,5,1,0,0,0,0,0,6,
ACAPONETA,20,E,La Haciendilla,16,35,1,1,1,0,0,1,0,0,
ACAPONETA,21,B,El Aguaje,24,181,8,7,0,1,1,1,0,10,
ACAPONETA,22,B,Valle de la Urraca,21,62,6,0,0,0,0,0,0,9,
ACAPONETA,23,B,La Bayona,31,138,53,21,0,25,0,3,0,10,
ACAPONETA,23,E,Las Casitas,12,46,3,3,0,1,0,2,0,4,
ACAPONETA,24,B,El Recodo,33,138,69,8,0,0,0,0,0,0,
ACAPONETA,24,E,Llano de Mariquita,3,70,3,1,0,0,0,0,0,0,
ACAPONETA,24,E,La Morita,2,52,2,0,0,0,0,0,0,0,
ACAPONETA,25,B,La Lagunita,10,36,3,5,0,0,0,0,0,0,
ACAPONETA,26,B,San Diego Naranjo,20,50,1,4,0,0,0,0,0,0,
ACAPONETA,27,B,Santa Cruz,1,50,6,11,0,0,0,1,0,2,
ACAPONETA,27,E,El Carrizal,0,66,0,0,0,0,0,0,0,0,
ACAPONETA,28,B,San Diego de Alcala,9,109,17,2,0,0,0,1,0,0,
ACAPONETA,29,B,El Carrizo,11,37,4,2,0,0,0,0,0,0,
ACAPONETA,29,E,El Oro,12,25,1,2,0,0,0,0,0,3,
ACAPONETA,30,B,San Dieguito de Arriba,20,81,5,4,0,0,0,0,0,6,
