id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PVEM,PC,PRD-PT-PRS,No Registrado,Nulos,Total
18,3/7/2005,12,Ayuntamientos,18,0,101,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,101,14,153,2,2,169,0,17,357
18,3/7/2005,12,Ayuntamientos,18,0,102,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,102,30,121,0,0,177,0,11,339
18,3/7/2005,12,Ayuntamientos,18,0,102,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,102,17,125,1,3,156,0,18,320
18,3/7/2005,12,Ayuntamientos,18,0,103,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,103,9,148,0,1,158,0,21,337
18,3/7/2005,12,Ayuntamientos,18,0,103,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,103,16,157,4,2,118,0,17,314
18,3/7/2005,12,Ayuntamientos,18,0,104,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,104,29,194,0,1,183,0,23,430
18,3/7/2005,12,Ayuntamientos,18,0,104,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,104,35,174,3,1,189,0,18,420
18,3/7/2005,12,Ayuntamientos,18,0,105,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,105,11,142,2,1,165,0,17,338
18,3/7/2005,12,Ayuntamientos,18,0,105,1,C,Contigua,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,105,17,182,1,0,139,0,15,354
18,3/7/2005,12,Ayuntamientos,18,0,106,1,B,Basica,0,4,BAHIA DE BANDERAS,0,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,106,6,169,2,2,154,0,9,342
