CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,126,B,153,,120,31,3,,1,6,12,0,5,,,,,,,0,331,12,343,649,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0126B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,126,C01,164,,102,40,2,,1,4,9,4,10,,,,,,,1,336,9,346,649,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0126C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,127,B,141,,169,24,4,,4,7,13,2,11,,,,,,,1,375,8,384,705,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0127B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,127,C01,142,,128,30,5,,1,5,10,5,12,,,,,,,0,338,2,340,705,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0127C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,B,142,,152,27,5,,1,7,8,3,14,,,,,,,0,359,6,365,681,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0128B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,C01,140,,152,10,3,,3,11,9,4,13,,,,,,,0,345,12,357,681,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0128C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,C02,116,,151,22,6,,1,7,11,4,11,,,,,,,0,329,12,341,681,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0128C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,C03,133,,149,18,3,,4,6,15,12,12,,,,,,,0,352,4,356,680,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0128C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,C04,110,,148,29,3,,1,4,11,1,7,,,,,,,0,314,6,320,680,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0128C4.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,128,C05,131,,128,25,9,,3,4,13,5,11,,,,,,,0,329,14,343,680,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0128C5.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,129,B,167,,130,14,7,,3,6,14,4,11,,,,,,,0,356,13,369,666,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0129B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,129,C01,179,,115,22,6,,2,6,14,6,9,,,,,,,0,359,10,369,666,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0129C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,129,C02,154,,119,17,3,,1,8,13,7,12,,,,,,,0,334,9,343,665,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0129C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,129,C03,202,,128,25,4,,2,6,13,8,25,,,,,,,0,413,6,419,665,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0129C3.pdf
