ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,1, DURANGO,49,141,16862,15425,6744,2930,785,,313,790,1521,657,1753,,,,,,,49,47780,1190,49019,89141,0.5499
10,DURANGO,2, DURANGO,67,156,17323,14592,6928,3117,892,,239,1156,1526,712,,1144,,,,,,41,47629,1085,48755,90060,0.5414
10,DURANGO,3, DURANGO,48,139,15145,18461,5825,3058,800,283,239,896,1350,463,,,1134,,,,,22,47654,1237,48913,87781,0.5572
10,DURANGO,4, DURANGO,68,157,16820,16342,6728,3796,845,,239,904,1442,674,,,,1572,,,,38,49362,1236,50636,90887,0.5571
10,DURANGO,5, DURANGO,101,179,26431,16508,7673,2667,878,,248,1358,1603,784,,,,,1759,924,,40,60833,1305,62178,97361,0.6386
10,DURANGO,6,PUEBLO NUEVO,125,168,12283,12840,3295,1782,895,546,447,746,3313,1565,,,,,,,,52,37712,1974,39738,67913,0.5851
10,DURANGO,7,SANTIAGO PAPASQUIARO,161,204,8137,21329,5811,429,1233,2112,172,843,920,280,,,,,,,,17,41266,1628,42911,72690,0.5903
10,DURANGO,8,EL ORO ,201,240,16613,21080,4456,1745,1470,321,735,1225,2351,499,,,,,,,,59,50495,2623,53177,85191,0.6242
10,DURANGO,9,MAPIMI,116,164,9037,20749,5648,1210,2070,178,405,2497,3378,406,,,,,,,,28,45578,1489,47095,73834,0.6378
10,DURANGO,10,GOMEZ PALACIO,73,138,6828,20236,3413,748,587,144,132,604,1238,328,,,,,,,,28,34258,1044,35330,76490,0.4619
10,DURANGO,11,GOMEZ PALACIO,77,156,7742,19401,4423,713,1339,269,103,967,1801,616,,,,,,,710,103,38084,1304,39491,88005,0.4487
10,DURANGO,12,GOMEZ PALACIO,56,134,6767,18755,3383,362,991,241,185,818,1780,624,,,,,,,,34,33906,1073,35013,78799,0.4443
10,DURANGO,13,LERDO,52,137,9915,13978,2927,1071,975,656,487,812,3329,1583,,,,,,,,55,35733,1932,37720,78124,0.4828
10,DURANGO,14,CUENCAME,121,175,14513,16529,4003,5013,1153,250,576,960,3881,830,,,,,,,,19,47708,1927,49654,78683,0.6311
10,DURANGO,15,NOMBRE DE DIOS,104,167,7844,18604,3361,9718,812,1646,1192,1389,2669,2892,,,,,,,,180,50127,2838,53145,80555,0.6597
