CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,1,B,1,0,B,248,95,10,0,3,19,10,34,1,8,1,8,1,0,0,,,438,0,12,450,554,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/1 B.JPG
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,2,B,1,0,B,299,70,14,4,9,4,2,52,2,1,5,3,0,0,0,,,465,0,9,474,647,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/2 B.JPG
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,3,B,1,0,B,270,129,10,12,4,2,6,46,2,3,3,2,0,0,0,,,489,0,15,504,653,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/3 B.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,B,1,0,B,236,68,8,3,13,6,3,32,3,4,1,1,1,0,0,,,379,0,16,395,670,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 B.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,1,0,C01,210,53,13,1,8,11,0,46,1,1,7,2,3,1,0,,,357,0,15,372,670,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 C1.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,2,0,C02,100,67,10,5,15,4,54,2,3,0,4,3,1,0,0,,,268,6,0,274,669,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 C2.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,3,0,C03,203,72,13,1,7,5,3,43,1,3,0,0,0,0,0,,,351,0,16,367,669,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 C3.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C,4,0,C04,213,76,8,3,6,8,3,54,4,0,7,0,3,0,0,,,385,0,12,397,669,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,0,E01,255,57,3,1,5,9,3,59,0,4,12,1,2,0,0,,,411,0,9,420,713,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 E1C0.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,1,E01C01,281,66,4,3,6,8,0,52,3,3,8,2,4,0,0,,,440,0,16,456,713,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 E1C1.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,2,E01C02,220,78,4,3,9,7,2,51,1,2,6,0,0,1,0,,,384,0,18,402,713,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 E1C2.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,3,E01C03,253,56,9,3,16,9,2,53,3,0,6,2,1,0,0,,,413,0,17,430,713,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,1,4,E01C04,195,68,4,1,9,7,0,43,0,4,7,0,1,0,0,,,339,0,15,354,712,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 E1C4.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,0,E02,211,70,7,2,17,2,3,7,2,1,8,1,2,2,0,,,335,0,16,351,648,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,1,E02C01,223,76,7,3,10,3,3,24,1,2,9,5,2,0,0,,,368,0,0,368,647,ACTA CASILLA,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/4 E2C1.JPG
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,2,E02C02,160,67,10,5,15,4,54,2,3,0,4,3,1,0,0,,,328,6,0,334,647,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/CONSEJOS/CAMPECHE.PDF
 ,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E,2,3,E02C03,216,79,7,1,12,4,1,47,0,2,12,0,7,0,0,,,388,0,26,414,647,ACTA LEVANTADA EN CONSEJO,,,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/AYUNTAMIENTOS/CONSEJOS/CAMPECHE.PDF
