CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,344,C07,147,230,7,8,3,72,4,12,0,5,4,3,1,1,0,0,0,0,1,497,12,510,723,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,345,B,150,192,8,4,1,30,1,12,0,5,0,0,0,0,0,0,0,0,0,403,13,416,744,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,345,C01,151,171,3,4,3,34,4,11,0,6,3,5,0,0,0,0,0,0,0,395,6,401,744,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,345,C02,154,168,3,5,4,22,5,11,0,5,2,5,0,0,0,0,0,0,0,384,16,400,744,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,345,C03,153,201,4,5,2,24,3,6,0,5,0,0,0,0,0,0,0,0,0,403,5,408,743,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,346,B,91,119,3,3,0,10,1,3,0,2,0,4,0,0,0,0,0,0,0,236,8,244,504,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,346,C01,83,101,1,3,2,11,2,3,0,1,0,3,0,0,0,0,0,0,0,210,4,214,504,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,347,B,134,136,2,4,2,16,7,3,0,2,16,0,0,0,0,0,0,0,0,322,5,327,697,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,347,C01,157,161,2,8,4,19,6,5,0,1,2,8,0,0,0,0,0,0,1,373,7,381,697,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,347,C02,156,162,6,7,0,12,5,3,0,2,5,8,0,0,0,0,0,0,0,366,3,369,696,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,348,B,117,136,2,4,4,11,4,5,0,3,4,9,0,0,0,0,0,0,0,299,11,310,632,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,348,C01,135,139,3,5,3,16,2,5,0,3,2,4,0,0,0,0,0,0,0,317,12,329,631,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,349,B,100,102,3,2,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,217,5,222,491,Acta casilla,,,
1,26,SONORA,10,HERMOSILLO NORESTE,49,HERMOSILLO,349,C01,113,76,3,5,5,11,1,6,0,2,4,0,0,0,0,0,0,0,0,226,2,228,490,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,350,B,129,134,4,7,4,16,3,8,0,6,0,3,0,0,0,0,0,0,0,314,5,319,715,Acta casilla,,,
1,26,SONORA,8,HERMOSILLO NOROESTE,49,HERMOSILLO,350,C01,133,103,6,2,1,13,1,6,0,2,0,3,0,0,0,0,0,0,0,270,9,279,715,Grupo de Recuento,,,
