CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,PAS,MORENA,ES,PAIS,PAN_PRD_MC_PAS,PAN_PRD_MC,PAN_PRD_PAS,PAN_MC_PAS,PRD_MC_PAS,PAN_PRD,PAN_MC,PAN_PAS,PRD_MC,PRD_PAS,MC_PAS,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,1,B,1,0,B,54,64,2,2,5,9,2,18,181,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,,,,,351,0,9,360,654,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,2,B,1,0,B,35,28,0,2,3,3,2,10,82,3,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,,,,,178,0,0,178,266,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,3,B,1,0,B,88,88,2,9,8,6,13,19,203,3,9,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,4,0,0,0,,,,,457,2,9,468,665,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,4,B,1,0,B,28,61,2,4,7,3,10,13,132,4,5,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,,,,,276,0,4,280,391,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,5,B,1,0,B,20,41,4,3,10,4,10,25,153,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,,,,,282,1,7,290,466,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,6,B,1,0,B,24,27,3,1,8,1,4,15,67,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,,,,157,0,0,157,226,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,7,B,1,0,B,46,73,3,6,6,4,4,26,186,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,2,,,,,369,0,10,379,590,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,8,B,1,0,B,42,66,3,5,7,3,6,16,171,3,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2,0,5,,,,,342,0,5,347,557,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,9,B,1,0,B,29,45,9,3,4,4,6,13,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,,,,,221,0,9,230,364,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,10,B,1,0,B,33,49,6,9,5,7,2,12,116,3,3,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,3,0,0,2,,,,,256,0,11,267,425,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,11,B,1,0,B,24,36,5,2,6,2,3,17,121,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,,,,,227,0,10,237,407,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,12,B,1,0,B,16,34,5,0,0,1,0,12,77,0,1,1,0,1,6,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,,,,,162,0,7,169,286,ACTA CASILLA,,,,
1,25,SINALOA,2,LOS MOCHIS,1,AHOME,13,B,1,0,B,28,25,0,1,8,1,5,7,103,6,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,1,,,,,196,0,5,201,370,ACTA CASILLA,,,,
