CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,10,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,320,C01,114,106,3,4,3,4,0,10,4,0,5,0,253,5,258,406,Acta Casilla,,,
5,6,COLIMA,10,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,321,B,140,106,4,5,3,7,1,17,1,1,6,0,291,11,302,505,Acta Casilla,,,
5,6,COLIMA,10,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,321,C01,131,114,5,2,7,7,3,15,4,0,5,0,293,6,299,505,Acta Casilla,,,
5,6,COLIMA,10,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,321,C02,150,111,3,2,5,11,0,18,3,0,4,0,307,8,315,505,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,322,B,110,92,11,28,2,14,0,7,1,2,0,1,267,8,276,500,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,323,B,87,70,6,19,2,3,0,6,0,0,0,0,193,8,201,380,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,323,C01,81,81,5,10,6,4,0,5,3,0,0,0,195,9,204,380,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,324,B,144,126,32,15,3,4,0,14,5,1,0,0,344,20,364,632,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,324,C01,112,140,16,22,4,7,0,8,3,3,0,0,315,25,340,631,Acta Casilla,,,
5,6,COLIMA,10,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,325,B,152,130,7,4,10,14,2,9,6,3,8,0,345,6,351,600,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,326,B,109,95,1,11,2,4,0,4,5,1,0,0,232,4,236,408,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,326,C01,90,93,3,10,6,15,0,3,1,0,0,0,221,3,224,408,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,327,B,131,81,1,1,2,2,0,2,0,0,0,0,220,3,223,316,Acta Casilla,,,
5,6,COLIMA,15,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,328,B,285,136,8,3,8,8,0,13,6,4,4,0,475,5,480,711,Acta Casilla,,,
5,6,COLIMA,16,NO ESTABLECIDO ACUERDO 27/2014,10,TECOMAN,329,B,185,154,8,3,8,7,1,5,3,0,5,0,379,7,386,681,Acta Casilla,,,
