ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,1,NO ESTABLECIDO ACUERDO 24/2014,15,50,6468,5131,384,1249,475,2199,811,543,232,164,0,9,17656,617,18282,30126,0.6069
6,COLIMA,2,NO ESTABLECIDO ACUERDO 24/2014,43,76,9878,0,691,2189,684,1859,8012,699,401,342,0,17,24755,1149,25921,39721,0.6526
6,COLIMA,3,NO ESTABLECIDO ACUERDO 24/2014,27,70,6797,6286,439,2916,473,933,610,313,275,0,0,7,19042,849,19898,33022,0.6026
6,COLIMA,4,NO ESTABLECIDO ACUERDO 24/2014,24,61,8013,8148,465,495,619,856,598,386,197,235,0,7,20012,599,20618,32132,0.6417
6,COLIMA,5,NO ESTABLECIDO ACUERDO 24/2014,29,67,8313,8432,446,566,841,1458,440,390,248,209,175,12,21518,595,22125,35297,0.6268
6,COLIMA,6,NO ESTABLECIDO ACUERDO 24/2014,21,59,7189,7983,1392,269,493,895,418,446,309,0,155,7,19549,558,20114,30953,0.6498
6,COLIMA,7,NO ESTABLECIDO ACUERDO 24/2014,17,54,7631,4962,705,372,1645,1538,679,584,443,217,210,15,18986,593,19594,33223,0.5898
6,COLIMA,8,NO ESTABLECIDO ACUERDO 24/2014,36,57,6482,6154,429,367,413,2327,578,524,342,238,142,15,17996,401,18412,30951,0.5949
6,COLIMA,9,NO ESTABLECIDO ACUERDO 24/2014,26,50,3643,5071,1357,3303,305,278,0,351,422,61,0,2,14791,639,15432,25481,0.6056
6,COLIMA,10,NO ESTABLECIDO ACUERDO 24/2014,19,43,6532,4734,201,147,457,817,124,641,223,129,176,2,14181,353,14536,25485,0.5704
6,COLIMA,11,NO ESTABLECIDO ACUERDO 24/2014,14,56,8472,5226,300,527,675,836,237,567,257,629,148,10,17874,431,18315,33539,0.5461
6,COLIMA,12,NO ESTABLECIDO ACUERDO 24/2014,17,54,8447,5986,461,384,394,829,290,377,355,547,174,5,18244,422,18671,32784,0.5695
6,COLIMA,13,NO ESTABLECIDO ACUERDO 24/2014,26,56,8554,5459,234,652,383,560,207,425,290,442,246,11,17452,505,17968,32122,0.5594
6,COLIMA,14,NO ESTABLECIDO ACUERDO 24/2014,20,65,9217,5885,209,2428,576,669,402,377,224,442,0,4,20429,662,21095,34942,0.6037
6,COLIMA,15,NO ESTABLECIDO ACUERDO 24/2014,16,41,5913,4477,468,200,356,949,127,471,159,121,197,4,13438,342,13784,24951,0.5524
6,COLIMA,16,NO ESTABLECIDO ACUERDO 24/2014,20,44,5469,5786,186,136,258,547,121,197,161,64,190,3,13115,277,13395,23802,0.5628
