CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2049,1,COLIMA,36,2,313,177,20,40,17,64,37,23,14,5,0,0,710,32,742,1364
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2050,1,COLIMA,37,3,476,338,27,72,38,101,35,37,14,9,0,0,1147,48,1195,2142
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2051,1,COLIMA,38,2,207,0,10,45,12,37,137,13,7,10,0,0,478,36,514,887
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2052,1,COLIMA,39,1,118,0,11,20,12,23,107,6,3,4,0,0,304,13,317,514
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2053,1,COLIMA,40,1,115,0,11,31,15,31,101,9,3,2,0,0,318,21,339,585
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2054,1,COLIMA,41,1,88,0,5,13,7,26,122,20,1,5,0,0,287,10,297,446
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2055,1,COLIMA,42,1,124,0,14,32,4,24,107,12,2,5,0,0,324,10,334,564
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2056,1,COLIMA,43,2,235,0,13,76,12,32,212,12,15,8,0,0,615,31,646,1070
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2057,1,COLIMA,44,1,137,0,7,14,5,10,81,6,3,4,0,0,267,14,281,496
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2058,1,COLIMA,45,3,488,0,20,68,35,77,279,14,6,13,0,1,1000,50,1051,1613
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2059,1,COLIMA,46,2,227,0,15,59,7,43,176,16,15,13,0,1,571,22,594,894
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2060,1,COLIMA,47,2,289,0,25,74,22,85,276,22,9,18,0,1,820,28,849,1212
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2061,1,COLIMA,48,2,227,0,24,77,23,61,221,26,17,18,0,0,694,40,734,1081
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2062,1,COLIMA,49,1,43,68,4,7,9,26,11,10,1,4,3,0,186,7,193,322
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2063,1,COLIMA,50,2,179,131,16,53,10,35,34,12,13,0,0,1,483,17,501,828
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2064,1,COLIMA,51,2,215,0,15,37,13,29,139,9,10,6,0,0,473,27,500,804
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2065,1,COLIMA,52,3,636,0,19,52,16,40,270,12,10,3,0,0,1058,52,1110,1644
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2066,1,COLIMA,53,2,377,0,27,67,29,56,203,16,10,10,0,0,795,34,829,1365
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2067,1,COLIMA,54,3,341,402,41,68,55,119,49,41,23,22,8,0,1169,55,1224,1912
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2068,1,COLIMA,55,2,182,224,28,35,34,55,19,30,4,11,7,0,629,15,644,1119
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2069,1,COLIMA,56,1,75,77,13,14,12,38,7,11,11,2,8,0,268,18,286,441
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2070,1,COLIMA,57,2,151,122,12,28,8,39,21,7,14,0,0,0,402,11,413,763
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2071,1,COLIMA,58,2,261,0,8,60,11,36,213,6,7,10,0,0,612,28,640,1041
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2072,1,COLIMA,59,2,285,0,16,69,27,22,141,23,15,3,0,0,601,45,646,1158
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2073,1,COLIMA,60,11,1514,1002,75,267,96,272,110,100,75,35,0,0,3546,106,3652,6905
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2074,1,COLIMA,61,3,360,274,26,95,40,72,26,30,16,0,0,0,939,41,980,1900
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2075,1,COLIMA,62,11,1735,924,88,557,128,187,91,73,69,0,0,1,3852,183,4036,7736
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2076,1,COLIMA,63,2,210,214,32,35,25,86,25,18,10,9,12,0,676,20,696,1151
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2077,1,COLIMA,64,2,283,218,18,24,33,104,32,26,7,11,6,1,762,20,783,1270
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2078,1,COLIMA,65,4,393,285,35,41,54,97,24,40,23,27,9,1,1028,37,1066,1883
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2079,1,COLIMA,66,2,203,245,14,23,38,60,21,24,7,7,8,0,650,26,676,1146
5,6,COLIMA,5,NO ESTABLECIDO ACUERDO 27/2080,1,COLIMA,67,2,201,237,23,26,24,59,41,15,9,6,6,0,647,15,662,1011
5,6,COLIMA,3,NO ESTABLECIDO ACUERDO 27/2081,1,COLIMA,68,2,305,207,32,57,25,110,40,25,23,0,0,1,824,33,858,1410
