ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,15393,6111,4954,3592,3276,4209,1394,25152,4128,1554,1550,6775,,,,,,,78088,105,3735,81928,125451,
17,MORELOS,2,CUERNAVACA,94,222,13012,5468,7642,2459,2652,1603,2854,21341,3545,3525,2235,,3494,5499,4231,,,,79560,94,4214,83868,128115,
17,MORELOS,3,TEPOZTLAN,83,213,6588,5732,11531,4519,4666,2588,6094,28629,5101,2200,3061,,,,,,,,80709,138,5213,86060,122953,
17,MORELOS,4,YECAPIXTLA,68,186,12758,8720,6296,4878,5652,7440,2421,18815,3464,1683,6663,,,,,,,,78790,89,4365,83244,115638,
17,MORELOS,5,TEMIXCO,58,185,5460,7132,11000,4055,3059,1641,3645,21160,3152,2021,2304,,,,,,,,64629,64,3757,68450,113589,
17,MORELOS,6,JIUTEPEC,56,192,9733,4963,13483,4452,3372,1461,1713,27757,4261,2428,2176,,,,,,,,75799,96,3394,79289,119643,
17,MORELOS,7,CUAUTLA,84,210,4414,11320,8549,3317,2927,6892,2640,22640,2883,2148,2170,,,,,5322,,,75222,135,3369,78726,124696,
17,MORELOS,8,XOCHITEPEC,44,175,7656,16622,4862,9095,1727,1530,1957,14353,2492,1660,1218,,,,,,5456,,68628,55,3241,71924,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,2120,21252,6816,1666,5394,1885,6038,23990,3532,1752,970,,,,,,,,75415,71,3449,78935,113898,
17,MORELOS,10,AYALA,88,213,2306,12589,18576,2155,3831,3294,4869,18366,2700,4721,5345,,,,,,,,78752,76,4397,83225,124032,
17,MORELOS,11,JOJUTLA,98,213,2874,9733,5800,3208,6672,3718,3616,24673,7313,2344,4591,,,,,,,,74542,66,4485,79093,117882,
17,MORELOS,12,YAUTEPEC,65,202,5480,6039,15802,3762,2935,2558,1700,19406,3296,3502,2506,,,,,,,5751,72737,73,3748,76558,121854,
