ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_JUNTA,JUNTA,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,1,PICH,5,12,943,1553,510,20,32,16,254,661,12,29,42,,4072,188,4260,6569,0.6485
4,CAMPECHE,1,CAMPECHE,2,TIXMUCUY,6,7,627,1160,24,7,6,4,12,24,4,94,18,,1980,62,2042,2548,0.8014
4,CAMPECHE,1,CAMPECHE,3,ALFREDO V. BONFIL,5,7,640,731,311,5,2,5,104,63,4,68,16,,1949,47,1996,2389,0.8355
4,CAMPECHE,1,CAMPECHE,4,HAMPOLOL,4,6,426,525,215,33,5,5,15,35,21,719,22,,2021,88,2109,2787,0.7567
4,CAMPECHE,2,CALKINI,5,BECAL,7,13,205,1384,54,58,29,17,1500,767,4,28,77,,4123,94,4217,5485,0.7688
4,CAMPECHE,2,CALKINI,6,DZITBALCHE,6,17,292,2076,86,58,77,84,1161,3388,0,12,104,,7338,264,7602,10218,0.744
4,CAMPECHE,2,CALKINI,7,NUNKINI,8,14,175,2463,131,352,20,53,309,2060,0,0,87,,5650,274,5924,6988,0.8477
4,CAMPECHE,3,CARMEN,8,ATASTA,7,19,3319,2304,154,127,27,40,107,826,18,3,239,,7164,280,7444,10745,0.6928
4,CAMPECHE,3,CARMEN,9,MAMANTEL,8,12,1336,1201,15,17,7,30,18,1262,8,6,92,,3992,100,4092,5513,0.7422
4,CAMPECHE,3,CARMEN,10,SABANCUY,11,20,4511,3300,50,17,21,39,42,132,15,13,80,,8220,216,8436,12412,0.6796
4,CAMPECHE,4,CHAMPOTON,11,HOOL,3,7,858,952,92,22,12,6,46,50,3,3,77,,2121,76,2197,3595,0.6111
4,CAMPECHE,4,CHAMPOTON,12,SEYBAPLAYA,11,22,889,2640,1060,77,210,418,533,1489,34,635,126,,8111,316,8427,12059,0.6988
4,CAMPECHE,4,CHAMPOTON,13,SIHOCHAC,3,6,137,1067,103,34,7,220,38,627,14,2,49,,2298,57,2355,2901,0.8118
4,CAMPECHE,4,CHAMPOTON,14,CARRILLO PUERTO,7,9,1311,1286,154,21,36,40,61,174,6,3,85,,3177,157,3334,4823,0.6913
4,CAMPECHE,5,HECELCHAKAN,15,POMUCH,6,11,2111,1440,25,61,5,31,35,181,13,1331,67,,5300,129,5429,6585,0.8244
4,CAMPECHE,6,HOPELCHEN,16,BOLONCHEN DE REJON,5,8,1268,1219,51,12,0,21,56,352,0,0,43,,3022,95,3117,4135,0.7538
4,CAMPECHE,6,HOPELCHEN,17,DZIBALCHEN,14,21,3373,3377,26,21,155,40,383,50,3,0,96,,7524,150,7674,10215,0.7512
4,CAMPECHE,8,TENABO,18,TINUN,3,4,464,538,19,3,4,0,68,22,0,0,24,,1142,26,1168,1363,0.8569
4,CAMPECHE,9,ESCARCEGA,19,CENTENARIO,4,7,501,1211,716,18,12,14,20,16,1,0,66,,2575,92,2667,4035,0.661
4,CAMPECHE,11,CALAKMUL,20,CONSTITUCION,4,7,950,1070,60,8,8,13,83,51,0,5,48,,2296,47,2343,3191,0.7342
