CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,ID_JUNTA,JUNTA,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,144,1,16,84,8,1,1,1,12,32,0,1,1,,157,1,158,213
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,146,1,62,164,32,0,0,2,5,108,3,0,0,,376,6,382,444
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,145,2,185,183,21,2,3,3,10,47,2,12,5,,473,17,490,794
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,4,290,454,214,10,22,8,59,391,6,15,10,,1479,88,1567,2624
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,4,390,668,235,7,6,2,168,83,1,1,26,,1587,76,1663,2494
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,134,1,39,152,3,0,0,1,3,5,0,6,0,,209,4,213,275
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,128,1,51,78,3,0,1,0,1,1,1,0,0,,136,4,140,204
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,143,1,79,105,3,0,1,1,1,7,1,66,1,,265,6,271,323
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,133,1,118,234,0,5,2,1,4,6,1,17,2,,390,13,403,475
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,138,1,209,124,2,0,1,1,1,3,1,3,10,,355,15,370,474
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,135,2,131,467,13,2,1,0,2,2,0,2,5,,625,20,645,797
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,3,ALFREDO V. BONFIL,132,1,47,46,3,1,1,0,2,34,0,13,1,,148,5,153,187
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V. BONFIL,136,1,63,52,8,0,0,2,13,4,0,4,1,,147,1,148,179
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,3,ALFREDO V. BONFIL,131,1,119,55,0,1,0,0,7,3,2,11,0,,198,3,201,236
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V. BONFIL,140,2,192,284,282,0,1,1,50,6,2,26,6,,850,24,874,896
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V. BONFIL,141,2,219,294,18,3,0,2,32,16,0,14,8,,606,14,620,891
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,119,1,39,99,39,0,0,1,3,0,3,102,0,,286,15,301,362
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,120,1,70,85,145,9,3,0,2,2,5,207,1,,529,25,554,735
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,121,2,80,111,24,5,0,1,7,28,9,323,2,,590,27,617,831
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,118,2,237,230,7,19,2,3,3,5,4,87,19,,616,21,637,859
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,5,BECAL,157,1,36,266,3,40,0,2,104,51,0,9,15,,526,17,543,658
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,159,2,18,170,7,6,4,1,252,97,1,1,5,,562,9,571,784
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,164,2,20,252,9,1,12,5,158,152,0,0,17,,626,6,632,804
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,162,2,30,177,20,4,0,4,271,134,2,6,8,,656,15,671,911
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,160,2,31,145,5,3,3,1,310,90,0,1,11,,600,12,612,765
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,163,2,34,202,6,2,4,1,216,103,0,10,8,,586,15,601,771
3,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,161,2,36,172,4,2,6,3,189,140,1,1,13,,567,20,587,792
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,174,2,40,236,11,4,7,8,117,401,0,1,15,,840,18,858,1139
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,173,3,25,315,13,6,17,13,263,579,0,2,13,,1246,40,1286,1745
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,177,3,45,283,13,13,17,13,247,585,0,1,18,,1235,31,1266,1674
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,176,3,55,387,13,8,10,13,229,607,0,0,24,,1346,61,1407,1915
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,175,3,58,375,21,11,12,19,236,632,0,0,24,,1388,43,1431,1900
3,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,180,3,69,480,15,16,14,18,69,584,0,8,10,,1283,71,1354,1845
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,165,1,0,229,0,1,0,0,1,0,0,0,5,,236,16,252,257
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,182,1,3,71,2,5,1,1,7,39,0,0,0,,129,7,136,157
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,171,1,15,283,5,30,2,5,13,102,0,0,12,,467,34,501,623
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,168,2,22,456,4,9,1,6,57,383,0,0,13,,951,33,984,1205
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,167,2,24,347,6,8,3,5,74,432,0,0,10,,909,25,934,1120
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,158,2,33,290,40,60,4,6,32,123,0,0,32,,620,79,699,774
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,170,2,41,125,60,230,4,19,32,225,0,0,7,,743,45,788,904
3,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,166,3,37,662,14,9,5,11,93,756,0,0,8,,1595,35,1630,1948
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,269,1,209,115,11,1,2,12,5,33,0,0,12,,400,12,412,648
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,264,2,178,134,2,21,1,11,6,19,1,0,12,,385,14,399,504
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,263,2,323,245,19,15,4,6,13,61,1,2,38,,727,39,766,962
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,268,3,556,377,40,18,2,2,19,236,1,0,36,,1287,43,1330,1844
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,266,3,570,317,30,14,3,0,7,78,1,0,62,,1082,48,1130,1702
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,265,3,723,382,11,30,1,5,13,79,3,1,41,,1289,36,1325,2042
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,5,760,734,41,28,14,4,44,320,11,0,38,,1994,88,2082,3043
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,474,1,55,56,0,0,0,5,4,58,0,0,0,,178,3,181,231
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,270,1,56,63,0,2,0,2,0,48,0,0,2,,173,5,178,239
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,483,1,87,71,0,2,2,1,2,55,1,0,11,,232,7,239,324
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,479,1,243,122,0,1,0,5,1,29,0,0,3,,404,9,413,561
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,473,2,93,270,3,2,0,2,5,301,3,1,22,,702,13,715,945
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,472,2,193,165,7,1,1,2,3,265,2,3,14,,656,26,682,942
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,484,2,281,258,4,6,2,8,1,225,1,1,29,,816,22,838,1168
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,478,2,328,196,1,3,2,5,2,281,1,1,11,,831,15,846,1103
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,255,1,174,179,3,1,0,3,1,10,0,1,4,,376,9,385,522
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,254,1,200,140,1,0,2,0,4,34,3,0,0,,384,17,401,621
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,260,1,208,180,9,0,0,1,2,20,0,0,0,,420,15,435,698
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,10,SABANCUY,261,2,365,338,1,4,4,0,1,8,1,0,12,,734,22,756,1132
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,251,2,388,296,3,3,2,5,1,4,1,5,8,,716,13,729,1026
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,259,2,389,350,9,4,1,4,2,14,7,2,9,,791,18,809,1326
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,252,2,431,277,3,0,1,8,5,3,0,3,9,,740,19,759,1014
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,258,2,432,392,3,3,2,3,19,17,2,1,15,,889,22,911,1408
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,10,SABANCUY,262,2,501,362,13,0,3,3,1,8,1,0,0,,892,18,910,1346
3,4,CAMPECHE,12,SABANCUY,3,CARMEN,10,SABANCUY,253,2,646,365,1,2,2,8,4,2,0,0,7,,1037,34,1071,1492
