CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,ID_JUNTA,JUNTA,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,121,C01,42,49,14,1,0,0,2,10,6,172,0,,296,15,311,415,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC121C01O65.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,5,BÉCAL,157,B,36,266,3,40,0,2,104,51,0,9,15,,526,17,543,658,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL157BO.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,159,B,7,90,6,4,2,0,121,49,0,0,2,,281,5,286,392,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC159BO209.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,159,C01,11,80,1,2,2,1,131,48,1,1,3,,281,4,285,392,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC159C01O211.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,160,B,9,73,4,3,1,0,153,49,0,1,7,,300,5,305,383,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC160BO213.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,160,C01,22,72,1,0,2,1,157,41,0,0,4,,300,7,307,382,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC160C01O215.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,161,B,23,89,3,1,2,2,94,69,0,0,6,,289,10,299,396,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC161BO217.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,161,C01,13,83,1,1,4,1,95,71,1,1,7,,278,10,288,396,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC161C01O219.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,162,B,19,90,7,2,0,2,139,72,0,2,3,,336,6,342,456,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC162BO221.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,162,C01,11,87,13,2,0,2,132,62,2,4,5,,320,9,329,455,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC162C01O224.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,163,B,13,101,3,1,2,1,114,47,0,6,5,,293,10,303,386,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC163BO226.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,163,C01,21,101,3,1,2,0,102,56,0,4,3,,293,5,298,385,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC163CO1I227.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,164,B,4,146,8,1,3,5,64,83,0,0,7,,321,1,322,402,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC164BO230.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,5,BÉCAL,164,C01,16,106,1,0,9,0,94,69,0,0,10,,305,5,310,402,GRUPO RECUENTO,MODIFICADA,TEEC_JIN_JM_01_15.PDF,http://www.ieec.org.mx/elecciones/2015/actas/JEC164C01O232.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,173,B,6,121,5,4,3,5,85,214,0,0,5,,448,12,460,582,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC173BO233.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,173,C01,12,107,3,1,11,4,90,164,0,1,4,,397,12,409,582,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC173C01O235.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,173,C02,7,87,5,1,3,4,88,201,0,1,4,,401,16,417,581,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC173C02O237.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,174,B,18,128,4,3,4,3,60,202,0,0,9,,431,10,441,570,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC174BO239.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,174,C01,22,108,7,1,3,5,57,199,0,1,6,,409,8,417,569,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC174C01O241.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,175,B,25,105,10,4,5,3,103,202,0,0,9,,466,17,483,634,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC175BO243.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,175,C01,16,163,5,5,6,11,45,214,0,0,7,,472,10,482,633,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC175C01O246.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,175,C02,17,107,6,2,1,5,88,216,0,0,8,,450,16,466,633,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC175C02O248.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,176,B,19,128,2,2,7,4,79,210,0,0,3,,454,15,469,639,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC176BO249.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,176,C01,20,138,3,3,0,4,64,189,0,0,12,,433,24,457,638,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC176C01O252.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,176,C02,16,121,8,3,3,5,86,208,0,0,9,,459,22,481,638,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC176C02O253.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,177,B,18,118,3,6,3,3,92,170,0,0,5,,418,10,428,558,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC177BO255.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,177,C01,11,66,8,2,5,7,86,209,0,0,7,,401,8,409,558,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC177C01O257.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,177,C02,16,99,2,5,9,3,69,206,0,1,6,,416,13,429,558,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC177C02O259.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,180,B,26,255,8,6,4,4,15,169,0,0,3,,490,19,509,615,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC180BO266.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,180,C01,26,205,5,4,3,4,19,205,0,4,7,,482,18,500,615,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC180C01O263.JPG
3,4,CAMPECHE,17,CALKINÍ,2,CALKINÍ,6,DZITBALCHÉ,180,C02,17,20,2,6,7,10,35,210,0,4,0,,311,34,345,615,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC180C02O262.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,158,B,17,143,22,29,3,3,18,65,0,0,1,,301,39,340,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL158BO.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,158,C01,16,147,18,31,1,3,14,58,0,0,31,,319,40,359,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC158C01O336.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,165,B,0,229,0,1,0,0,1,0,0,0,5,,236,16,252,257,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC165BO338.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,166,B,7,206,6,4,2,4,43,245,0,0,0,,517,14,531,650,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC166BO340.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,166,C01,10,219,2,2,2,3,24,278,0,0,0,,540,9,549,649,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC166C01O342.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,166,C02,20,237,6,3,1,4,26,233,0,0,8,,538,12,550,649,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC166C02O343.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,167,B,17,174,2,3,2,3,39,218,0,0,1,,459,8,467,560,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC167BO345.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,167,C01,7,173,4,5,1,2,35,214,0,0,9,,450,17,467,560,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC167C01O347.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,168,B,12,214,4,2,1,6,33,197,0,0,7,,476,14,490,603,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC168BO350.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,168,C01,10,242,0,7,0,0,24,186,0,0,6,,475,19,494,602,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC168C01O351.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,170,B,29,45,32,115,3,11,16,117,0,0,0,,368,22,390,452,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC170BO353.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,170,C01,12,80,28,115,1,8,16,108,0,0,7,,375,23,398,452,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC170C01O356.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,171,B,15,283,5,30,2,5,13,102,0,0,12,,467,34,501,623,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC171BO357.JPG
3,4,CAMPECHE,19,HECELCHAKÁN,2,CALKINÍ,7,NUNKINÍ,182,B,3,71,2,5,1,1,7,39,0,0,0,,129,7,136,157,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC182BO359.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,263,B,114,130,8,13,3,1,1,28,1,2,26,,327,27,354,481,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC263BO388.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,263,C01,209,115,11,2,1,5,12,33,0,0,12,,400,12,412,481,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC263C01O390.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,264,B,126,100,2,21,1,11,6,19,1,0,4,,291,13,304,380,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL264BO.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,264,E01,52,34,0,0,0,0,0,0,0,0,8,,94,1,95,124,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC264E01O393.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,265,B,250,119,3,8,0,0,3,28,1,0,15,,427,10,437,681,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC265BO395.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,265,C01,249,123,5,9,1,1,7,23,1,1,6,,426,13,439,681,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC265C01O398.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,265,C02,224,140,3,13,0,4,3,28,1,0,20,,436,13,449,680,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC265C02O400.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,266,B,173,113,15,6,0,0,3,24,0,0,19,,353,20,373,568,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC266BO402.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,266,C01,192,106,9,5,0,0,0,29,0,0,29,,370,16,386,567,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC266C01O404.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,266,C02,205,98,6,3,3,0,4,25,1,0,14,,359,12,371,567,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC266C02O406.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,B,164,141,4,2,5,1,11,59,2,0,11,,400,18,418,609,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL267BO.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,C01,148,153,16,0,1,0,1,56,2,0,4,,381,13,394,609,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL267C01O.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,C02,147,182,10,10,2,1,2,67,1,0,0,,422,13,435,609,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC267C02O411.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,C03,157,134,5,16,4,0,16,65,4,0,12,,413,17,430,608,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL267C03O.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,C04,144,124,6,0,2,2,14,73,2,0,11,,378,27,405,608,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC267C04O416.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,268,B,146,140,12,6,1,2,6,90,1,0,11,,415,10,425,615,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC268BO417.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,268,C01,209,120,10,5,1,0,10,73,0,0,9,,437,14,451,615,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC268C01O420.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,268,C02,201,117,18,7,0,0,3,73,0,0,16,,435,19,454,614,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC268C02O422.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,269,B,209,115,11,1,2,12,5,33,0,0,12,,400,12,412,648,ACTA CASILLA,,Acta dice 263 C1 por error de llenado de funcionario de casilla,http://www.ieec.org.mx/elecciones/2015/actas/JEC269BO424.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,270,B,56,63,0,2,0,2,0,48,0,0,2,,173,5,178,239,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC270BO426.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,472,B,103,96,3,0,0,2,2,125,0,0,0,,331,11,342,471,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC472BO427.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,472,C01,90,69,4,1,1,0,1,140,2,3,14,,325,15,340,471,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC472C01O429.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,473,B,41,116,3,2,0,0,2,157,3,1,15,,340,7,347,473,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC473BO432.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,473,C01,52,154,0,0,0,2,3,144,0,0,7,,362,6,368,472,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC473C01O434.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,474,B,55,56,0,0,0,5,4,58,0,0,0,,178,3,181,231,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL474BO.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,478,B,154,99,0,3,0,1,1,145,1,0,9,,413,9,422,552,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JCL478BO.JPG
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,9,MAMANTEL,478,C01,174,97,1,0,2,4,1,136,0,1,2,,418,6,424,551,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/JEC478C01O440.JPG
