ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,153,350,18059,7935,1974,2020,25729,1955,1339,1223,12630,1221,2066,1350,0,195,77501,5525,83221,206695,0.4026
7,CHIAPAS,2,TUXTLA GUTIERREZ PONIENTE,79,317,26052,12609,1502,1455,19541,1629,944,998,9918,789,1553,1164,3021,165,81175,4113,85453,202230,0.4226
7,CHIAPAS,3,CHIAPA DE CORZO,69,206,3530,17701,1031,2077,24901,1189,1269,9208,9834,519,725,9196,0,73,81180,3506,84759,121872,0.6955
7,CHIAPAS,4,VENUSTIANO CARRANZA,44,128,490,11421,3279,3024,18100,2528,481,3203,2156,313,160,3020,0,10,48175,3200,51385,73794,0.6963
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,62,240,4043,8032,5315,1492,21136,1464,768,3366,11244,1257,2700,9079,0,100,69896,5801,75797,144014,0.5263
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,109,306,1256,31581,1658,1488,47348,555,803,3300,5246,509,558,18849,0,120,113151,6534,119805,178462,0.6713
7,CHIAPAS,7,OCOSINGO,119,446,8006,26875,1827,1808,52357,9540,1498,5681,8916,767,410,2246,0,0,119931,8033,127964,230399,0.5554
7,CHIAPAS,8,YAJALON,57,192,763,9564,8534,1686,38052,675,585,3594,7211,505,0,6169,0,495,77338,4169,82002,104890,0.7818
7,CHIAPAS,9,PALENQUE,70,236,3428,3098,1175,4480,16220,1341,1357,8982,5219,700,166,7385,0,0,53551,2938,56489,132404,0.4266
7,CHIAPAS,10,BOCHIL,46,150,1267,22709,3081,1106,19626,1216,492,2247,3586,218,188,4229,0,28,59965,2923,62916,76842,0.8188
7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,31,94,2716,5684,7562,1120,9887,925,210,967,3004,141,94,8187,0,8,40497,2901,43406,50207,0.8645
7,CHIAPAS,12,PICHUCALCO,88,227,2229,16873,5797,1811,35002,1349,3147,3235,3414,381,796,8441,0,38,82475,3987,86500,117654,0.7352
7,CHIAPAS,13,COPAINALA,69,172,3365,14256,3750,1971,21576,1496,1145,2799,7409,546,238,7358,0,31,65909,4100,70040,88950,0.7874
7,CHIAPAS,14,CINTALAPA,104,296,4685,17041,5486,1902,30218,7845,3147,16426,7633,1088,1943,10455,0,62,107869,5253,113184,170086,0.6655
7,CHIAPAS,15,TONALA,116,300,7682,16409,4069,4854,26055,3250,3559,10404,6852,1210,323,8132,0,20,92799,3716,96535,158604,0.6087
7,CHIAPAS,16,HUIXTLA,121,318,4919,15079,7665,5317,26430,1612,1650,19703,14137,1016,702,8254,0,31,106484,5632,112147,169920,0.66
7,CHIAPAS,17,MOTOZINTLA,134,367,1471,28205,6684,5826,37653,2548,799,16647,4879,672,264,2482,0,20,108130,7912,116062,194184,0.5977
7,CHIAPAS,18,TAPACHULA NORTE,69,159,2384,7236,1139,1671,8452,708,469,1445,10611,550,446,2197,0,24,37308,2343,39675,85828,0.4623
7,CHIAPAS,19,TAPACHULA SUR,103,244,3378,9908,1034,888,14909,1052,841,2040,15963,948,543,3308,0,56,54812,2446,57314,132975,0.431
7,CHIAPAS,20,LAS MARGARITAS,63,219,277,3556,12019,617,33772,614,665,13889,895,392,59,3371,0,19,70126,6141,76286,110274,0.6918
7,CHIAPAS,21,TENEJAPA,61,193,514,19787,9451,462,26551,367,0,2757,2654,327,402,1279,0,296,64551,9334,74181,94106,0.7883
7,CHIAPAS,22,CHAMULA,103,296,400,45225,6070,3350,44585,279,676,8687,1338,0,139,2881,0,44,113630,4490,118164,149383,0.791
7,CHIAPAS,23,VILLAFLORES,116,313,3218,16220,8558,4257,32389,2009,1847,15860,9903,1102,1329,17392,0,35,114084,4929,119048,174738,0.6813
7,CHIAPAS,24,CACAHOATAN,77,189,7352,14696,3930,1838,19398,2039,508,2656,8203,784,335,8116,0,11,69855,3287,73153,103586,0.7062
