ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,ACACOYAGUA,6,18,1452,1074,201,82,1074,27,152,833,1030,54,19,1539,0,0,0,0,0,0,0,0,0,0,0,0,1,7537,298,7836,11270,0.6953
7,CHIAPAS,2,ACALA,11,23,67,275,173,185,2270,596,308,2267,775,72,41,2711,0,0,0,0,0,0,0,0,0,0,0,0,14,9740,445,10199,13940,0.7316
7,CHIAPAS,3,ACAPETAHUA,14,37,943,788,235,730,3519,165,362,4353,1343,162,31,243,0,0,0,0,0,0,0,0,0,0,0,0,2,12874,496,13372,19466,0.6869
7,CHIAPAS,4,ALTAMIRANO,9,38,329,5335,420,112,5920,256,52,700,303,24,9,652,1,0,0,0,0,0,0,0,0,0,0,0,0,14113,601,14714,18198,0.8086
7,CHIAPAS,5,AMATAN,10,25,501,3395,285,186,4323,29,95,1116,207,17,57,153,0,0,0,0,0,0,0,0,0,0,0,0,0,10364,307,10671,12565,0.8493
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,40,205,4294,801,391,4531,45,154,1899,424,36,20,38,0,0,0,0,0,0,0,0,0,0,0,0,5,12838,695,13538,20246,0.6687
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,10,7,1517,246,8,1518,13,11,1460,69,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4876,158,5034,5558,0.9057
7,CHIAPAS,8,ANGEL ALBINO CORZO,13,32,968,579,745,463,4651,82,149,1143,544,83,766,1422,0,0,0,0,0,0,0,0,0,0,0,0,4,11595,729,12328,17070,0.7222
7,CHIAPAS,9,ARRIAGA,25,58,1333,2860,479,847,4009,202,2509,2828,1194,194,193,1943,0,0,0,0,0,0,0,0,0,0,0,0,2,18591,927,19520,29884,0.6532
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,9,60,513,193,66,367,4,87,429,40,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,64,1827,4869,0.3752
7,CHIAPAS,11,BELLA VISTA,14,27,116,1435,2579,69,3133,215,40,1066,138,9,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,8876,831,9707,13173,0.7369
7,CHIAPAS,12,BERRIOZABAL,14,47,411,3666,772,104,4515,178,307,1366,1113,169,594,4285,0,0,0,0,0,0,0,0,0,0,0,0,30,17480,891,18401,28005,0.6571
7,CHIAPAS,13,BOCHIL,11,42,779,4823,2845,431,1999,1033,96,639,1534,87,52,144,45,0,0,0,0,0,0,0,0,0,0,0,1,14507,1026,15534,20103,0.7727
7,CHIAPAS,14,EL BOSQUE,8,24,183,3205,61,392,1992,37,77,1022,130,46,108,3237,42,0,0,0,0,0,0,0,0,0,0,0,0,10532,480,11012,13720,0.8026
7,CHIAPAS,15,CACAHOATAN,23,55,294,5092,477,590,6035,186,131,122,2226,388,46,4522,0,0,0,0,0,0,0,0,0,0,0,0,0,20109,995,21104,29574,0.7136
7,CHIAPAS,16,CATAZAJA,11,24,1771,1230,118,196,4523,41,84,91,550,38,9,828,0,0,0,0,0,0,0,0,0,0,0,0,2,9479,209,9690,12641,0.7666
7,CHIAPAS,17,CINTALAPA,37,97,699,9750,403,1226,10126,348,612,3332,2499,262,187,3155,0,0,0,0,0,0,0,0,0,0,0,0,17,32599,1695,34311,55686,0.6162
7,CHIAPAS,18,COAPILLA,5,11,31,815,1458,231,1172,22,117,17,255,15,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4164,242,4406,5263,0.8372
7,CHIAPAS,19,COMITAN DE DOMINGUEZ,54,167,639,25204,971,838,18982,431,386,306,3872,268,459,1096,0,0,0,0,0,0,0,0,0,0,0,0,73,53452,3461,56986,97858,0.5823
7,CHIAPAS,20,LA CONCORDIA,24,58,379,1600,623,1148,6868,176,138,7025,1189,131,28,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,20758,970,21728,30279,0.7176
7,CHIAPAS,21,COPAINALA,14,31,831,1792,662,125,3334,86,265,1072,2445,125,46,148,0,0,0,0,0,0,0,0,0,0,0,0,6,10931,694,11631,14309,0.8128
