SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
1021,7,5,MONTERREY,326,85,3,40,1,1,0,0,10,466,697,696
1022,7,5,MONTERREY,86,33,5,12,0,2,0,0,8,146,262,261
1023,7,5,MONTERREY,345,169,7,49,0,1,1,0,15,587,883,881
1024,7,5,MONTERREY,153,202,4,40,0,0,0,0,15,414,700,692
1025,7,5,MONTERREY,252,196,5,42,1,0,1,0,21,518,892,887
1026,7,5,MONTERREY,77,158,0,33,0,0,1,0,14,283,502,494
1027,7,5,MONTERREY,74,146,1,20,0,1,0,0,13,255,460,456
1028,7,5,MONTERREY,96,107,2,18,0,0,0,0,9,232,396,393
1029,7,5,MONTERREY,247,283,7,66,0,3,1,0,19,626,991,982
1030,7,5,MONTERREY,244,127,2,32,0,1,0,0,9,415,603,603
1031,7,5,MONTERREY,316,126,13,55,3,2,0,0,12,527,783,782
1032,7,5,MONTERREY,371,149,6,55,2,1,0,0,10,594,861,856
1033,7,5,MONTERREY,458,95,3,37,3,1,0,0,1,598,781,777
1034,7,5,MONTERREY,484,180,6,32,2,0,0,0,5,709,951,943
1035,6,4,MONTERREY,443,125,8,26,1,2,0,0,5,610,785,783
1036,6,4,MONTERREY,493,172,4,39,3,2,1,0,8,722,988,982
1037,6,4,MONTERREY,152,111,7,13,0,0,0,0,4,287,429,422
1038,6,4,MONTERREY,273,172,6,28,1,1,1,0,16,498,753,749
1039,6,4,MONTERREY,243,184,5,34,2,4,2,0,21,495,826,816
1040,6,4,MONTERREY,311,164,4,31,1,2,0,0,19,532,852,842
1041,6,4,MONTERREY,652,518,4,82,2,3,2,0,18,1281,1768,1742
1042,6,4,MONTERREY,872,165,8,42,1,2,0,0,5,1095,1410,1404
1043,6,4,MONTERREY,828,196,14,61,4,3,0,0,5,1111,1447,1444
1044,6,4,MONTERREY,966,213,15,55,3,4,1,0,7,1264,1596,1585
1045,6,4,MONTERREY,1007,215,15,51,5,4,0,0,8,1305,1690,1677
1046,6,4,MONTERREY,795,143,5,46,2,2,0,0,3,996,1347,1337
1047,6,4,MONTERREY,742,180,10,42,5,6,2,0,14,1001,1298,1296
1048,6,4,MONTERREY,315,76,2,16,2,2,0,0,5,418,545,540
1049,6,4,MONTERREY,454,91,1,23,1,0,0,0,4,574,735,722
1050,6,4,MONTERREY,491,141,3,32,2,1,0,0,9,679,888,878
1051,6,4,MONTERREY,216,47,3,12,3,1,0,0,7,289,422,417
1052,7,5,MONTERREY,545,207,9,61,3,3,2,0,12,842,1103,1100
1053,7,5,MONTERREY,157,112,1,23,0,0,0,0,3,296,423,423
1054,7,5,MONTERREY,323,222,2,52,0,1,0,0,37,637,938,934
1055,7,5,MONTERREY,171,122,1,33,1,2,0,0,10,340,514,514
1056,7,5,MONTERREY,151,76,3,27,2,0,1,0,7,267,462,461
1057,7,5,MONTERREY,91,134,2,14,0,1,0,0,18,260,444,439
1058,7,5,MONTERREY,132,441,4,32,0,1,1,0,17,628,1054,1033
1059,7,5,MONTERREY,222,237,16,62,3,0,1,0,22,563,1140,1127
1060,7,5,MONTERREY,159,95,2,20,0,0,0,0,9,285,441,437
1061,7,5,MONTERREY,120,111,1,22,1,1,0,0,3,259,433,426
1062,7,5,MONTERREY,103,82,0,27,1,0,0,0,6,219,356,356
1063,7,5,MONTERREY,251,165,4,44,1,0,0,0,14,479,822,813
1064,7,5,MONTERREY,287,327,6,38,0,0,0,0,28,686,1246,1240
1065,7,5,MONTERREY,435,560,17,80,0,0,0,0,39,1131,1913,1901
1066,7,5,MONTERREY,385,295,7,59,2,2,0,0,38,788,1192,1187
1067,7,5,MONTERREY,239,146,11,23,3,1,0,0,8,431,697,692
1068,7,5,MONTERREY,250,131,6,40,3,0,0,0,11,441,671,669
1069,7,5,MONTERREY,411,144,4,53,0,1,1,0,13,627,912,908
1070,7,4,MONTERREY,331,67,4,16,1,0,0,0,12,431,533,530
1071,6,4,MONTERREY,295,80,1,31,0,0,0,0,6,413,571,564
1072,7,4,MONTERREY,223,77,3,14,0,0,0,0,7,324,470,467
1073,7,5,MONTERREY,278,101,2,41,1,2,2,0,11,438,631,624
1074,7,5,MONTERREY,260,141,2,48,2,1,1,0,17,472,705,701
1075,7,5,MONTERREY,200,134,7,26,0,0,0,0,17,384,587,584
1076,7,5,MONTERREY,173,90,2,19,0,0,0,0,5,289,437,437
1077,7,5,MONTERREY,47,48,4,13,2,1,1,0,3,119,255,254
1078,7,5,MONTERREY,221,99,7,25,1,2,1,0,9,365,620,615
1079,7,4,MONTERREY,152,77,1,11,0,3,0,0,11,255,394,393
1080,7,4,MONTERREY,226,97,2,15,2,1,0,0,2,345,520,518
1081,7,4,MONTERREY,264,84,5,18,2,1,0,0,3,377,514,514
1082,6,4,MONTERREY,312,82,0,18,1,0,0,0,4,417,572,562
1083,6,4,MONTERREY,410,96,2,22,2,0,0,0,8,540,689,680
1084,6,4,MONTERREY,692,161,6,37,3,2,1,0,9,911,1213,1207
1085,6,4,MONTERREY,534,135,6,24,2,0,0,0,4,705,956,955
1086,6,4,MONTERREY,450,123,3,12,2,2,0,0,7,599,762,757
1087,6,4,MONTERREY,397,63,6,15,1,0,2,0,6,490,653,645
1088,6,4,MONTERREY,550,119,2,21,1,0,0,0,3,696,918,905
1089,6,4,MONTERREY,488,115,2,27,0,3,0,0,5,640,806,800
1090,6,4,MONTERREY,924,165,10,57,2,4,1,0,11,1174,1476,1469
1091,6,4,MONTERREY,1316,194,9,66,3,2,0,0,6,1596,2011,1991
1092,6,4,MONTERREY,1000,138,5,50,2,2,0,0,0,1197,1498,1488
1093,6,4,MONTERREY,965,140,4,38,0,1,0,0,2,1150,1428,1422
1094,6,4,MONTERREY,869,128,7,39,3,0,0,0,1,1047,1301,1288
1095,6,4,MONTERREY,742,118,5,26,2,4,0,0,2,899,1137,1129
1096,6,4,MONTERREY,484,183,14,40,4,5,0,0,14,744,1164,1149
1097,6,4,MONTERREY,578,66,7,23,3,1,1,0,5,684,937,922
1098,6,4,MONTERREY,972,205,8,55,1,10,1,0,14,1266,1761,1740
1099,7,4,MONTERREY,397,93,6,21,4,1,0,0,3,525,687,684
1100,7,4,MONTERREY,461,94,7,14,3,2,1,0,7,589,781,777
1101,7,4,MONTERREY,404,129,5,52,3,4,0,0,9,606,840,838
1102,7,4,MONTERREY,200,107,1,27,0,3,0,0,5,343,527,524
1103,7,4,MONTERREY,262,164,3,41,1,1,0,0,13,485,722,718
1104,7,4,MONTERREY,130,56,3,18,0,0,0,0,3,210,320,318
1105,7,5,MONTERREY,200,68,1,22,1,1,1,0,8,302,422,421
1106,7,5,MONTERREY,227,71,4,24,3,2,0,0,4,335,460,459
1107,7,5,MONTERREY,154,93,6,29,0,0,0,0,7,289,437,437
1108,7,5,MONTERREY,195,128,10,32,2,5,0,4,7,383,595,592
1109,7,5,MONTERREY,277,148,4,40,0,2,0,0,8,479,654,652
1110,7,5,MONTERREY,234,91,3,31,2,2,1,0,9,373,518,518
1111,7,5,MONTERREY,191,64,6,23,0,0,0,0,4,288,402,401
1112,7,5,MONTERREY,125,67,1,23,0,1,0,0,5,222,307,304
1113,7,5,MONTERREY,190,89,4,17,0,1,0,0,6,307,462,458
1114,7,5,MONTERREY,200,62,2,13,0,2,0,0,7,286,402,399
1115,7,4,MONTERREY,315,64,2,20,2,1,0,0,2,406,557,556
1116,7,4,MONTERREY,548,71,5,21,1,3,0,0,4,653,876,872
1117,7,4,MONTERREY,430,64,3,20,2,1,0,0,7,527,758,758
1118,7,4,MONTERREY,266,74,1,26,1,2,0,0,4,374,511,509
1119,7,4,MONTERREY,102,15,2,9,1,0,0,0,1,130,158,156
1120,7,4,MONTERREY,453,114,3,48,5,6,1,0,11,641,868,868
1121,7,4,MONTERREY,318,101,3,42,0,2,2,0,4,472,703,699
1122,7,4,MONTERREY,258,116,5,32,0,3,1,0,7,422,619,615
1123,7,4,MONTERREY,214,217,3,40,1,1,0,0,11,487,738,736
1124,7,4,MONTERREY,287,624,13,84,1,3,1,0,39,1052,1983,1977
1125,7,4,MONTERREY,230,395,8,36,4,3,0,0,63,739,1294,1286
1126,7,4,MONTERREY,560,197,7,70,2,2,0,0,16,854,1235,1233
1127,7,4,MONTERREY,338,431,8,81,0,2,1,0,20,881,1541,1531
1128,7,4,MONTERREY,389,179,6,48,0,3,0,0,9,634,975,969
1129,7,4,MONTERREY,468,90,10,21,0,1,3,0,1,594,761,759
1130,7,4,MONTERREY,421,131,1,26,2,2,2,0,2,587,747,744
1131,7,6,MONTERREY,72,39,3,11,0,0,0,0,0,125,204,200
1132,7,6,MONTERREY,45,43,0,3,2,1,0,0,4,98,170,169
1133,7,6,MONTERREY,194,78,3,18,1,0,0,0,7,301,443,442
1134,7,6,MONTERREY,518,226,17,58,1,1,0,0,23,844,1246,1240
1135,7,6,MONTERREY,174,96,1,18,2,1,0,0,13,305,503,499
1136,7,6,MONTERREY,201,105,3,24,1,1,1,0,7,343,584,582
1137,7,6,MONTERREY,164,92,2,19,1,1,1,0,9,289,507,503
1138,7,6,MONTERREY,167,56,1,11,2,0,0,0,2,239,356,354
1139,7,6,MONTERREY,91,54,2,19,1,0,2,0,11,180,291,289
1140,7,6,MONTERREY,90,88,1,20,1,0,0,0,4,204,340,338
1141,7,6,MONTERREY,146,60,8,19,1,0,0,0,6,240,415,414
1142,7,6,MONTERREY,48,24,0,10,0,0,0,0,1,83,125,124
1143,7,5,MONTERREY,98,41,1,14,0,0,0,0,7,161,268,268
1144,7,5,MONTERREY,106,64,3,16,1,0,0,0,16,206,343,336
1145,7,5,MONTERREY,85,54,1,18,0,1,1,0,3,163,289,285
1146,7,5,MONTERREY,169,82,6,42,0,0,0,0,4,303,514,510
1147,7,6,MONTERREY,142,126,4,18,3,0,0,0,6,299,473,467
1148,7,6,MONTERREY,213,78,5,18,1,0,0,0,16,331,510,509
1149,7,6,MONTERREY,186,70,5,22,1,0,1,0,16,301,462,459
1150,7,6,MONTERREY,221,157,2,34,1,1,1,0,8,425,683,677
1151,7,6,MONTERREY,130,48,4,10,0,1,0,0,3,196,309,309
1152,7,6,MONTERREY,171,104,2,22,3,2,0,0,18,322,527,525
1153,7,6,MONTERREY,78,61,0,16,2,0,0,0,3,160,305,299
1154,7,6,MONTERREY,215,259,2,38,0,2,1,0,13,530,908,904
1155,7,5,MONTERREY,97,102,3,13,1,0,0,0,8,224,386,380
1156,7,5,MONTERREY,128,69,2,16,0,0,0,0,5,220,422,413
1157,7,5,MONTERREY,126,113,1,21,1,0,0,0,9,271,508,502
1158,7,5,MONTERREY,142,95,3,23,0,1,1,0,6,271,493,488
1159,7,5,MONTERREY,127,64,1,17,0,0,0,0,3,212,325,322
1160,7,5,MONTERREY,52,84,3,7,0,0,0,0,2,148,261,255
1161,7,5,MONTERREY,65,76,4,8,0,0,0,0,3,156,320,316
1162,7,5,MONTERREY,90,56,2,9,0,0,0,0,6,163,323,321
1163,7,5,MONTERREY,95,96,1,16,2,2,0,0,10,222,368,364
1164,7,5,MONTERREY,105,36,4,13,0,0,0,0,4,162,247,245
1165,7,5,MONTERREY,107,58,1,10,1,0,0,0,1,178,280,279
1166,7,5,MONTERREY,154,128,5,18,0,0,0,0,11,316,545,538
1167,7,6,MONTERREY,139,105,2,18,0,2,1,0,14,281,482,480
1168,7,5,MONTERREY,64,14,1,11,0,0,1,0,3,94,144,142
1169,7,5,MONTERREY,40,20,2,3,0,1,0,0,1,67,126,124
1170,7,5,MONTERREY,26,15,0,3,1,0,0,0,2,47,75,75
1171,7,5,MONTERREY,35,46,1,2,0,0,0,0,1,85,159,158
1172,7,5,MONTERREY,31,19,0,1,0,1,0,0,0,52,86,84
1173,7,5,MONTERREY,74,41,1,13,0,0,0,0,1,130,222,220
1174,7,5,MONTERREY,71,61,1,7,0,0,0,0,5,145,278,272
1175,7,5,MONTERREY,215,91,1,28,2,1,1,0,2,341,507,505
1176,7,5,MONTERREY,129,31,1,7,0,1,0,0,6,175,320,313
1177,7,5,MONTERREY,73,35,3,0,0,1,0,0,3,115,249,247
1178,7,5,MONTERREY,85,38,3,22,0,0,0,0,1,149,251,247
1179,7,5,MONTERREY,30,9,0,2,0,0,0,0,0,41,75,74
1180,7,5,MONTERREY,107,56,0,17,2,0,0,0,1,183,289,287
1181,7,5,MONTERREY,72,29,2,18,0,1,0,0,2,124,219,216
1182,7,5,MONTERREY,117,47,5,8,0,0,0,0,3,180,242,241
1183,7,5,MONTERREY,150,52,3,16,1,1,0,0,9,232,380,376
1184,7,5,MONTERREY,90,23,3,5,0,1,0,0,0,122,181,179
1185,7,5,MONTERREY,24,22,0,3,0,0,0,0,27,76,76,76
1186,7,5,MONTERREY,117,41,2,8,0,1,0,0,1,170,252,249
1187,7,5,MONTERREY,123,37,6,16,2,0,0,0,1,185,257,253
1188,7,5,MONTERREY,146,45,4,16,2,1,0,0,9,223,333,328
1189,7,5,MONTERREY,185,67,4,25,2,0,0,0,2,285,409,409
1190,7,5,MONTERREY,40,21,1,2,0,0,0,0,1,65,101,99
1191,7,5,MONTERREY,128,59,0,17,0,1,0,0,3,208,314,308
1192,7,5,MONTERREY,23,16,0,8,0,0,0,0,4,51,97,97
1193,7,5,MONTERREY,70,33,3,16,3,2,0,0,2,129,210,205
1194,7,5,MONTERREY,55,27,1,5,1,0,0,0,1,90,141,140
1195,7,5,MONTERREY,143,59,1,6,1,2,0,0,4,216,327,324
1196,7,5,MONTERREY,286,92,3,23,1,1,1,0,6,413,624,617
1197,7,5,MONTERREY,29,28,0,6,0,1,0,0,4,68,118,117
1198,7,5,MONTERREY,56,18,0,8,0,0,0,0,1,83,124,124
1199,7,5,MONTERREY,65,18,3,11,1,0,0,0,0,98,154,152
1200,7,5,MONTERREY,29,15,0,5,0,0,1,0,0,50,72,72
1201,7,5,MONTERREY,93,18,0,5,0,0,0,0,2,118,172,172
1202,7,5,MONTERREY,72,54,5,10,2,0,0,0,5,148,248,246
1203,7,5,MONTERREY,57,20,1,6,0,0,0,0,1,85,119,119
1204,7,5,MONTERREY,88,28,0,9,1,0,0,0,3,129,179,177
1205,7,4,MONTERREY,242,145,3,26,0,1,0,0,11,428,689,685
1206,7,4,MONTERREY,167,122,2,22,0,1,0,0,13,327,500,497
1207,7,4,MONTERREY,143,183,3,30,0,0,0,0,9,368,641,638
1208,7,4,MONTERREY,160,156,3,27,0,3,1,0,11,361,633,624
1209,7,5,MONTERREY,155,143,0,17,1,1,0,0,16,333,585,585
1210,7,5,MONTERREY,135,114,0,33,0,0,0,0,13,295,459,452
1211,7,5,MONTERREY,216,139,5,31,1,1,0,0,21,414,645,643
1212,7,5,MONTERREY,168,77,0,20,0,1,0,0,11,277,443,441
1213,7,5,MONTERREY,200,95,0,21,1,2,0,0,18,337,509,505
1214,7,5,MONTERREY,117,69,6,17,1,0,0,0,6,216,370,365
1215,7,5,MONTERREY,162,67,2,22,0,1,1,0,11,266,435,433
1216,7,5,MONTERREY,139,66,2,26,0,2,1,0,5,241,351,350
1217,7,5,MONTERREY,130,78,0,15,0,2,0,0,10,235,375,372
1218,7,5,MONTERREY,152,173,4,36,0,0,0,0,11,376,667,660
1219,7,5,MONTERREY,326,98,5,41,2,1,0,0,12,485,733,729
1220,7,5,MONTERREY,335,179,5,50,2,2,1,0,11,585,900,893
1221,7,5,MONTERREY,218,127,2,36,0,0,1,0,6,390,637,634
1222,7,5,MONTERREY,276,156,3,46,0,0,0,0,29,510,873,869
1223,7,4,MONTERREY,277,153,3,29,2,1,0,0,14,479,849,843
1224,7,4,MONTERREY,140,145,3,37,0,0,0,0,6,331,604,599
1225,7,4,MONTERREY,256,338,6,34,1,2,0,0,20,657,1100,1086
1226,7,4,MONTERREY,138,133,2,14,0,0,0,0,5,292,505,500
1227,7,4,MONTERREY,245,227,11,35,4,1,1,0,12,536,923,915
1228,7,4,MONTERREY,188,373,7,25,4,1,0,0,17,615,1132,1123
1229,7,4,MONTERREY,88,273,8,25,3,0,0,0,20,417,804,796
1230,7,4,MONTERREY,189,407,14,31,6,1,0,0,25,673,1368,1358
1231,7,4,MONTERREY,242,261,5,35,3,1,2,0,14,563,1056,1045
1232,7,5,MONTERREY,319,230,0,60,3,2,1,0,16,631,1115,1109
1233,7,5,MONTERREY,348,304,3,51,2,2,0,0,25,735,1215,1208
1234,7,5,MONTERREY,127,204,0,40,0,1,1,0,14,387,637,634
1235,7,5,MONTERREY,237,430,5,62,0,2,1,0,31,768,1426,1413
1236,7,5,MONTERREY,241,310,11,33,3,1,0,0,16,615,1112,1109
1237,7,5,MONTERREY,285,271,8,39,2,5,1,0,22,633,1219,1215
1238,7,5,MONTERREY,190,342,6,39,0,1,1,0,27,606,1226,1216
1239,7,5,MONTERREY,163,178,3,37,0,1,1,0,17,400,743,742
1240,7,4,MONTERREY,145,260,6,31,5,1,0,0,23,471,855,842
1241,7,6,MONTERREY,178,99,3,29,1,1,0,0,20,331,595,588
1242,7,6,MONTERREY,220,101,1,30,0,1,1,0,5,359,537,534
1243,7,6,MONTERREY,327,187,6,50,0,2,1,0,15,588,861,853
1244,7,6,MONTERREY,278,134,6,23,3,2,0,0,8,454,758,752
1245,7,6,MONTERREY,104,74,2,19,1,0,0,0,2,202,324,321
1246,7,6,MONTERREY,254,125,5,42,0,1,0,0,8,435,742,738
1247,7,6,MONTERREY,386,238,4,54,3,5,2,0,26,718,1089,1086
1248,7,6,MONTERREY,280,190,7,31,0,2,1,0,18,529,846,839
1249,7,6,MONTERREY,190,83,3,20,3,1,0,0,4,304,452,452
1250,7,6,MONTERREY,274,123,6,24,0,0,1,0,8,436,662,659
1251,7,6,MONTERREY,185,127,2,24,0,1,0,0,17,356,543,538
1252,7,6,MONTERREY,208,99,10,24,1,0,0,0,6,348,531,525
1253,7,6,MONTERREY,344,166,18,54,2,2,4,0,7,597,860,855
1254,7,6,MONTERREY,180,72,2,13,0,2,0,0,2,271,378,376
1255,7,6,MONTERREY,226,76,7,25,1,0,0,0,7,342,502,500
1256,7,6,MONTERREY,186,80,6,17,1,1,0,0,5,296,446,445
1257,7,6,MONTERREY,258,117,3,21,2,1,2,0,8,412,634,631
1258,7,6,MONTERREY,297,168,2,18,1,3,2,0,14,505,734,731
1259,7,6,MONTERREY,194,89,3,23,2,2,2,0,8,323,512,510
1260,7,6,MONTERREY,183,69,3,19,2,0,0,0,5,281,436,432
1261,7,6,MONTERREY,148,81,1,16,0,0,0,0,5,251,409,405
1262,7,6,MONTERREY,105,45,2,12,0,0,0,0,7,171,260,258
1263,10,7,MONTERREY,164,116,5,10,0,3,0,0,11,309,468,465
1264,10,7,MONTERREY,181,146,5,28,6,2,0,0,7,375,548,545
1265,10,7,MONTERREY,44,20,1,6,0,1,0,0,2,74,94,94
1266,10,7,MONTERREY,193,82,7,26,1,0,0,0,7,316,478,476
1267,10,7,MONTERREY,260,162,1,33,0,2,0,0,17,475,740,738
1268,10,7,MONTERREY,114,55,0,12,0,0,0,0,7,188,282,282
1269,10,7,MONTERREY,157,94,1,18,0,0,0,0,3,273,426,426
1270,10,7,MONTERREY,172,63,4,26,1,0,0,0,6,272,389,386
1271,10,7,MONTERREY,110,50,2,15,0,0,0,0,4,181,270,270
1272,10,7,MONTERREY,111,50,2,14,0,0,0,0,1,178,273,273
1273,10,7,MONTERREY,124,62,2,15,0,1,1,0,4,209,311,306
1274,10,7,MONTERREY,291,128,6,31,3,4,0,0,9,472,678,674
1275,10,7,MONTERREY,306,107,6,22,2,1,1,0,4,449,632,630
1276,10,7,MONTERREY,145,69,0,18,0,0,0,0,7,239,375,371
1277,10,7,MONTERREY,208,82,4,11,1,3,0,0,6,315,435,432
1278,10,7,MONTERREY,148,64,6,20,0,0,1,0,4,243,384,382
1279,10,7,MONTERREY,151,87,3,25,0,0,0,0,13,279,408,407
1280,10,7,MONTERREY,60,27,6,13,1,0,0,0,0,107,172,172
1281,10,7,MONTERREY,262,107,6,34,1,3,0,0,5,418,690,687
1282,10,7,MONTERREY,223,63,6,12,1,0,1,0,10,316,495,493
1283,10,7,MONTERREY,99,34,6,11,3,0,0,0,0,153,221,221
1284,10,7,MONTERREY,192,96,10,21,0,1,0,0,3,323,542,540
1285,10,7,MONTERREY,486,190,23,54,9,3,0,0,8,773,1182,1174
1286,10,7,MONTERREY,402,143,10,56,6,4,0,0,16,637,948,943
1287,10,7,MONTERREY,153,54,6,18,1,1,0,0,5,238,355,355
1288,10,7,MONTERREY,231,156,2,43,0,0,0,0,22,454,721,717
1289,10,7,MONTERREY,319,159,4,44,0,2,1,0,19,548,901,899
1290,10,7,MONTERREY,174,128,4,27,1,1,1,0,0,336,580,576
1291,10,7,MONTERREY,251,189,3,46,0,0,0,0,17,506,845,843
1292,10,7,MONTERREY,492,270,9,78,2,1,1,0,31,884,1523,1518
1293,10,7,MONTERREY,244,110,3,23,0,1,0,0,14,395,622,622
1294,10,7,MONTERREY,415,157,5,26,0,2,0,0,16,621,836,835
1295,10,7,MONTERREY,241,87,10,19,0,1,0,0,4,362,529,529
1296,10,7,MONTERREY,326,175,13,39,2,1,0,0,9,565,830,827
1297,10,7,MONTERREY,207,106,10,23,0,1,0,0,7,354,478,477
1298,10,7,MONTERREY,272,52,4,10,4,1,0,0,4,347,477,473
1299,10,7,MONTERREY,639,209,5,51,5,1,1,0,10,921,1392,1388
1300,10,7,MONTERREY,213,139,14,44,1,1,1,0,20,433,720,717
1301,10,7,MONTERREY,265,167,2,30,1,2,1,0,15,483,851,847
1302,10,7,MONTERREY,185,120,7,19,0,4,0,0,12,347,604,599
1303,10,7,MONTERREY,126,79,3,22,0,1,0,0,2,233,437,436
1304,10,7,MONTERREY,436,180,4,52,2,0,0,0,14,688,988,987
1305,10,7,MONTERREY,423,117,16,38,2,1,2,0,9,608,904,902
1306,10,7,MONTERREY,289,99,4,22,2,0,1,0,9,426,594,594
1307,10,7,MONTERREY,824,246,10,71,8,5,2,0,16,1182,1588,1583
1308,10,7,MONTERREY,273,119,6,20,2,1,0,0,13,434,713,713
1309,10,7,MONTERREY,642,191,7,67,4,1,1,0,20,933,1276,1274
1310,10,7,MONTERREY,715,270,16,81,0,3,0,0,14,1099,1536,1530
1311,10,7,MONTERREY,499,132,10,61,2,7,0,0,5,716,1016,1014
1312,10,7,MONTERREY,783,166,6,54,3,3,0,0,10,1025,1365,1362
1313,10,7,MONTERREY,247,202,5,38,1,1,0,0,22,516,884,882
1314,10,7,MONTERREY,661,206,7,68,0,1,1,0,25,969,1390,1380
1315,10,7,MONTERREY,873,211,7,71,2,3,0,0,17,1184,1516,1510
1316,10,7,MONTERREY,584,214,6,71,4,3,0,0,16,898,1405,1401
1317,10,7,MONTERREY,249,131,3,27,2,1,0,0,12,425,688,688
1318,10,7,MONTERREY,667,178,9,55,3,4,1,0,18,935,1252,1248
1319,10,7,MONTERREY,359,160,8,43,0,3,2,0,15,590,904,902
1320,10,7,MONTERREY,275,155,1,28,3,3,0,0,28,493,799,795
1321,10,7,MONTERREY,230,136,5,29,0,1,0,0,10,411,686,682
1322,10,7,MONTERREY,160,70,2,17,1,1,0,0,6,257,438,437
1323,10,7,MONTERREY,161,75,3,13,0,0,0,0,4,256,378,375
1324,10,7,MONTERREY,216,85,2,14,1,1,0,0,0,319,492,491
1325,10,7,MONTERREY,507,85,3,26,2,1,0,0,5,629,906,900
1326,10,7,MONTERREY,968,222,17,72,4,4,0,0,19,1306,1718,1713
1327,10,7,MONTERREY,324,120,6,28,3,0,0,0,9,490,750,747
1328,10,7,MONTERREY,184,79,3,12,0,0,0,0,10,288,429,424
1329,10,7,MONTERREY,807,191,25,61,3,1,0,0,10,1098,1480,1473
1330,10,7,MONTERREY,786,141,8,43,0,2,2,0,13,995,1251,1249
1331,10,7,MONTERREY,1052,234,14,54,4,4,1,0,25,1388,1776,1768
1332,10,7,MONTERREY,1028,218,7,65,2,3,1,0,13,1337,1775,1764
1333,10,7,MONTERREY,1065,211,16,45,1,3,1,0,8,1350,1692,1685
1334,10,7,MONTERREY,1083,180,10,54,1,2,0,0,6,1336,1721,1714
1335,10,7,MONTERREY,770,161,7,58,3,3,0,0,7,1009,1333,1329
1336,10,7,MONTERREY,819,284,11,61,4,3,0,0,30,1212,1716,1710
1337,10,7,MONTERREY,546,101,11,31,6,1,0,0,2,698,1020,1016
1338,10,7,MONTERREY,728,167,11,37,6,2,1,0,7,959,1465,1455
1339,10,7,MONTERREY,449,159,4,31,0,1,0,0,16,660,1002,999
1340,10,7,MONTERREY,154,90,2,18,0,0,0,0,11,275,430,428
1341,10,7,MONTERREY,247,136,3,29,0,0,0,0,11,426,701,699
1342,10,7,MONTERREY,300,176,3,44,1,1,0,0,19,544,895,893
1343,10,7,MONTERREY,380,190,11,73,3,2,0,0,28,687,1074,1066
1344,10,7,MONTERREY,266,138,1,31,3,0,0,0,12,451,728,723
1345,10,7,MONTERREY,392,114,6,33,1,0,0,0,11,557,743,742
1346,10,7,MONTERREY,773,141,8,43,3,5,1,0,11,985,1334,1320
1347,10,7,MONTERREY,534,92,13,21,5,1,0,0,2,668,1065,1055
1348,10,7,MONTERREY,413,63,7,27,5,2,0,0,1,518,781,774
1349,10,8,MONTERREY,434,131,5,33,2,2,0,0,4,611,756,755
1350,10,8,MONTERREY,918,258,18,64,8,4,0,0,11,1281,1682,1676
1351,10,7,MONTERREY,858,182,8,50,0,2,0,0,10,1110,1496,1488
1352,10,7,MONTERREY,1046,202,10,56,3,5,1,0,8,1331,1736,1729
1353,10,7,MONTERREY,700,111,7,30,2,4,0,0,4,858,1101,1096
1354,10,7,MONTERREY,630,115,9,32,3,0,1,0,7,797,1023,1019
1355,10,8,MONTERREY,463,450,16,84,10,4,2,0,32,1061,1929,1912
1356,10,8,MONTERREY,447,539,13,86,3,5,2,0,45,1140,2183,2162
1357,10,8,MONTERREY,344,431,13,55,2,3,1,0,35,884,1560,1553
1358,10,8,MONTERREY,320,423,131,81,1,0,0,0,24,980,1794,1784
1359,10,8,MONTERREY,359,348,122,100,4,2,2,0,56,993,1789,1779
1360,10,8,MONTERREY,763,281,8,66,2,1,2,0,27,1150,1629,1623
1361,10,8,MONTERREY,527,143,6,24,1,4,5,0,7,717,936,930
1362,10,8,MONTERREY,228,278,7,29,2,2,3,0,18,567,1000,997
1363,10,8,MONTERREY,257,244,4,33,2,1,1,0,11,553,1005,999
1364,10,7,MONTERREY,915,252,10,93,5,6,5,0,13,1299,1741,1733
1365,10,7,MONTERREY,884,182,6,64,5,1,0,0,6,1148,1500,1494
1366,10,7,MONTERREY,515,200,8,57,4,2,1,0,24,811,1180,1174
1367,10,7,MONTERREY,540,162,8,48,2,2,0,0,13,775,1101,1091
1368,10,7,MONTERREY,504,153,13,51,0,0,0,0,20,741,1034,1029
1369,10,7,MONTERREY,289,267,7,43,1,3,0,0,29,639,1115,1112
1370,10,8,MONTERREY,112,307,5,31,1,0,2,0,19,477,871,865
1371,10,8,MONTERREY,194,358,11,39,1,3,2,0,16,624,1134,1124
1372,10,7,MONTERREY,306,250,5,43,1,0,0,0,21,626,1109,1099
1373,10,7,MONTERREY,296,265,9,56,0,1,0,0,28,655,1126,1114
1374,10,8,MONTERREY,245,356,2,45,2,2,0,0,22,674,1299,1293
1375,10,8,MONTERREY,257,433,2,59,0,1,1,0,68,821,1377,1368
1376,10,8,MONTERREY,432,568,5,94,4,4,1,0,36,1144,1920,1913
1377,10,8,MONTERREY,137,331,13,29,0,6,2,0,29,547,989,984
1378,10,8,MONTERREY,207,263,7,58,1,9,1,0,22,568,1038,1035
1379,10,8,MONTERREY,141,249,8,34,0,4,0,0,22,458,888,883
1380,10,8,MONTERREY,846,167,14,57,2,0,1,0,2,1089,1400,1393
