SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
747,11,13,GUADALUPE,395,289,12,24,8,2,0,0,6,736,1234,1221
748,11,13,GUADALUPE,337,229,9,27,2,3,0,0,15,622,1097,1084
749,11,13,GUADALUPE,461,294,15,33,2,1,0,0,8,814,1343,1335
750,11,13,GUADALUPE,715,334,14,59,8,7,0,0,24,1161,1712,1702
751,11,13,GUADALUPE,615,352,11,30,5,4,0,0,22,1039,1707,1695
752,11,13,GUADALUPE,448,361,14,43,6,4,0,0,29,905,1504,1496
753,11,13,GUADALUPE,383,539,34,39,3,1,0,0,27,1026,2074,2066
754,11,13,GUADALUPE,378,510,15,36,3,7,0,0,32,981,1815,1802
755,11,13,GUADALUPE,534,642,18,49,10,4,0,0,335,1592,2404,2385
756,11,12,GUADALUPE,434,362,7,60,5,4,0,0,18,890,1438,1429
757,11,12,GUADALUPE,474,313,21,35,1,4,0,0,33,881,1520,1510
758,11,12,GUADALUPE,402,408,11,37,3,3,0,0,29,893,1576,1569
759,11,12,GUADALUPE,893,624,31,50,11,14,0,0,34,1657,2684,2668
760,11,12,GUADALUPE,564,315,24,33,0,6,0,0,18,960,1518,1500
761,11,12,GUADALUPE,283,229,11,20,2,3,0,0,15,563,910,900
762,11,12,GUADALUPE,329,267,12,32,1,7,0,0,15,663,1081,1074
763,11,12,GUADALUPE,654,391,18,37,6,24,0,0,29,1159,1753,1739
764,11,12,GUADALUPE,672,334,10,28,4,2,0,0,24,1074,1836,1829
765,11,12,GUADALUPE,708,345,12,43,5,14,0,0,19,1146,1860,1850
766,11,12,GUADALUPE,654,483,30,56,5,14,0,0,25,1267,2033,2013
767,11,12,GUADALUPE,480,658,14,42,5,3,0,0,30,1232,2308,2301
768,11,12,GUADALUPE,459,378,10,41,6,4,0,0,21,919,1606,1601
769,11,12,GUADALUPE,542,332,19,35,6,8,0,0,31,973,1514,1493
770,11,13,GUADALUPE,423,553,13,50,5,6,0,0,42,1092,1942,1924
771,11,13,GUADALUPE,485,482,16,47,7,4,0,0,31,1072,1893,1890
772,11,13,GUADALUPE,391,343,13,48,2,12,0,0,43,852,1526,1520
773,11,13,GUADALUPE,462,540,17,37,4,4,0,0,54,1118,2097,2085
774,11,13,GUADALUPE,333,290,17,28,3,4,0,0,11,686,1194,1191
775,11,12,GUADALUPE,468,304,24,32,3,12,0,0,19,862,1507,1498
776,11,12,GUADALUPE,618,425,46,43,8,7,0,0,32,1179,2138,2128
777,11,12,GUADALUPE,678,415,23,51,6,15,0,0,28,1216,2065,2038
778,11,12,GUADALUPE,416,199,10,33,4,6,0,0,10,678,1086,1081
779,11,12,GUADALUPE,572,426,17,50,3,2,0,0,30,1100,1860,1851
780,11,12,GUADALUPE,318,449,18,25,3,4,0,0,22,839,1633,1616
781,11,12,GUADALUPE,300,364,13,27,2,7,0,0,10,723,1050,1040
782,11,12,GUADALUPE,406,295,13,17,4,1,0,0,23,759,1315,1308
783,11,12,GUADALUPE,371,529,11,31,1,4,0,0,37,984,1955,1946
784,11,12,GUADALUPE,533,295,16,25,10,5,0,0,16,900,1362,1353
785,11,12,GUADALUPE,586,347,17,32,10,4,0,0,30,1026,1821,1810
786,11,12,GUADALUPE,311,450,18,23,6,6,0,0,17,831,1650,1633
787,11,12,GUADALUPE,518,265,18,29,5,4,0,0,29,868,1543,1528
788,11,12,GUADALUPE,273,551,7,25,1,8,0,0,21,886,1886,1857
789,11,12,GUADALUPE,183,432,13,18,1,3,0,0,41,691,1587,1572
790,11,12,GUADALUPE,354,523,26,32,5,8,0,0,28,976,1950,1931
791,11,12,GUADALUPE,330,632,22,51,4,9,0,0,27,1075,2061,2037
792,11,12,GUADALUPE,426,485,24,24,3,8,0,0,44,1014,1954,1943
793,11,12,GUADALUPE,445,368,13,31,5,3,0,0,28,893,1555,1539
794,11,12,GUADALUPE,739,380,43,51,8,11,0,0,17,1249,2091,2071
795,11,12,GUADALUPE,477,363,19,43,3,5,0,0,30,940,1621,1594
796,11,12,GUADALUPE,518,242,10,39,7,5,0,0,26,847,1433,1425
797,11,13,GUADALUPE,444,210,1,24,5,2,0,0,12,698,1196,1191
798,11,13,GUADALUPE,274,132,5,20,1,0,0,0,12,444,733,730
799,11,13,GUADALUPE,442,483,16,43,8,3,0,0,46,1041,1845,1835
800,11,13,GUADALUPE,524,533,40,69,10,7,0,0,26,1209,2365,2356
801,11,13,GUADALUPE,267,402,10,33,1,5,0,0,23,741,1450,1444
802,11,13,GUADALUPE,442,236,8,16,3,5,0,0,20,730,1176,1172
803,11,13,GUADALUPE,578,382,13,35,9,0,0,0,29,1046,1819,1805
804,11,13,GUADALUPE,303,450,13,31,4,3,0,0,32,836,1602,1572
805,2,22,LOS HERRERAS ,134,117,0,0,0,0,0,0,4,255,362,358
806,2,22,LOS HERRERAS ,198,116,0,0,0,0,0,0,4,318,426,421
807,2,22,LOS HERRERAS ,206,183,0,0,0,0,0,0,4,393,525,522
808,2,22,LOS HERRERAS ,266,180,0,0,0,0,0,0,2,448,566,558
809,2,22,LOS HERRERAS ,84,83,0,0,0,0,0,0,1,168,259,256
810,2,22,LOS HERRERAS ,85,111,0,0,0,0,0,0,5,201,293,287
811,2,20,HIDALGO,344,299,133,11,2,0,0,0,15,804,1134,1120
812,2,20,HIDALGO,193,172,93,7,0,0,0,0,9,474,640,634
813,2,20,HIDALGO,270,233,49,4,0,0,0,0,9,565,737,730
814,2,20,HIDALGO,185,203,57,3,0,0,0,0,8,456,610,606
815,2,20,HIDALGO,256,194,98,2,0,0,0,0,7,557,757,743
816,2,20,HIDALGO,679,495,200,21,2,0,0,0,19,1416,1920,1889
817,2,20,HIDALGO,535,432,131,49,1,0,0,0,26,1174,1573,1556
818,2,20,HIDALGO,174,217,109,17,0,0,0,0,10,527,721,714
819,2,20,HIDALGO,210,291,80,20,0,0,0,0,10,611,811,795
820,2,20,HIGUERAS,77,137,0,17,0,0,0,0,5,236,286,280
821,2,20,HIGUERAS,164,263,0,21,0,0,0,0,7,455,573,566
822,9,25,HUALAHUISES,253,199,0,7,0,0,0,0,8,467,705,701
823,9,25,HUALAHUISES,296,215,0,20,2,0,0,0,5,538,773,767
824,9,25,HUALAHUISES,224,194,0,6,0,0,0,0,9,433,623,620
825,9,25,HUALAHUISES,203,221,0,11,0,0,0,0,14,449,663,659
826,9,25,HUALAHUISES,255,323,0,23,1,0,0,0,19,621,1015,1003
827,9,25,HUALAHUISES,123,176,0,2,0,0,0,0,7,308,415,414
828,9,25,HUALAHUISES,79,69,0,2,0,0,0,0,7,157,221,218
829,9,25,HUALAHUISES,29,58,0,7,1,0,0,0,1,96,113,113
