MUNICIPIO,SECCION,TIPO DE CASILLA,LISTA NOMINAL,PAN,CA,PRD,PT,PSN,PAS,CONVERGENCIA,MEXICOPOSIBLE,VOTOS NULOS,TOTAL
ABASOLO,1,BASICA,521,34,192,,182,,,,,4,412
ABASOLO,2,BASICA,,,,,,,,,,,
ABASOLO,2,CONTIGUA 1,,,,,,,,,,,
AGUALEGUAS,3,BASICA,383,111,147,,3,,,,,2,263
AGUALEGUAS,3,CONTIGUA 1,384,92,169,,2,,,,,3,266
AGUALEGUAS,4,BASICA,369,98,156,,5,,,,,2,261
AGUALEGUAS,5,BASICA,489,155,151,,5,,,,,10,321
AGUALEGUAS,6,BASICA,556,181,201,,3,,,,,5,390
AGUALEGUAS,7,BASICA,262,50,94,,2,,,,,5,151
AGUALEGUAS,8,BASICA,391,123,125,,2,,,,,4,254
AGUALEGUAS,9,BASICA,323,95,110,,1,,,,,3,209
AGUALEGUAS,10,BASICA,328,107,96,,0,,,,,3,206
AGUALEGUAS,11,BASICA,230,72,76,,3,,,,,3,154
LOS ALDAMAS,12,BASICA,415,89,161,1,4,,,,,7,262
LOS ALDAMAS,13,BASICA,509,139,162,8,0,,,,,2,311
LOS ALDAMAS,14,BASICA,57,18,19,1,0,,,,,0,38
LOS ALDAMAS,15,BASICA,342,103,73,2,2,,,,,1,181
LOS ALDAMAS,16,BASICA,417,101,91,24,0,,,,,4,220
LOS ALDAMAS,17,BASICA,401,91,92,32,7,,,,,4,226
LOS ALDAMAS,18,BASICA,66,27,10,0,1,,,,,2,40
LOS ALDAMAS,19,BASICA,148,68,35,1,1,,,,,3,108
ALLENDE,20,BASICA,706,91,277,,14,,,,,6,388
ALLENDE,20,CONTIGUA 1,706,78,299,,11,,,,,13,401
ALLENDE,20,CONTIGUA 2,706,61,301,,6,,,,,8,376
ALLENDE,21,BASICA,558,86,218,,22,,,,,4,330
ALLENDE,21,CONTIGUA 1,558,87,190,,17,,,,,5,299
ALLENDE,21,CONTIGUA 2,558,81,201,,16,,,,,7,305
ALLENDE,22,BASICA,693,90,281,,22,,,,,11,404
ALLENDE,22,CONTIGUA 1,694,70,271,,21,,,,,8,370
ALLENDE,23,BASICA,694,108,257,,12,,,,,3,380
ALLENDE,23,CONTIGUA 1,694,101,258,,17,,,,,10,386
ALLENDE,24,BASICA,722,115,305,,30,,,,,7,457
ALLENDE,25,BASICA,610,134,224,,26,,,,,6,390
ALLENDE,25,CONTIGUA 1,611,130,197,,33,,,,,5,365
ALLENDE,26,BASICA,569,111,249,,15,,,,,9,384
ALLENDE,26,CONTIGUA 1,569,97,252,,16,,,,,1,366
ALLENDE,27,BASICA,498,96,218,,16,,,,,4,334
ALLENDE,27,CONTIGUA 1,499,69,255,,15,,,,,3,342
ALLENDE,28,BASICA,507,61,232,,13,,,,,8,314
ALLENDE,28,CONTIGUA 1,508,58,203,,15,,,,,3,279
ALLENDE,28,CONTIGUA 2,508,58,217,,6,,,,,5,286
ALLENDE,29,BASICA,743,85,302,,4,,,,,14,405
ALLENDE,29,CONTIGUA 1,743,68,319,,9,,,,,6,402
ALLENDE,30,BASICA,523,49,215,,9,,,,,4,277
ALLENDE,30,CONTIGUA 1,524,38,210,,9,,,,,8,265
ALLENDE,30,CONTIGUA 2,524,49,210,,11,,,,,6,276
ALLENDE,31,BASICA,651,98,252,,8,,,,,11,369
ALLENDE,32,BASICA,679,70,248,,15,,,,,11,344
ALLENDE,33,BASICA,464,42,187,,12,,,,,12,253
ALLENDE,33,CONTIGUA 1,464,64,213,,10,,,,,11,298
ALLENDE,34,BASICA,630,63,313,,8,,,,,6,390
ALLENDE,35,BASICA,250,52,103,,1,,,,,6,162
ALLENDE,36,BASICA,228,16,101,,17,,,,,2,136
ALLENDE,37,BASICA,474,61,209,,13,,,,,6,289
ALLENDE,38,BASICA,573,43,209,,21,,,,,11,284
ANÁHUAC,39,BASICA,537,177,156,12,1,,,,,5,351
ANÁHUAC,39,CONTIGUA 1,538,151,157,8,5,,,,,4,325
ANÁHUAC,40,BASICA,638,172,218,9,0,,,,,6,405
ANÁHUAC,40,CONTIGUA 1,639,169,197,9,0,,,,,3,378
ANÁHUAC,41,BASICA,498,120,193,4,1,,,,,6,324
ANÁHUAC,41,CONTIGUA 1,499,109,182,2,1,,,,,6,300
ANÁHUAC,42,BASICA,520,151,141,10,0,,,,,7,309
ANÁHUAC,42,CONTIGUA 1,520,135,177,16,1,,,,,1,330
ANÁHUAC,43,BASICA,605,169,173,3,1,,,,,4,350
ANÁHUAC,43,CONTIGUA 1,605,152,174,5,2,,,,,0,333
ANÁHUAC,44,BASICA,561,149,203,4,2,,,,,5,363
