Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CAMPECHE,47,C1,50,206,48,19,22,345,13,358,453,
CAMPECHE,48,B,47,210,23,15,20,315,17,332,492,
CAMPECHE,48,C1,90,184,28,21,30,353,10,363,491,
CAMPECHE,49,B,82,198,27,19,23,349,12,361,542,
CAMPECHE,49,C1,95,174,25,16,27,337,9,346,542,
,,,,,,,,,,,,
CAMPECHE,50,B,78,276,57,14,43,468,22,490,686,
CAMPECHE,51,B,63,228,27,15,21,354,20,374,531,
CAMPECHE,51,C1,57,242,26,7,23,355,14,369,531,
CAMPECHE,51,S,0,1,0,0,0,1,1,2,250,
CAMPECHE,52,B,84,350,32,24,41,531,23,554,734,
CAMPECHE,53,B,87,248,36,12,18,401,16,417,565,
CAMPECHE,53,C1,71,249,25,19,29,393,14,407,564,
CAMPECHE,54,B,48,188,25,15,25,301,19,320,446,
CAMPECHE,54,C1,57,208,18,17,24,324,13,337,446,
CAMPECHE,55,B,71,246,40,17,42,416,23,439,672,
CAMPECHE,55,C1,78,245,37,14,44,418,24,442,671,
CAMPECHE,56,B,55,154,21,15,14,259,9,268,431,
CAMPECHE,56,C1,44,189,35,10,20,298,8,306,430,
CAMPECHE,57,B,74,195,28,14,18,329,14,343,504,
CAMPECHE,57,C1,68,210,55,0,24,357,6,363,503,
CAMPECHE,58,B,93,116,50,18,50,327,0,327,553,
CAMPECHE,58,C1,30,283,8,12,19,352,11,363,552,
CAMPECHE,59,B,78,169,30,9,34,320,16,336,496,
CAMPECHE,59,C1,63,195,35,13,33,339,9,348,496,
CAMPECHE,60,B,56,163,39,21,26,305,18,323,499,
CAMPECHE,60,C1,63,189,30,16,19,317,19,336,498,
CAMPECHE,61,B,53,167,40,21,14,295,15,310,486,
CAMPECHE,61,C1,59,172,31,11,17,290,19,309,486,
CAMPECHE,62,B,72,177,28,24,14,315,11,326,524,
CAMPECHE,62,C1,57,179,25,10,22,293,13,306,524,
CAMPECHE,63,B,95,203,44,12,24,378,14,392,654,
CAMPECHE,63,C1,81,232,34,16,26,389,16,405,653,
CAMPECHE,64,B,65,238,31,14,26,374,20,394,571,
CAMPECHE,64,C1,63,207,54,14,32,370,14,384,571,
CAMPECHE,65,B,90,167,41,14,18,330,0,330,548,
CAMPECHE,65,C1,85,180,33,11,20,329,21,350,547,
CAMPECHE,65,C2,68,186,27,13,18,312,19,331,547,
CAMPECHE,66,B,59,224,29,15,22,349,17,366,528,
CAMPECHE,66,C1,75,202,41,8,18,344,15,359,528,
CAMPECHE,67,B,63,184,33,10,28,318,21,339,496,
,,,,,,,,,,,,
CAMPECHE,67,C1,88,171,34,15,19,327,18,345,496,
CAMPECHE,68,B,60,224,26,7,12,329,12,341,560,
CAMPECHE,68,C1,61,214,29,14,16,334,19,353,559,
CAMPECHE,69,B,62,185,22,6,30,305,12,317,483,
CAMPECHE,69,C1,62,218,18,6,22,326,6,332,482,
CAMPECHE,70,B,60,249,52,15,29,405,10,415,564,
CAMPECHE,70,C1,57,246,37,14,41,395,18,413,563,
CAMPECHE,71,B,42,207,29,23,42,343,14,357,502,
CAMPECHE,71,C1,46,205,31,11,41,334,19,353,502,
CAMPECHE,72,B,78,308,31,10,25,452,14,466,641,
CAMPECHE,72,C1,67,311,37,15,22,452,10,462,640,
CAMPECHE,73,B,77,233,29,9,17,365,12,377,576,
CAMPECHE,73,C1,76,237,20,9,13,355,9,364,576,
CAMPECHE,73,S,0,55,11,0,11,77,11,88,250,
CAMPECHE,74,B,72,252,43,23,29,419,27,446,660,
CAMPECHE,74,C1,88,259,37,16,26,426,12,438,659,
CAMPECHE,75,B,78,234,42,13,26,393,12,405,609,
CAMPECHE,75,C1,87,230,34,14,18,383,15,398,609,
CAMPECHE,75,C2,93,228,23,11,27,382,16,398,608,
CAMPECHE,76,B,63,194,39,10,28,334,11,345,491,
CAMPECHE,76,C1,56,211,37,21,28,353,19,372,491,
CAMPECHE,77,B,66,202,28,14,26,336,14,350,469,
CAMPECHE,77,C1,55,191,35,14,34,329,8,337,468,
CAMPECHE,78,B,71,172,15,7,20,285,13,298,447,
CAMPECHE,78,C1,73,164,21,13,23,294,8,302,447,
CAMPECHE,79,B,100,18,18,14,22,172,18,190,742,
CAMPECHE,79,C1,94,239,44,15,12,404,17,421,742,
CAMPECHE,79,C2,88,244,51,15,15,413,12,425,742,
CAMPECHE,79,C3,90,229,45,13,12,389,13,402,741,
CAMPECHE,79,C4,77,220,40,21,14,372,17,389,741,
CAMPECHE,79,E1,59,166,37,16,22,300,20,320,509,
CAMPECHE,79,E1C1,67,155,29,18,16,285,26,311,509,
CAMPECHE,79,E1C2,63,159,24,14,18,278,22,300,509,
CAMPECHE,80,B,58,169,30,13,11,281,9,290,414,
CAMPECHE,80,C1,43,185,26,21,25,300,12,312,413,
,,,,,,,,,,,,
CAMPECHE,81,B,79,246,30,13,30,398,33,431,699,
CAMPECHE,81,C1,87,250,30,27,29,423,20,443,699,
CAMPECHE,81,C2,80,244,36,15,31,406,31,437,699,
CAMPECHE,81,C3,94,261,30,15,22,422,14,436,699,
CAMPECHE,81,C4,80,259,38,17,31,425,21,446,698,
CAMPECHE,81,C5,78,247,37,17,21,400,10,410,698,
CAMPECHE,81,C6,79,245,42,21,26,413,14,427,698,
CAMPECHE,81,E1,69,239,61,22,23,414,18,432,698,
CAMPECHE,81,E1C1,81,234,55,23,25,418,12,430,698,
CAMPECHE,81,E1C2,109,221,47,20,20,417,13,430,698,
CAMPECHE,81,E1C3,79,214,39,12,18,362,17,379,698,
CAMPECHE,81,E1C4,92,215,51,25,30,413,14,427,698,
CAMPECHE,81,E1C5,99,224,55,17,32,427,17,444,697,
CAMPECHE,81,E1C6,108,43,43,99,28,231,16,247,697,
CAMPECHE,82,B,49,273,36,16,26,400,17,417,594,
CAMPECHE,82,C1,70,235,46,24,22,397,22,419,593,
CAMPECHE,83,B,134,216,50,14,19,433,17,450,724,
CAMPECHE,83,C1,92,270,44,12,26,444,11,455,724,
CAMPECHE,83,C2,103,237,39,15,20,414,16,430,724,
CAMPECHE,83,C3,103,203,54,14,25,399,19,418,724,
CAMPECHE,83,C4,105,217,67,0,27,416,11,427,724,
CAMPECHE,83,C5,120,227,53,20,28,448,15,463,723,
CAMPECHE,84,B,52,171,15,5,8,251,21,272,419,
CAMPECHE,84,C1,50,154,23,15,17,259,10,269,419,
CAMPECHE,85,B,58,188,42,9,11,308,23,331,497,
CAMPECHE,85,C1,72,172,33,13,13,303,30,333,496,
CAMPECHE,86,B,67,231,30,14,53,395,15,410,534,
CAMPECHE,86,C1,60,239,39,27,49,414,5,419,534,
CAMPECHE,87,B,65,196,18,16,27,322,11,333,461,
