ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,62,175,19320,11080,1198,1001,683,2079,1758,19878,1405,619,4703,,,,,,,,63723,81,2772,66577,108525,
22,QUERÉTARO,2,QUERÉTARO,66,187,19223,7646,1301,943,1025,2597,1446,20549,1627,2341,5156,,,,,,,,63854,93,2703,66650,112569,
22,QUERÉTARO,3,QUERÉTARO,67,164,18589,6101,1141,1308,1018,1635,1584,20159,1547,1353,3843,,,,,,,,58278,89,2113,60480,102541,
22,QUERÉTARO,4,QUERÉTARO,62,176,28408,6287,1718,1523,1378,1415,1205,16685,1163,1119,3015,,,,,,,,63916,99,2624,66639,109805,
22,QUERÉTARO,5,QUERÉTARO,65,188,26049,10216,1230,1883,1366,2414,1325,17694,1596,680,3476,,,,,,3045,,70974,55,3002,74031,113327,
22,QUERÉTARO,6,QUERÉTARO,51,187,26371,9273,1064,1474,1406,3099,1996,17397,2304,939,3715,,2982,,,,,,72020,76,3104,75200,117394,
22,QUERÉTARO,7,CORREGIDORA,63,179,25743,10247,1275,1130,2288,3165,1123,10976,1534,798,1967,,,,,1858,,,62104,48,3391,65543,104811,
22,QUERÉTARO,8,SAN JUAN DEL RÍO,66,180,24995,16437,896,828,1043,2477,1022,10000,1130,466,1986,,,,,,,,61280,49,3332,64661,96694,
22,QUERÉTARO,9,SAN JUAN DEL RÍO,53,170,21400,8205,745,1054,1809,2176,1288,17230,1496,1023,1911,3134,,,,,,,61471,74,2229,63774,104113,
22,QUERÉTARO,10,PEDRO ESCOBEDO,41,158,19809,11621,1636,1153,2624,2647,1549,12756,2612,1318,3028,,,,,,,,60753,38,2835,63626,98118,
22,QUERÉTARO,11,TEQUISQUIAPAN,51,156,23792,12388,1645,,1158,2446,1057,10880,1361,2562,917,,,,3219,,,,61425,71,3422,64918,95870,
22,QUERÉTARO,12,EL MARQUÉS,33,176,18541,18089,7063,1553,1113,1947,1111,12354,1268,1043,1447,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,13,QUERÉTARO,40,193,24365,9918,1280,1244,616,1890,1474,15907,1793,554,1185,,,,,,,3011,63237,62,2602,65901,119121,
22,QUERÉTARO,14,CADEREYTA DE MONTES,61,175,21225,11604,1801,1236,2369,3329,1319,11992,2362,1236,2056,,,,,,,,60529,39,3995,64563,100111,
22,QUERÉTARO,15,JALPAN DE SERRA,79,184,15128,20767,2218,1297,4785,550,625,6326,1409,1024,675,,,,,,,,54804,16,4068,58888,87566,
