ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,AMEALCO DE BONFIL,34,87,14726,8552,368,349,584,723,284,2196,310,164,433,87,24,31,13,648,,,,,,,,,,,,,29492,11,1769,31272,45894,
22,QUERÉTARO,2,ARROYO SECO,11,23,796,2627,1365,49,113,79,71,1654,156,83,108,,,,,,31,65,1,3,,,,,,,,,7201,1,489,7691,10955,
22,QUERÉTARO,3,CADEREYTA DE MONTES,30,85,10172,6539,564,478,628,862,492,5679,612,290,1278,216,70,63,32,305,,,,,277,,,,,,,,28557,31,1964,30552,49997,
22,QUERÉTARO,4,COLÓN,21,71,10215,6710,832,,610,941,234,2797,418,2168,406,64,41,25,11,,,,,,,,,,1002,,,,26474,49,1747,28270,43739,
22,QUERÉTARO,5,CORREGIDORA,62,217,33192,10501,1084,1367,2297,3887,1430,17228,2252,904,3590,736,212,147,71,607,,,,,204,,1821,,,1752,,,83282,81,3798,87161,134877,
22,QUERÉTARO,6,EZEQUIEL MONTES,17,53,6794,3093,731,208,754,1757,239,3836,304,198,575,151,33,60,18,151,,,,,214,,,,,,,,19116,7,1141,20264,30261,
22,QUERÉTARO,7,HUIMILPAN,14,48,5665,3298,555,443,667,784,305,1434,264,321,224,26,10,25,6,61,,,,,,,,,,106,,,14194,4,1102,15300,27969,
22,QUERÉTARO,8,JALPAN DE SERRA,15,42,3404,5888,131,58,330,85,85,1589,697,171,133,,,,,,96,52,7,3,,,,,,,,,12729,6,745,13480,20479,
22,QUERÉTARO,9,LANDA DE MATAMOROS,14,32,3974,3981,80,75,293,70,178,694,133,168,59,,,,,,44,48,12,1,,,,,,,,,9810,1,711,10522,15876,
22,QUERÉTARO,10,EL MARQUÉS,33,176,18541,17738,7063,1553,1113,1597,893,12128,1065,1043,1447,394,78,109,66,701,,,,,,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,11,PEDRO ESCOBEDO,24,84,10177,6491,1245,386,1803,1195,609,5911,1603,1136,2204,324,70,63,23,223,,,,,,,,,,,,,33463,16,1745,35224,51376,
22,QUERÉTARO,12,PEÑAMILLER,14,31,1591,3393,120,169,2574,159,130,934,182,321,175,,,,,,26,7,1,3,,,,,,,,,9785,2,791,10578,14199,
22,QUERÉTARO,13,PINAL DE AMOLES,18,40,3641,3601,222,785,1389,105,97,938,177,231,85,,,,,,46,35,29,8,,,,,,,,,11389,3,889,12281,19432,
22,QUERÉTARO,14,QUERÉTARO,400,1184,147648,55916,7033,8473,6816,12574,7768,117768,8055,7178,23246,4253,905,977,253,1434,532,96,71,22,2396,,1161,,,,3045,3011,420630,518,17411,438560,725247,
22,QUERÉTARO,15,SAN JOAQUÍN,7,16,1491,1277,86,38,86,52,64,517,64,50,115,,,,,,23,23,3,1,,,,,,,,,3890,3,443,4336,6625,
22,QUERÉTARO,16,SAN JUAN DEL RÍO,102,337,41301,20374,1664,2300,3089,4536,2002,30765,2359,1507,4288,1620,339,342,108,821,,,,,,3134,,,,,,,120549,134,4882,125565,201655,
22,QUERÉTARO,17,TEQUISQUIAPAN,30,85,13577,5678,813,,548,1505,659,7858,752,394,511,249,106,67,17,,,,,,,,,,2217,,,,34951,22,1675,36648,52131,
22,QUERÉTARO,18,TOLIMÁN,14,37,3969,1716,217,550,987,454,357,2206,1218,748,203,46,24,14,3,56,,,,,88,,,,,,,,12856,1,890,13747,19853,
