"seccion","casilla","pan","pri","prd","pvem","pt","mc","morena","na","pes","mas","progresa","rsp","c_pan_pri_prd_rsp","c_pan_pri_prd","c_pan_pri_rsp","c_pan_prd_rsp","c_pri_prd_rsp","c_pan_pri","c_pan_prd","c_pan_rsp","c_pri_prd","c_pri_rsp","c_prd_rsp","no_registrados","num_votos_nulos","tot_votos","l_nominal","municipality","source_file","c_morena_na_pes_mas","c_morena_na_pes","c_morena_na_mas","c_morena_pes_mas","c_na_pes_mas","c_morena_na","c_morena_pes","c_morena_mas","c_na_pes","c_na_mas","c_pes_mas","c_mc_progresa","cand_ind_luis_armando_jaime_maldonado","cand_ind_andres_tapia_franco","cand_ind_perseo_quiroz_rendon"
"1","B1",2,1,0,35,149,0,10,39,3,5,44,1,0,0,0,0,0,0,0,0,0,0,0,0,11,300,510,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","C1",4,2,0,32,135,1,6,37,7,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,19,279,510,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","C2",2,3,0,38,131,1,8,33,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,13,262,509,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B1",2,2,0,39,112,2,5,29,8,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,272,540,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","C1",1,4,0,37,118,1,10,25,9,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,14,275,539,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","B1",2,2,0,77,140,2,0,23,7,6,88,1,0,0,0,0,0,0,0,0,0,0,0,0,38,386,562,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","C1",4,3,0,53,131,2,0,24,13,12,94,1,0,0,0,0,0,0,0,0,0,0,0,0,32,369,561,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","B1",4,5,0,89,111,0,9,17,5,6,115,0,0,0,0,0,0,0,0,0,0,0,0,0,27,388,561,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C1",3,2,0,62,127,1,0,21,9,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,30,346,561,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E1",5,3,1,37,154,1,5,13,1,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,239,430,"MORELOSCOMBINED","morelos_2024_combined.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
