ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,63,12667,6257,375,731,219,217,,162,2522,100,26,,,,,,,,,,,,,,,,,,,,,,,,,23276,1,1111,24388,31395,
20,OAXACA,24,COSOLAPA,10,17,239,4141,68,290,206,142,,123,1264,68,41,,,,,,,,,,,,,,,,,,,,,,,,,6582,1,665,7248,9877,
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,42,1223,1245,11,9,9,,2,69,3,,,,,,,,,,,,,,,,,,,,,,,,,,2613,10,39,2662,3242,
20,OAXACA,170,SAN JOSE TENANGO,16,26,103,2845,176,,2538,1906,25,436,681,155,,,,,,,,,,,,,,,,,,,,,,,,,,8865,2,332,9199,11608,
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,56,1599,12441,1279,1035,324,488,53,119,4405,135,,,,,,,,,,,,,,,,,,,,,,,,,,21878,2,400,22280,26770,
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,54,2092,34,57,65,117,,59,3716,49,,,,,,,,,,,,,,,,,,,,,,,,,,6243,0,103,6346,7556,
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,201,1057,4039,485,6772,2098,1423,235,37553,19437,1688,141,146,767,,,,,,,,,,,,,,,,,,,,,,,75841,29,2966,78836,113778,
20,OAXACA,11,AYOTZINTEPEC,3,10,24,735,628,10,14,9,909,9,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,2438,0,150,2588,4970,
20,OAXACA,44,LOMA BONITA,32,59,439,4684,6377,502,601,249,72,2599,2549,386,,,,,,,,,,,,,,,,,,,,,,,,,,18458,0,806,19264,28951,
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,35,85,4277,2653,270,137,84,49,76,8040,114,19,4,,,,,,,,,,,,,,,,,,,,,,,,15808,7,370,16185,19015,
20,OAXACA,133,SAN FELIPE USILA,5,14,874,2303,1,199,4,5,2847,18,119,4,,,,848,61,,,,,,,,,,,,,,,,,,,,,7283,0,144,7427,8548,
20,OAXACA,164,SAN JOSE CHILTEPEC,6,14,1161,1452,53,34,149,57,,588,2060,325,761,,,,,,,,,,,,,,,,,,,,,,,,,6640,2,207,6849,8448,
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,4,1,382,3,,51,0,62,368,515,10,,,,,,,,,,,,,,,,,,,,,,,,,,1392,0,31,1423,1661,
20,OAXACA,232,SAN LUCAS OJITLAN,12,28,2807,841,192,150,332,183,,2764,4952,113,53,,,,,,,,,,,,,,,,,,,,,,,,,12387,1,282,12670,15259,
20,OAXACA,418,SANTA MARIA JACATEPEC,6,13,171,1168,1754,,42,133,4,5,152,35,,2002,,,,,,,,,,,,,,,,,,,,,,,,5466,2,327,5795,7086,
20,OAXACA,38,HUAUTEPEC,4,8,7,1282,121,,8,6,21,297,12,3,,1564,,,,,,,,,,,,,,,,,,,,,,,,3321,21,136,3478,3993,
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,41,213,2963,4257,,385,76,907,1596,5382,64,281,,,,,,,,,,,,,,,,,,,,,,,,,16124,0,631,16755,21624,
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,5,11,524,8,,,12,535,543,,,560,,,,,,,,,,,,,,,,,,,,,,,,,2193,0,131,2324,2766,
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,13,19,1506,1879,106,97,75,42,30,233,1109,43,327,,,,,,,,,,,,,,,,,,,,,,,,,5447,1,241,5689,7280,
20,OAXACA,189,SAN JUAN COATZOSPAM,1,2,1,8,243,397,8,4,,9,445,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1120,0,42,1162,1463,
20,OAXACA,432,SANTA MARIA TECOMAVACA,1,2,1,262,7,11,10,3,2,12,349,3,425,,,,,,,,,,,,,,,,,,,,,,,,,1085,0,49,1134,1427,
20,OAXACA,435,SANTA MARIA TEOPOXCO,2,6,7,1032,10,21,37,11,12,31,734,24,,,,,,,,,,,,,,,,,,,,,,,,,,1919,0,86,2005,2986,
20,OAXACA,437,SANTA MARIA TEXCATITLAN,1,2,2,275,238,3,8,4,,0,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,541,0,19,560,756,
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,6,14,75,680,473,48,40,30,241,109,413,100,1888,126,,,,817,,,,,,,,,,,,,,,,,,,,5040,5,257,5302,7074,
20,OAXACA,558,VALERIO TRUJANO,2,2,3,31,78,129,7,0,463,3,180,15,83,,,,,,,,,,,,,,,,,,,,,,,,,992,0,31,1023,1250,
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,24,283,430,2148,74,796,137,566,917,1836,96,26,421,,,,,1249,,,,,,,,,,,,,,,,,,,8979,2,372,9353,13139,
20,OAXACA,86,SAN ANDRES DINICUITI,3,6,11,124,581,197,34,2,,4,190,11,,,,,,,,,,,,,,,,,,,,,,,,,,1154,0,60,1214,1699,
20,OAXACA,99,SAN ANDRES ZAUTLA,2,5,6,776,9,10,27,7,,10,204,21,,1189,,,,,,,,,,,,,,,,,,,,,,,,2259,0,59,2318,2988,
20,OAXACA,147,SAN FRANCISCO TELIXTLAHUACA,6,16,61,1423,297,69,935,12,815,313,425,31,1866,333,,,,,,,,,,,,,,,,,,,,,,,,6580,261,289,7130,9181,
20,OAXACA,292,SAN PABLO HUITZO,5,10,339,982,88,34,174,17,385,227,1261,114,228,,,,,,,,,,,,,,,,,,,,,,,,,3849,7,110,3966,5225,
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,5,8,9,858,19,149,102,14,5,24,1051,34,,,,,,,,,,,,,,,,,,,,,,,,,,2265,1,67,2333,3205,
20,OAXACA,457,SANTIAGO CACALOXTEPEC,3,3,593,521,28,4,3,5,,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,1180,0,38,1218,1511,
20,OAXACA,485,SANTIAGO SUCHILQUITONGO,5,12,99,997,894,35,115,37,68,36,519,46,2520,,,,,,,,,,,,,,,,,,,,,,,,,5366,0,226,5592,7321,
20,OAXACA,539,VILLA DE TAMAZULAPAM DEL PROGRESO,6,12,100,1312,308,,513,206,33,20,427,23,,995,,,,,,,,,,,,,,,,,,,,,,,,3937,1,139,4077,5587,
20,OAXACA,543,VILLA TEJUPAM DE LA UNION,3,4,15,444,668,17,88,18,,24,121,14,2,,,,,,,,,,,,,,,,,,,,,,,,,1411,0,61,1472,1829,
20,OAXACA,5,ASUNCION CUYOTEPEJI,1,2,329,314,3,1,4,2,,1,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,708,0,9,717,852,
20,OAXACA,31,FRESNILLO DE TRUJANO,2,2,12,220,226,8,2,4,,1,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,585,0,16,601,814,
20,OAXACA,32,GUADALUPE DE RAMIREZ,3,3,7,315,138,3,203,5,,4,34,2,,, , ,,,,,,,,,,,,,,,,,,,,,,711,0,41,752,1086,
20,OAXACA,37,HEROICA CIUDAD DE HUAJUAPAN DE LEON,34,98,4947,7799,468,3696,764,200,1026,218,9471,436,81,359,, , ,,,928,,,,,,,,,,,,,,,,,,30393,1934,1109,33436,56025,
20,OAXACA,55,MARISCALA DE JUAREZ,7,8,5,549,13,122,12,7,607,405,149,23,,, , ,,,,,,,,,,,,,,,,,,,,,,1892,0,128,2020,2741,
20,OAXACA,157,SAN JERONIMO SILACAYOAPILLA,2,2,266,308,12,4,8,3,,5,71,3,,, , ,,,,,,,,,,,,,,,,,,,,,,680,0,17,697,1156,
20,OAXACA,179,SAN JUAN BAUTISTA SUCHITEPEC,2,2,138,119,5,3,5,0,,2,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,301,0,8,309,406,
20,OAXACA,200,SAN JUAN IHUALTEPEC,2,2,58,146,,9,,,,3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0,7,319,577,
20,OAXACA,237,SAN MARCOS ARTEAGA,3,3,13,222,358,,37,13,1,,93,2,,,,,,,,,,,,,,,,,,,,,,,,,,739,0,36,775,1238,
20,OAXACA,245,SAN MARTIN ZACATEPEC,2,3,2,506,5,5,6,2,,1,433,4,,,,,,,,,,,,,,,,,,,,,,,,,,964,0,21,985,1255,
20,OAXACA,258,SAN MIGUEL AHUEHUETITLAN,2,4,535,567,13,9,115,3,,3,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,1281,0,44,1325,1856,
