ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,MC,PUP,NA,MORENA,PSD,PMR,PAN_PRD_MC,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD_MC,C_COMUN_PRI_PVEM_NA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,C_COMUN_PRD_MC_PUP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,133,SAN FELIPE USILA,5,14,874,,,,2847,,,,,,2520,127,,,,,,6,,,848,61,,,,,,,,,,,,,,,,,,,,,7283,0,144,7427,8548,
20,OAXACA,164,SAN JOSE CHILTEPEC,6,14,,,,,,588,,761,,1271,,2534,,,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,6640,2,207,6849,8448,
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,4,,382,,,62,368,,,,4,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,0,31,1423,1661,
20,OAXACA,232,SAN LUCAS OJITLAN,12,28,,,,,,,,53,,3182,3755,5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12387,1,282,12670,15259,
20,OAXACA,418,SANTA MARIA JACATEPEC,6,13,,1168,,,4,5,,,2002,2058,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466,2,327,5795,7086,
20,OAXACA,38,HUAUTEPEC,4,8,,1282,,,21,297,,,1564,134,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3321,21,136,3478,3993,
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,41,,,,,907,,,281,,4546,,5831,,,,4559,,,,,,,,,,,,,,,,,,,,,,,,,,,16124,0,631,16755,21624,
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,5,,524,,,535,543,,560,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2193,0,131,2324,2766,
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,13,19,,,,,30,,,327,,1654,,1227,,2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447,1,241,5689,7280,
20,OAXACA,189,SAN JUAN COATZOSPAM,1,2,,,397,,,,,3,,248,,455,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,0,42,1162,1463,
