CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,223,2,80,88,36,38,35,30,14,224,74,8,6,5,3,13,1,0,6,,,,,,,,,56,,,,,,,717,0,39,756,1138
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,224,2,103,94,48,35,35,64,5,272,43,14,12,8,5,15,3,0,12,,,,,,,,,72,,,,,,,840,0,41,881,1418
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,225,2,105,84,29,43,25,49,9,228,51,8,6,8,0,19,1,1,2,,,,,,,,,69,,,,,,,737,2,34,773,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,226,2,84,57,48,40,25,36,6,233,44,18,14,2,4,12,1,0,6,,,,,,,,,74,,,,,,,704,1,16,721,1139
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,3,159,100,66,53,43,87,17,431,53,21,23,7,5,18,0,0,9,,,,,,,,,110,,,,,,,1202,1,39,1242,2017
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,228,2,239,60,21,14,12,24,11,118,20,14,7,2,0,5,0,0,2,,,,,,,,,40,,,,,,,589,0,29,618,875
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,229,2,132,49,47,22,26,20,8,185,31,12,12,2,4,13,4,1,6,,,,,,,,,37,,,,,,,611,1,22,634,886
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,230,3,340,86,54,41,29,47,25,369,60,16,24,8,6,8,0,0,5,,,,,,,,,54,,,,,,,1172,0,73,1245,1742
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,231,2,109,59,28,21,30,35,14,187,21,8,24,1,1,20,3,2,3,,,,,,,,,55,,,,,,,621,0,29,650,904
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,232,3,212,96,46,58,42,67,19,351,59,16,25,7,1,18,5,0,9,,,,,,,,,109,,,,,,,1140,2,55,1197,1778
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,233,2,131,56,29,26,17,37,11,223,27,12,11,6,3,7,2,1,2,,,,,,,,,68,,,,,,,669,2,21,692,962
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,234,2,194,79,13,23,21,31,12,192,19,1,10,2,0,7,0,1,3,,,,,,,,,63,,,,,,,671,2,38,711,985
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,235,1,62,7,10,12,7,10,3,31,9,0,4,0,0,7,1,0,1,,,,,,,,,10,,,,,,,174,0,7,181,324
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,236,1,116,27,11,9,5,15,11,106,19,5,5,7,1,2,1,0,2,,,,,,,,,27,,,,,,,369,1,25,395,558
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,237,2,194,57,17,25,18,33,12,149,20,8,18,3,3,8,1,1,7,,,,,,,,,28,,,,,,,602,0,18,620,979
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,245,2,177,30,20,20,12,33,12,161,18,10,8,6,3,9,1,1,1,,,,,,,,,25,,,,,,,547,1,36,584,870
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,246,2,135,90,44,39,18,35,18,231,36,21,13,4,8,14,1,0,5,,,,,,,,,63,,,,,,,775,0,42,817,1206
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,247,2,180,59,32,29,51,29,27,257,28,11,12,7,2,11,3,1,6,,,,,,,,,58,,,,,,,803,1,31,835,1197
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,248,2,281,136,30,41,27,49,15,282,31,7,12,6,3,13,2,1,5,,,,,,,,,61,,,,,,,1002,3,41,1046,1477
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,249,1,100,32,8,10,19,23,11,86,14,2,5,1,1,8,0,1,0,,,,,,,,,32,,,,,,,353,1,15,369,493
