CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,C,3,0,C03,73,36,41,19,11,23,6,146,15,5,15,2,3,4,0,0,4,,,,,,,,,58,,,,,,,461,0,12,473,579,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,B,1,0,B,32,19,19,26,14,13,6,120,15,9,24,4,3,10,1,0,2,,,,,,,,,44,,,,,,,361,0,18,379,604,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,1,0,C01,45,15,29,10,20,19,2,118,22,6,14,2,1,5,2,1,2,,,,,,,,,38,,,,,,,351,0,17,368,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,2,0,C02,46,24,18,18,12,21,1,109,15,7,18,2,4,4,0,3,3,,,,,,,,,0,,,,,,,305,2,19,326,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,3,0,C03,54,20,28,26,7,19,7,98,17,9,23,1,0,5,2,0,1,,,,,,,,,56,,,,,,,373,0,16,389,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,C,4,0,C04,40,25,35,22,13,16,5,126,9,6,19,5,4,11,0,1,1,,,,,,,,,45,,,,,,,383,1,18,402,603,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,B,1,0,B,57,24,52,6,13,21,8,152,19,4,10,1,4,5,1,0,5,,,,,,,,,57,,,,,,,439,0,14,453,670,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,1,0,C01,71,33,28,21,12,11,7,120,16,6,7,4,3,7,1,3,0,,,,,,,,,71,,,,,,,421,0,21,442,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,C,2,0,C02,51,16,37,21,11,19,2,138,18,6,12,2,1,7,2,0,4,,,,,,,,,81,,,,,,,428,0,18,446,669,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,B,1,0,B,38,17,16,16,16,14,8,111,12,2,6,0,1,3,1,0,0,,,,,,,,,58,,,,,,,319,0,12,331,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,1,0,C01,51,20,13,33,15,16,4,104,19,4,7,2,4,5,0,1,1,,,,,,,,,28,,,,,,,327,0,17,344,510,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,C,2,0,C02,86,29,21,12,12,17,8,117,16,4,4,2,1,7,0,0,2,,,,,,,,,31,,,,,,,369,0,16,385,510,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,B,1,0,B,47,28,52,27,19,29,6,154,19,10,8,2,2,11,3,0,3,,,,,,,,,43,,,,,,,463,0,22,485,738,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,1,0,C01,50,31,34,23,24,18,19,146,26,13,6,2,4,8,1,1,6,,,,,,,,,45,,,,,,,457,0,24,481,737,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,C,2,0,C02,45,36,48,30,16,21,9,131,18,11,4,0,6,5,0,0,0,,,,,,,,,42,,,,,,,422,3,27,452,737,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,B,1,0,B,37,17,29,25,30,27,8,149,22,5,5,1,3,3,1,0,2,,,,,,,,,20,,,,,,,384,0,18,402,586,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,1,0,C01,53,21,26,15,19,16,4,125,27,7,5,3,0,2,0,0,1,,,,,,,,,21,,,,,,,345,1,10,356,585,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,C,2,0,C02,42,17,33,23,13,22,5,134,20,8,8,0,3,6,0,0,1,,,,,,,,,30,,,,,,,365,0,17,382,585,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,B,1,0,B,54,30,17,24,23,25,5,161,17,4,13,1,2,8,1,0,0,,,,,,,,,41,,,,,,,426,2,19,447,693,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,1,0,C01,81,21,21,25,15,18,9,165,23,9,12,1,1,8,3,1,7,,,,,,,,,43,,,,,,,463,43,24,530,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,2,0,C02,75,23,20,31,14,25,7,175,20,6,13,0,3,6,1,0,1,,,,,,,,,41,,,,,,,461,0,28,489,692,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,B,1,0,B,82,14,24,12,15,16,6,179,11,7,6,1,3,6,1,0,6,,,,,,,,,36,,,,,,,425,0,24,449,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,1,0,C01,62,35,32,19,21,16,4,150,22,10,4,0,1,7,2,0,5,,,,,,,,,48,,,,,,,438,2,25,465,665,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,C,2,0,C02,75,25,39,8,10,12,9,158,12,8,8,2,5,5,4,0,3,,,,,,,,,32,,,,,,,415,1,28,444,665,Acta casilla,,,
