ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,15155,6111,4736,3592,2767,3972,1394,24437,3488,1336,1550,475,436,1133,205,60,466,,,,,,,,,6775,,,,,,,78088,105,3735,81928,125451,
17,MORELOS,2,CUERNAVACA,94,222,12922,5468,7344,2459,2217,1514,2854,20699,2960,3228,2235,179,595,963,171,59,469,,,,,,,,,,3494,5499,4231,,,,79560,94,4214,83868,128115,
17,MORELOS,3,TEPOZTLAN,83,213,6519,5732,11531,4519,4093,2520,6094,27812,4343,2200,3061,137,,1221,224,108,595,,,,,,,,,,,,,,,,80709,138,5213,86060,122953,
17,MORELOS,4,YECAPIXTLA,68,186,12758,8720,6128,4878,5237,7440,2421,18276,2964,1516,6663,,335,848,170,96,340,,,,,,,,,,,,,,,,78790,89,4365,83244,115638,
17,MORELOS,5,TEMIXCO,58,185,5380,7132,10798,4055,2617,1562,3645,20527,2558,1819,2304,159,404,,,,,,,,,898,179,107,485,,,,,,,,64629,64,3757,68450,113589,
17,MORELOS,6,JIUTEPEC,56,192,9733,4963,13012,4058,2770,1461,1713,26898,3438,2101,2176,,,1378,178,109,619,666,314,183,29,,,,,,,,,,,,75799,96,3394,79289,119643,
17,MORELOS,7,CUAUTLA,84,210,4245,11320,8237,3084,2432,6722,2640,21944,2238,1888,2170,339,,1157,158,62,459,372,160,215,58,,,,,,,,,5322,,,75222,135,3369,78726,124696,
17,MORELOS,8,XOCHITEPEC,44,175,7563,16622,4750,9095,1431,1437,1957,13917,2095,1549,1218,186,223,,,,,,,,,630,126,47,326,,,,,,5456,,68628,55,3241,71924,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,2098,21252,6649,1666,4964,1863,6038,23410,3008,1585,970,44,334,883,190,81,380,,,,,,,,,,,,,,,,75415,71,3449,78935,113898,
17,MORELOS,10,AYALA,88,213,2232,12589,17967,2155,3451,3220,4869,17882,2248,4113,5345,148,1217,796,145,85,290,,,,,,,,,,,,,,,,78752,76,4397,83225,124032,
17,MORELOS,11,JOJUTLA,98,213,2853,9712,5631,3199,6114,3704,3608,23865,6668,2189,4578,,299,1079,250,134,409,,,,,,,,,,,,,,,,74292,66,4459,78817,117882,
17,MORELOS,12,YAUTEPEC,65,202,5367,6039,15302,3422,2538,2445,1700,18815,2734,3086,2506,226,,857,139,87,467,624,216,368,48,,,,,,,,,,,5751,72737,73,3748,76558,121854,
