Municipio,Seccion,PAN,PRI,PRD,PVEM,Convergencia,PT,PANAL,PRI-PVEM,VÁLIDOS,NULOS,TOTAL,LISTANOMINAL
Amealco de Bonfil,1,114,,92,,108,32,58,282,686,20,706,1018
Amealco de Bonfil,2,98,,72,,54,28,35,246,533,23,556,797
Amealco de Bonfil,3,99,,107,,154,24,85,254,723,21,744,1209
Amealco de Bonfil,4,103,,142,,162,13,76,354,850,19,869,1338
Amealco de Bonfil,5,59,,130,,100,36,57,318,700,15,715,1086
Amealco de Bonfil,6,107,,110,,13,25,5,107,367,16,383,766
Amealco de Bonfil,7,25,,60,,10,19,7,138,259,16,275,502
Amealco de Bonfil,8,102,,128,,21,5,7,238,501,33,534,933
Amealco de Bonfil,9,135,,315,,34,52,4,128,668,22,690,1442
Amealco de Bonfil,10,47,,150,,68,9,3,160,437,32,469,897
Amealco de Bonfil,11,106,,127,,60,15,24,123,455,20,475,768
Amealco de Bonfil,12,53,,178,,9,8,6,115,369,12,381,602
Amealco de Bonfil,13,126,,399,,56,18,8,153,760,29,789,1311
Amealco de Bonfil,14,138,,293,,72,19,43,334,899,68,967,1458
Amealco de Bonfil,15,99,,224,,19,5,10,222,579,55,634,1264
Amealco de Bonfil,16,68,,172,,56,13,26,139,474,41,515,847
Amealco de Bonfil,17,123,,148,,67,52,12,161,563,28,591,931
Amealco de Bonfil,18,31,,52,,30,11,5,160,289,14,303,517
Amealco de Bonfil,19,278,,394,,51,6,19,228,976,119,1095,2095
Amealco de Bonfil,20,61,,190,,14,7,9,105,386,20,406,730
Amealco de Bonfil,21,66,,68,,3,3,6,79,225,13,238,456
Amealco de Bonfil,22,147,,246,,25,5,20,275,718,57,775,1407
Amealco de Bonfil,23,181,,214,,26,16,23,356,816,59,875,1546
Amealco de Bonfil,24,83,,403,,54,10,11,242,803,71,874,1392
Amealco de Bonfil,25,112,,227,,30,5,21,236,631,34,665,1130
Amealco de Bonfil,26,96,,197,,49,9,13,273,637,32,669,1096
Amealco de Bonfil,27,15,,214,,4,3,11,176,423,47,470,961
Amealco de Bonfil,28,61,,86,,24,4,33,170,378,13,391,749
Amealco de Bonfil,29,58,,195,,0,1,15,46,315,34,349,844
Amealco de Bonfil,30,90,,235,,12,7,33,122,499,39,538,1126
Amealco de Bonfil,31,26,,193,,2,0,2,67,290,22,312,690
Amealco de Bonfil,32,31,,209,,3,4,28,179,454,30,484,1027
Amealco de Bonfil,33,48,,375,,7,3,51,364,848,75,923,1845
Amealco de Bonfil,34,57,,123,,13,3,6,100,302,11,313,677
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Arroyo Seco,35,73,,368,,6,,32,301,780,38,818,1326
Arroyo Seco,36,50,,113,,2,,2,153,320,16,336,680
Arroyo Seco,37,8,,79,,0,,5,53,145,12,157,277
Arroyo Seco,38,1,,47,,1,,0,66,115,4,119,237
Arroyo Seco,39,66,,481,,3,,10,326,886,50,936,1649
Arroyo Seco,40,18,,83,,1,,2,56,160,11,171,294
Arroyo Seco,41,62,,271,,1,,0,197,531,22,553,900
Arroyo Seco,42,36,,239,,1,,15,198,489,17,506,852
Arroyo Seco,43,25,,238,,0,,1,180,444,30,474,783
Arroyo Seco,44,45,,76,,1,,0,89,211,7,218,321
Arroyo Seco,45,40,,674,,13,,7,381,1115,61,1176,1879
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cadereyta de Montes,46,343,,40,,107,53,28,593,1164,57,1221,2040
Cadereyta de Montes,47,333,,47,,80,31,10,492,993,41,1034,1546
Cadereyta de Montes,48,177,,24,,32,15,20,480,748,22,770,1097
Cadereyta de Montes,49,309,,24,,63,37,41,520,994,43,1037,1618
Cadereyta de Montes,50,318,,53,,89,41,23,587,1111,67,1178,1985
Cadereyta de Montes,51,236,,22,,170,16,19,468,931,30,961,1515
Cadereyta de Montes,52,123,,39,,18,2,1,133,316,22,338,983
Cadereyta de Montes,53,135,,14,,2,6,1,159,317,20,337,803
Cadereyta de Montes,54,144,,34,,7,11,7,141,344,25,369,685
Cadereyta de Montes,55,209,,41,,8,2,7,326,593,26,619,1094
Cadereyta de Montes,56,179,,85,,8,4,3,99,378,40,418,936
Cadereyta de Montes,57,168,,43,,5,1,3,107,327,32,359,630
Cadereyta de Montes,58,189,,26,,4,9,4,187,419,33,452,905
Cadereyta de Montes,59,63,,61,,3,24,5,196,352,42,394,897
Cadereyta de Montes,60,110,,60,,19,12,13,256,470,33,503,1311
Cadereyta de Montes,61,344,,31,,41,10,5,587,1018,41,1059,1571
Cadereyta de Montes,62,139,,7,,3,9,2,57,217,26,243,458
Cadereyta de Montes,63,122,,44,,4,14,4,193,381,40,421,816
Cadereyta de Montes,64,172,,5,,1,10,0,252,440,6,446,722
Cadereyta de Montes,65,227,,40,,19,30,10,388,714,39,753,1404
Cadereyta de Montes,66,522,,37,,74,15,18,627,1293,83,1376,2341
Cadereyta de Montes,67,74,,36,,6,12,7,180,315,24,339,838
Cadereyta de Montes,69,301,,27,,64,17,19,534,962,36,998,1627
Cadereyta de Montes,70,483,,75,,65,31,32,460,1146,65,1211,2341
Cadereyta de Montes,71,240,,37,,12,20,8,575,892,34,926,1628
Cadereyta de Montes,72,207,,57,,195,13,26,245,743,61,804,1299
Cadereyta de Montes,73,393,,40,,9,16,6,442,906,70,976,1979
Cadereyta de Montes,74,180,,55,,3,4,1,146,389,12,401,663
Cadereyta de Montes,75,359,,97,,14,30,20,264,784,33,817,1467
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Colón,76,18,,213,,17,10,13,266,907,31,938,1263
Colón,77,25,,256,,15,7,11,198,933,30,963,1303
Colón,78,30,,140,,20,31,7,216,831,34,865,1150
Colón,79,37,,298,,49,57,18,314,1522,65,1587,2148
Colón,80,19,,98,,5,1,2,79,258,38,296,434
Colón,81,20,,157,,13,0,4,114,682,52,734,1102
Colón,82,13,,97,,9,1,1,182,560,50,610,920
Colón,83,25,,328,,12,6,4,422,1310,83,1393,1983
Colón,84,9,,117,,13,3,0,154,572,38,610,910
Colón,85,28,,43,,3,4,4,105,455,34,489,813
Colón,86,25,,73,,2,2,4,213,553,27,580,930
Colón,87,31,,179,,22,8,4,192,864,44,908,1335
Colón,88,39,,259,,55,11,8,282,1137,67,1204,1845
Colón,89,23,,105,,7,21,33,193,980,56,1036,2034
Colón,90,10,,174,,2,2,3,156,685,35,720,1014
Colón,91,15,,43,,2,2,5,172,656,51,707,1060
Colón,92,71,,198,,27,10,5,294,1475,55,1530,2626
Colón,93,47,,124,,13,7,14,350,1194,51,1245,2167
Colón,94,11,,150,,8,5,18,182,971,57,1028,1758
Colón,95,35,,84,,2,14,10,168,801,21,822,1416
Colón,96,51,,95,,12,9,11,304,1113,20,1133,1901
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Corregidora,97,413,,112,,60,,20,456,1061,27,1088,1840
Corregidora,98,638,,126,,86,,14,574,1438,27,1465,2252
Corregidora,99,741,,120,,68,,13,664,1606,23,1629,2428
Corregidora,100,975,,108,,77,,18,467,1645,20,1665,2307
Corregidora,101,373,,79,,32,,7,523,1014,16,1030,1494
Corregidora,102,407,,82,,63,,13,510,1075,22,1097,1545
Corregidora,103,701,,188,,99,,23,645,1656,37,1693,2632
Corregidora,104,440,,85,,41,,13,426,1005,18,1023,1556
Corregidora,105,695,,180,,97,,28,784,1784,66,1850,3025
Corregidora,106,489,,128,,65,,15,363,1060,30,1090,1772
Corregidora,107,440,,120,,30,,8,399,997,24,1021,1618
Corregidora,108,483,,119,,35,,8,320,965,15,980,1733
Corregidora,109,544,,116,,29,,31,318,1038,21,1059,1711
Corregidora,110,754,,146,,48,,14,522,1484,15,1499,2201
Corregidora,111,471,,121,,58,,13,447,1110,23,1133,1764
Corregidora,112,4868,,819,,344,,90,1176,7297,61,7358,10131
Corregidora,113,2812,,407,,278,,30,656,4183,26,4209,5643
Corregidora,114,428,,134,,69,,30,609,1270,30,1300,2229
Corregidora,115,1076,,199,,75,,17,779,2146,62,2208,3553
Corregidora,116,261,,143,,97,,12,407,920,23,943,1504
Corregidora,117,310,,29,,15,,4,205,563,6,569,874
Corregidora,118,175,,93,,20,,8,414,710,42,752,1595
Corregidora,119,183,,25,,25,,1,292,526,28,554,893
Corregidora,120,252,,194,,31,,5,578,1060,57,1117,1938
Corregidora,121,374,,148,,44,,8,542,1116,33,1149,2133
Corregidora,688,184,,48,,33,,8,72,345,2,347,522
Corregidora,689,101,,25,,4,,5,52,187,10,197,378
Corregidora,690,47,,7,,1,,0,20,75,0,75,139
Corregidora,694,190,,41,,8,,2,80,321,2,323,589
Corregidora,695,145,,35,,9,,6,160,355,7,362,606
,,,,,,,,,,,,,
,,,,,,,,,,,,,
El Marqués,182,556,,413,,80,26,,213,1288,31,1319,1961
El Marqués,183,531,,461,,77,23,,262,1354,26,1380,2045
El Marqués,184,373,,286,,18,10,,210,897,22,919,1399
El Marqués,185,364,,398,,33,6,,256,1057,19,1076,1524
El Marqués,186,103,,30,,30,6,,156,325,0,325,497
El Marqués,187,219,,76,,7,0,,105,407,0,407,663
El Marqués,188,517,,118,,68,19,,557,1279,58,1337,2314
El Marqués,189,368,,221,,31,16,,392,1028,46,1074,1792
El Marqués,190,421,,210,,16,13,,411,1071,34,1105,1930
El Marqués,191,561,,260,,85,12,,406,1324,47,1371,2362
El Marqués,192,632,,110,,22,32,,278,1074,39,1113,1738
El Marqués,193,167,,93,,44,3,,409,716,13,729,1205
El Marqués,194,242,,80,,40,23,,238,623,27,650,1049
El Marqués,195,342,,202,,22,6,,692,1264,49,1313,1961
El Marqués,196,342,,155,,56,10,,648,1211,57,1268,2009
El Marqués,197,334,,99,,31,11,,385,860,27,887,1507
El Marqués,198,506,,107,,12,12,,375,1012,27,1039,1658
El Marqués,199,488,,117,,37,9,,349,1000,30,1030,1807
El Marqués,200,391,,249,,42,14,,291,987,21,1008,1561
El Marqués,201,444,,379,,38,35,,530,1426,37,1463,2144
El Marqués,202,391,,327,,50,20,,451,1239,53,1292,2414
El Marqués,203,716,,360,,35,17,,408,1536,33,1569,2481
El Marqués,204,452,,196,,34,22,,450,1154,40,1194,1887
El Marqués,205,851,,361,,38,56,,354,1660,29,1689,2625
El Marqués,206,338,,200,,31,41,,222,832,31,863,1406
El Marqués,207,431,,225,,56,36,,265,1013,41,1054,1763
El Marqués,208,418,,221,,24,217,,180,1060,51,1111,1925
El Marqués,209,270,,101,,21,31,,403,826,22,848,1273
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ezequiel Montes,122,272,304,187,80,74,,4,,921,32,953,1554
Ezequiel Montes,123,183,219,79,68,62,,4,,615,20,635,1070
Ezequiel Montes,124,266,377,166,44,78,,4,,935,20,955,1492
Ezequiel Montes,125,243,271,103,38,80,,13,,748,24,772,1236
Ezequiel Montes,126,374,400,101,45,62,,3,,985,32,1017,1465
Ezequiel Montes,127,304,349,226,26,50,,15,,970,18,988,1484
Ezequiel Montes,128,356,537,232,87,87,,14,,1313,61,1374,2326
Ezequiel Montes,129,188,293,81,62,25,,11,,660,3,663,1050
Ezequiel Montes,130,163,254,133,131,26,,13,,720,35,755,1285
Ezequiel Montes,131,139,85,87,269,30,,9,,619,24,643,1013
Ezequiel Montes,132,155,152,22,148,95,,3,,575,25,600,916
Ezequiel Montes,133,195,195,49,151,26,,35,,651,34,685,1260
Ezequiel Montes,134,169,198,35,131,39,,34,,606,28,634,1040
Ezequiel Montes,135,158,269,30,184,30,,39,,710,36,746,1194
Ezequiel Montes,136,114,197,34,154,40,,107,,646,50,696,1228
Ezequiel Montes,137,224,211,59,119,20,,8,,641,40,681,1033
Ezequiel Montes,138,73,124,24,16,40,,5,,282,15,297,419
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Huimilpan,139,544,,28,,13,3,,307,895,42,937,1678
Huimilpan,140,414,,22,,24,0,,184,644,34,678,1164
Huimilpan,141,680,,32,,3,11,,386,1112,38,1150,1657
Huimilpan,142,332,,25,,2,9,,106,474,18,492,714
Huimilpan,143,333,,11,,5,7,,253,609,35,644,1282
Huimilpan,144,382,,54,,11,40,,303,790,39,829,1508
Huimilpan,145,587,,18,,7,14,,247,873,32,905,1380
Huimilpan,146,306,,3,,5,1,,112,427,37,464,799
Huimilpan,147,636,,34,,8,5,,389,1072,41,1113,2007
Huimilpan,148,293,,9,,0,4,,215,521,14,535,1012
Huimilpan,149,251,,19,,10,4,,239,523,16,539,991
Huimilpan,150,250,,17,,2,2,,299,570,32,602,1452
