MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,Total,Comment
CANATLAN,1,B,137,170,47,23,1,0,0,0,2,380,0,6,386,
CANATLAN,2,B,104,124,22,9,0,0,0,1,0,260,0,6,266,
CANATLAN,2,C,140,106,19,5,0,0,0,0,2,272,1,3,276,
CANATLAN,3,B,133,169,19,20,0,0,0,0,1,342,0,5,347,
CANATLAN,3,C,112,140,28,27,1,0,0,0,1,309,0,6,315,
CANATLAN,4,B,136,109,21,19,2,0,0,6,2,295,0,10,305,
CANATLAN,5,B,103,160,17,14,3,0,0,0,0,297,0,3,300,
CANATLAN,5,C,107,156,32,10,2,0,0,0,0,307,0,5,312,
CANATLAN,6,B,129,176,22,26,0,0,0,0,2,355,0,0,355,
CANATLAN,6,C,158,167,34,33,0,0,0,2,2,396,0,13,409,
CANATLAN,7,B,99,175,36,20,1,0,0,0,0,331,0,11,342,
CANATLAN,8,B,46,121,2,1,0,0,0,0,0,170,0,0,170,
CANATLAN,8,C,54,115,3,1,1,0,0,3,0,177,0,3,180,
CANATLAN,9,B,115,149,38,19,1,0,0,0,1,323,0,13,336,
CANATLAN,10,B,22,71,0,1,0,0,0,0,0,94,0,7,101,
CANATLAN,11,B,12,30,0,9,1,0,0,0,3,55,0,1,56,
CANATLAN,12,B,37,12,3,4,0,0,0,1,0,57,0,1,58,
CANATLAN,13,B,98,142,3,25,2,0,0,1,5,276,0,0,276,
CANATLAN,14,B,79,152,8,7,1,0,0,0,2,249,0,0,249,
CANATLAN,15,B,36,112,11,35,0,0,0,1,0,195,0,2,197,
CANATLAN,15,X,44,26,5,3,0,0,0,0,0,78,0,3,81,
CANATLAN,15,X,28,23,6,48,0,0,0,0,0,105,0,4,109,
CANATLAN,16,B,12,41,0,0,0,0,0,0,0,53,0,0,53,
CANATLAN,16,X,14,31,0,0,0,0,0,1,0,46,0,2,48,
CANATLAN,16,X,4,43,0,2,0,0,0,0,0,49,0,1,50,
CANATLAN,17,B,43,29,0,3,0,0,0,0,1,76,0,0,76,
CANATLAN,18,B,12,20,4,1,0,0,0,0,0,37,0,4,41,
CANATLAN,22,X,37,69,5,1,0,0,0,0,0,112,0,0,112,
CANATLAN,23,B,104,124,11,13,0,0,0,3,1,256,0,11,267,
CANATLAN,24,B,59,96,2,35,1,0,0,1,1,195,0,6,201,
CANATLAN,25,B,75,110,77,7,5,0,0,8,9,291,0,9,300,
CANATLAN,26,B,57,70,7,30,0,0,0,0,3,167,0,9,176,
CANATLAN,26,C,72,75,4,26,3,0,0,0,0,180,0,5,185,
CANATLAN,27,B,63,83,13,11,2,0,0,0,0,172,3,9,184,
CANATLAN,27,C,85,94,7,7,2,0,0,0,3,198,0,18,216,
CANATLAN,28,B,138,125,17,12,2,0,0,0,1,295,0,3,298,
CANATLAN,29,B,88,92,17,11,2,0,0,1,0,211,0,8,219,
CANATLAN,29,C,111,87,19,20,3,0,0,1,1,242,0,6,248,
CANATLAN,30,B,81,75,16,22,0,0,0,3,5,202,0,6,208,
CANATLAN,30,C,111,80,9,19,2,0,0,5,1,227,0,3,230,
CANATLAN,31,B,107,137,24,23,3,0,0,1,3,298,0,6,304,
CANATLAN,32,B,61,65,9,25,1,0,0,0,2,163,0,1,164,
CANATLAN,33,B,34,58,10,1,0,0,0,1,4,108,0,0,108,
CANATLAN,34,B,9,53,0,3,0,0,0,0,0,65,0,0,65,
CANATLAN,35,B,14,72,5,3,0,0,0,15,1,110,0,1,111,
CANATLAN,36,B,5,36,0,2,0,0,0,0,3,46,0,0,46,
CANATLAN,37,B,50,109,4,29,0,0,0,1,4,197,0,4,201,
CANATLAN,37,C,63,133,6,15,2,0,0,0,4,223,0,2,225,
CANATLAN,38,B,95,114,0,36,0,0,0,0,0,245,0,21,266,
CANATLAN,39,B,6,76,2,34,0,0,0,0,1,119,0,0,119,
CANATLAN,40,B,67,77,5,0,0,0,0,0,1,150,0,5,155,
CANATLAN,40,X,42,52,17,15,0,0,0,0,0,126,0,3,129,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CANELAS,42,B,109,81,3,146,0,0,0,0,0,339,1,12,352,
CANELAS,43,B,13,3,0,32,0,0,0,0,0,48,5,1,54,
CANELAS,44,B,38,24,0,62,0,0,0,0,0,124,6,6,136,
CANELAS,45,B,13,5,0,24,0,0,0,0,0,42,0,1,43,
