ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,NA,PAN_PRD_MC,MORENA_PT_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,17439,10812,6622,44448,14601,93922,65,4457,98444,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,17520,6169,4665,56404,29679,114437,38,5175,119650,209948,
11,GUANAJUATO,3,LEON,88,298,8151,6975,1583,72399,18905,108013,67,2200,110280,186470,
11,GUANAJUATO,4,LEON,115,298,10331,5533,1480,51663,19060,88067,63,3162,91292,185354,
11,GUANAJUATO,5,LEON,99,293,8893,6088,1510,55818,18712,91021,98,2438,93557,183623,
11,GUANAJUATO,6,LEON,126,303,11671,6084,1400,54818,17933,91906,82,2603,94591,182252,
11,GUANAJUATO,7,LEON,206,364,11519,7893,2125,71920,22348,115805,45,2784,118634,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,14422,9670,3082,44089,22270,93533,72,3461,97066,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,11597,9883,2965,41096,22259,87800,58,4059,91917,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,20973,7654,1518,59814,13325,103284,33,2970,106287,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,15295,4316,2170,55098,27406,104285,68,2889,107242,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,14004,4351,2463,43370,31669,97148,97,2854,100099,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,15452,5506,2678,37421,23655,84712,47,2326,87085,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,10836,5975,3378,46169,47277,113635,109,3332,117076,212516,
11,GUANAJUATO,15,CELAYA,171,369,11697,9949,2756,50687,31173,106262,121,3189,109572,205305,
11,GUANAJUATO,16,CELAYA,110,320,9839,9084,3180,45752,31954,99809,129,2691,102629,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,6425,7346,7160,43929,21573,86433,105,3101,89639,165941,
11,GUANAJUATO,18,PENJAMO,185,395,19119,6176,2892,49524,28148,105859,41,3982,109882,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,11168,5235,5735,50571,22480,95189,66,3339,98594,217572,
11,GUANAJUATO,20,YURIRIA,212,437,24920,9297,2373,60775,29644,127009,48,4379,131436,247283,
11,GUANAJUATO,21,LEON,89,280,7894,7077,1913,59625,23400,99909,111,2047,102067,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,14421,6564,2394,45763,25960,95102,101,4695,99898,206340,
11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,,238,130,80,1576,2743,4767,9,50,4826,11532,
