ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,36548,17439,2766,10812,2162,5134,6622,11156,1283,93922,65,4457,98444,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,46905,17520,3883,6169,2514,5616,4665,25510,1655,114437,38,5175,119650,209948,
11,GUANAJUATO,3,LEON,88,298,69981,8151,1029,6975,2118,1389,1583,15477,1310,108013,67,2200,110280,186470,
11,GUANAJUATO,4,LEON,115,298,49023,10331,1279,5533,2417,1361,1480,15405,1238,88067,63,3162,88139,185354,
11,GUANAJUATO,5,LEON,99,293,52988,8893,1087,6088,2352,1741,1510,14918,1442,91019,98,2438,93557,183623,
11,GUANAJUATO,6,LEON,126,303,52109,11671,1230,6084,2389,1479,1400,14269,1275,91906,82,2603,94591,182252,
11,GUANAJUATO,7,LEON,206,364,68870,11519,1210,7893,2958,1840,2125,17753,1637,115805,45,2784,118634,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,39418,14422,2436,9670,2925,2235,3082,17735,1610,93533,72,3461,97066,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,37345,11597,1705,9883,2171,1873,2965,21893,2467,91899,58,4059,92127,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,56382,29973,957,7654,1567,1794,1518,10790,598,111233,33,2970,102233,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,51758,15295,1564,4316,3062,1776,2170,22295,2049,104285,68,2889,104353,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,40088,14004,1422,4351,2972,1860,2463,26293,2404,95857,97,2854,98808,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,34656,15452,1534,5506,2216,1231,2678,20452,987,84712,47,2326,87085,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,41818,10836,2083,5975,4539,2439,3378,40027,2710,113805,109,3332,117246,212516,
11,GUANAJUATO,15,CELAYA,171,369,46589,11697,1463,9949,2990,2635,2756,25447,2736,106262,121,3189,106433,205305,
11,GUANAJUATO,16,CELAYA,110,320,40768,9839,2495,9084,3047,2489,3180,25880,3027,99809,129,2691,99938,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,33950,6425,7866,7346,1590,2113,7160,18626,1357,86433,105,3101,89639,165941,
11,GUANAJUATO,18,PENJAMO,185,395,44569,19119,2472,6176,2798,2483,2892,23872,1478,105859,41,3982,105900,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,36598,11168,11807,5235,2711,2166,5735,18485,1284,95189,66,3339,98584,217572,
11,GUANAJUATO,20,YURIRIA,212,437,52959,24920,5487,9297,3110,2329,2373,24997,1537,127009,48,4379,131436,247283,
11,GUANAJUATO,21,LEON,89,280,56887,7894,1081,7077,2710,1657,1913,19080,1610,99909,111,2047,101635,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,32292,14421,6838,6564,2622,6633,2394,25364,1974,99102,101,4695,99198,206340,
11,GUANAJUATO,0,VOTO EN EL EXTRANJERO,0,,1388,238,99,130,229,89,80,2410,104,4767,9,50,4826,11532,
