ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,ABASOLO,50,117,13266,6953,443,1718,906,451,594,8415,447,111,60,25,23,232,102,45,14,33805,4,1092,34901,67145,
11,GUANAJUATO,2,ACAMBARO,90,175,14511,3035,5296,1803,1325,944,1256,12856,904,388,155,41,43,359,145,50,17,43128,86,1966,45180,95102,
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,223,26926,6283,1104,3143,1374,1205,2473,14241,1786,169,78,67,13,194,73,93,25,59247,41,2855,62143,126028,
11,GUANAJUATO,4,APASEO EL ALTO,44,90,5940,3160,674,1623,428,2613,541,8449,523,411,29,27,18,343,65,47,14,24905,9,993,25907,50108,
11,GUANAJUATO,5,APASEO EL GRANDE,43,113,10419,5314,462,6740,614,540,492,7422,495,66,28,15,4,123,51,30,7,32822,17,1204,34043,66615,
11,GUANAJUATO,6,ATARJEA,5,10,1650,594,28,178,42,42,46,530,23,7,7,1,0,5,3,2,1,3159,0,250,3409,4242,
11,GUANAJUATO,7,CELAYA,247,629,79519,18584,3311,18072,5009,4103,5511,47789,5084,833,216,189,54,1146,471,177,111,190179,242,5237,195658,373130,
11,GUANAJUATO,8,MANUEL DOBLADO,42,62,8419,6018,272,1192,206,103,138,1105,64,33,20,7,3,19,10,4,3,17616,9,597,18222,31241,
11,GUANAJUATO,9,COMONFORT,43,101,9720,2842,247,3426,503,1054,948,7410,437,68,43,20,17,75,39,16,8,26873,50,1317,28240,59583,
11,GUANAJUATO,10,CORONEO,10,18,2690,1746,47,472,113,60,69,502,42,11,10,2,1,8,5,2,0,5780,1,253,6034,9461,
11,GUANAJUATO,11,CORTAZAR,55,131,11905,1979,5150,1181,629,304,1023,4138,293,95,85,16,18,59,22,16,10,26923,17,690,27630,74090,
11,GUANAJUATO,12,CUERAMARO,21,40,6020,1612,211,660,348,712,581,1309,76,38,11,12,3,12,62,5,7,11679,1,465,12145,23226,
11,GUANAJUATO,13,DOCTOR MORA,12,30,5135,899,535,221,197,1810,345,1548,95,31,13,43,8,28,11,25,1,10945,2,363,11310,18050,
11,GUANAJUATO,14,DOLORES HIDALGO CIN,71,192,20955,11715,1394,5344,1768,2140,2649,7608,1170,313,73,51,20,140,139,24,15,55518,47,2897,58462,112026,
11,GUANAJUATO,15,GUANAJUATO,93,238,30064,8406,1636,6801,1812,952,2037,13554,842,328,136,66,14,309,138,60,22,67177,47,1943,69167,137513,
11,GUANAJUATO,16,HUANIMARO,13,29,4249,455,490,1361,152,844,220,1230,125,185,15,15,3,52,6,5,5,9412,2,392,9806,16900,
11,GUANAJUATO,17,IRAPUATO,249,680,91217,29299,2468,8667,5331,3112,4633,47829,3874,1041,272,284,74,1258,460,214,109,200142,165,5743,206050,415087,
