Municpio,Seccion,PAN,PRI,PRD,PFCRN,PT,PVEM,PRS,PPBC,Otros,Nulos
TECATE,1,175,306,54,0,0,0,0,4,0,10
TECATE,2,162,280,22,0,0,0,0,1,0,10
TECATE,3,346,462,36,0,0,0,0,8,0,20
TECATE,4,270,502,28,0,0,0,0,4,0,13
TECATE,5,192,258,16,0,0,0,0,4,0,8
TECATE,6,192,350,21,0,0,0,0,2,0,13
TECATE,7,239,476,24,0,0,0,0,3,0,20
TECATE,8,225,435,34,0,0,0,0,2,0,15
TECATE,9,147,256,46,0,0,0,0,3,0,21
TECATE,10,198,463,37,0,0,4,0,2,0,13
TECATE,11,120,272,21,0,0,0,0,5,0,5
TECATE,12,234,496,38,0,0,0,0,8,0,12
TECATE,13,252,376,43,0,0,0,0,13,0,14
TECATE,14,195,419,11,0,0,0,0,2,0,10
TECATE,15,151,390,16,0,0,1,0,0,0,14
TECATE,16,222,316,22,0,0,0,0,5,0,13
TECATE,17,209,255,19,0,0,0,0,1,0,17
TECATE,18,231,461,44,0,0,0,0,9,0,18
TECATE,19,209,372,44,0,0,0,0,13,0,17
TECATE,20,205,418,25,0,0,0,0,3,0,28
TECATE,21,171,451,34,0,0,0,0,15,0,14
TECATE,22,145,305,223,2,2,0,0,5,0,24
TECATE,23,159,340,58,0,0,0,0,10,0,20
TECATE,24,181,357,42,0,0,0,0,11,0,15
TECATE,25,97,336,19,0,0,0,0,1,0,19
TECATE,26,182,342,29,0,0,0,0,4,0,22
TECATE,27,195,339,22,0,0,0,0,7,0,20
TECATE,28,155,318,37,0,0,0,0,3,0,14
TECATE,29,179,477,59,0,0,0,0,5,0,30
TECATE,30,196,478,49,7,0,0,0,2,0,28
TECATE,31,139,326,80,0,0,0,0,4,0,25
TECATE,32,140,166,18,0,0,0,0,4,0,17
TECATE,33,116,195,35,0,0,0,0,3,0,15
TECATE,34,63,155,13,4,0,0,0,0,0,18
TECATE,35,58,100,2,0,0,0,0,1,0,5
TECATE,36,91,171,11,0,0,0,0,5,0,16
TECATE,37,94,183,12,0,1,0,0,1,0,0
TECATE,38,51,65,7,0,0,0,0,0,0,6
TECATE,39,29,95,2,0,0,0,0,0,0,9
TECATE,40,75,134,14,0,0,0,0,1,0,5
TECATE,41,64,146,5,0,0,0,0,2,0,11
MEXICALI,42,225,186,27,0,9,0,2,2,0,10
MEXICALI,43,231,165,5,0,5,0,3,0,0,15
MEXICALI,44,249,207,10,2,7,0,3,1,0,27
MEXICALI,45,190,192,16,1,6,0,3,2,0,29
MEXICALI,46,206,188,19,0,4,0,4,4,0,25
MEXICALI,47,124,142,6,3,5,0,3,0,0,7
MEXICALI,48,126,143,12,1,4,0,0,3,0,13
MEXICALI,49,170,152,1,0,4,0,4,0,0,9
MEXICALI,50,234,210,19,1,5,0,3,3,0,9
MEXICALI,51,237,242,12,6,16,0,6,2,0,10
MEXICALI,52,211,240,11,0,8,0,1,1,0,12
MEXICALI,53,218,215,16,0,11,0,5,0,0,13
MEXICALI,54,219,153,7,2,8,0,4,2,0,9
MEXICALI,55,219,205,9,0,6,0,1,2,0,14
MEXICALI,56,212,183,10,1,9,0,2,1,0,10
MEXICALI,57,221,211,16,3,11,0,5,5,0,19
MEXICALI,58,198,154,10,0,2,0,5,1,0,9
MEXICALI,59,143,131,4,1,3,0,1,0,0,6
MEXICALI,60,171,120,5,1,5,0,1,1,0,12
MEXICALI,61,155,146,10,2,5,0,8,3,0,14
MEXICALI,62,199,165,8,0,3,0,3,0,0,6
MEXICALI,63,298,256,9,4,6,0,4,1,0,29
MEXICALI,64,213,206,10,5,5,0,1,0,0,16
MEXICALI,65,304,285,17,4,21,0,10,3,0,22
MEXICALI,66,277,289,11,2,17,0,8,1,0,25
MEXICALI,67,250,170,10,0,11,0,6,0,0,21
MEXICALI,68,221,210,13,2,5,0,10,1,0,17
MEXICALI,69,257,228,10,0,8,0,2,2,0,10
MEXICALI,70,172,128,19,1,2,0,3,1,0,12
MEXICALI,71,161,209,8,1,1,0,2,0,0,13
MEXICALI,72,192,212,5,1,2,0,12,2,0,18
MEXICALI,73,210,152,12,3,7,0,5,2,0,17
MEXICALI,74,231,165,10,2,9,0,3,3,0,19
MEXICALI,75,170,155,8,2,4,0,3,2,0,10
MEXICALI,76,185,156,16,1,3,0,3,1,0,15
MEXICALI,77,214,198,19,2,4,0,7,2,0,25
MEXICALI,78,225,260,13,0,9,0,7,1,0,14
MEXICALI,79,227,199,9,2,6,0,6,1,0,9
MEXICALI,80,260,191,12,3,9,0,7,2,0,17
MEXICALI,81,290,192,12,0,2,0,8,3,0,15
MEXICALI,82,293,270,17,3,6,0,4,2,0,17
MEXICALI,83,276,230,11,0,3,0,2,2,0,12
MEXICALI,84,261,215,5,1,2,0,12,1,0,15
MEXICALI,85,292,181,6,1,6,0,2,0,0,13
MEXICALI,86,215,183,8,1,4,0,3,0,0,13
MEXICALI,87,320,242,9,5,3,0,5,2,0,25
MEXICALI,88,279,214,8,2,3,0,5,2,0,19
MEXICALI,89,360,253,12,3,7,0,5,4,0,41
MEXICALI,90,256,198,4,1,2,0,2,0,0,2
MEXICALI,91,280,292,12,1,4,1,0,1,0,9
MEXICALI,92,52,90,4,0,2,0,1,1,0,6
MEXICALI,93,347,310,11,3,14,0,8,4,0,16
MEXICALI,94,328,317,18,3,13,0,16,6,0,27
MEXICALI,95,259,274,18,3,12,0,11,1,0,17
MEXICALI,96,243,213,13,1,14,0,2,0,0,16
MEXICALI,97,289,199,8,1,2,0,3,0,0,2
MEXICALI,98,307,266,5,0,5,0,5,5,0,15
MEXICALI,99,203,187,7,3,3,0,2,1,0,5
MEXICALI,100,221,244,8,1,2,0,4,6,0,4
MEXICALI,101,348,240,17,2,5,0,5,1,0,15
MEXICALI,102,246,188,6,0,5,0,3,4,0,6
MEXICALI,103,369,263,16,2,1,0,2,2,1,6
MEXICALI,104,325,241,18,3,3,0,5,4,0,15
MEXICALI,105,362,261,12,0,6,0,10,5,0,22
MEXICALI,106,277,268,7,7,5,0,6,2,0,9
MEXICALI,107,303,238,12,3,14,0,4,1,0,8
MEXICALI,108,460,337,16,2,6,0,7,4,0,21
MEXICALI,109,166,219,12,0,3,0,5,0,0,8
MEXICALI,110,281,237,13,4,4,0,3,2,0,20
MEXICALI,111,219,254,17,1,6,0,4,1,0,29
MEXICALI,112,290,213,7,2,8,0,6,5,0,9
MEXICALI,113,324,200,11,2,6,0,2,1,0,7
MEXICALI,114,240,202,7,2,8,0,1,6,0,9
MEXICALI,115,195,210,12,0,3,0,12,1,0,22
MEXICALI,116,209,193,13,4,7,0,5,0,0,13
MEXICALI,117,310,240,10,7,7,0,0,5,0,15
MEXICALI,118,116,102,10,1,2,0,8,2,2,7
MEXICALI,119,169,182,7,2,1,0,2,0,0,0
MEXICALI,120,200,153,6,1,2,0,0,3,0,5
MEXICALI,121,125,158,4,2,1,0,4,0,0,0
MEXICALI,122,280,280,12,3,2,0,1,2,0,5
MEXICALI,123,266,219,12,0,2,0,3,2,0,8
MEXICALI,124,231,258,11,0,1,0,3,2,0,6
MEXICALI,125,218,224,9,2,4,0,8,4,1,2
MEXICALI,126,273,286,6,0,1,0,4,3,0,4
MEXICALI,127,261,213,5,0,8,0,5,2,0,8
MEXICALI,128,220,217,5,1,4,0,4,2,0,21
MEXICALI,129,240,281,6,1,7,4,2,2,0,11
MEXICALI,130,294,277,7,2,4,0,1,3,0,9
MEXICALI,131,227,274,5,1,0,0,1,3,0,7
MEXICALI,132,232,212,3,1,3,0,4,2,0,1
MEXICALI,133,271,304,7,2,2,0,4,0,0,6
MEXICALI,134,237,225,6,2,2,0,1,0,0,4
MEXICALI,135,277,344,11,2,7,0,3,3,0,18
MEXICALI,136,278,293,13,1,3,0,5,7,0,28
MEXICALI,137,198,204,5,1,2,0,1,3,1,13
MEXICALI,138,210,196,13,0,2,0,2,3,0,23
MEXICALI,139,184,119,15,3,2,0,2,1,0,3
MEXICALI,140,168,200,6,1,4,0,1,1,0,17
MEXICALI,141,210,216,6,3,5,0,1,0,1,14
MEXICALI,142,157,227,7,0,4,0,4,1,0,5
MEXICALI,143,293,299,10,0,3,0,0,0,0,13
MEXICALI,144,213,239,4,3,5,0,2,0,1,11
MEXICALI,145,303,266,9,3,4,0,1,0,0,12
MEXICALI,146,344,406,21,3,8,0,9,0,0,15
MEXICALI,147,232,233,4,0,2,0,8,0,1,15
MEXICALI,148,253,220,10,3,5,0,2,0,0,8
MEXICALI,149,282,254,9,2,5,0,3,3,0,11
MEXICALI,150,239,221,8,1,4,0,2,2,0,17
MEXICALI,151,199,252,8,1,6,0,2,4,0,12
MEXICALI,152,466,579,19,2,5,0,8,5,0,9
MEXICALI,153,398,295,7,1,7,0,2,3,0,25
MEXICALI,154,325,408,9,3,1,0,11,4,0,5
MEXICALI,155,280,336,15,0,3,0,0,2,0,19
MEXICALI,156,285,273,16,2,7,0,3,3,0,13
MEXICALI,157,152,174,19,1,2,0,2,0,0,11
MEXICALI,158,270,198,3,1,4,0,7,3,0,15
MEXICALI,159,349,245,6,1,4,0,5,1,0,13
MEXICALI,160,201,174,6,2,1,0,2,2,0,14
MEXICALI,161,297,246,17,1,4,0,2,1,0,3
MEXICALI,162,226,280,14,2,1,0,6,2,0,4
MEXICALI,163,315,302,7,3,6,0,0,3,0,11
MEXICALI,164,306,281,8,7,5,0,6,2,0,22
MEXICALI,165,238,246,5,1,3,0,3,0,0,1
MEXICALI,166,247,222,8,17,18,0,5,5,0,16
MEXICALI,167,170,193,7,3,9,0,1,1,0,13
MEXICALI,168,369,312,14,3,4,0,2,1,0,25
MEXICALI,169,220,213,7,2,3,0,17,2,0,4
MEXICALI,170,234,216,19,3,7,0,3,2,0,5
MEXICALI,171,276,230,8,0,2,0,0,1,0,5
MEXICALI,172,313,210,6,4,5,0,7,1,1,8
MEXICALI,173,353,281,13,3,1,0,5,4,0,7
MEXICALI,174,261,202,8,2,5,0,1,4,0,8
MEXICALI,175,324,238,10,1,9,0,3,1,0,10
MEXICALI,176,397,339,14,2,7,0,6,5,0,28
MEXICALI,177,224,218,21,15,11,0,3,8,0,5
MEXICALI,178,216,219,16,2,5,0,20,0,0,12
MEXICALI,179,227,270,8,7,5,0,8,3,0,11
MEXICALI,180,332,282,8,3,5,0,8,5,0,18
MEXICALI,181,354,213,8,1,3,0,5,3,1,6
MEXICALI,182,288,236,12,0,8,0,2,2,0,11
MEXICALI,183,312,222,16,2,2,0,5,1,0,12
MEXICALI,184,355,257,15,1,8,0,2,0,0,13
MEXICALI,185,360,286,13,4,1,0,6,2,0,4
MEXICALI,186,309,225,6,2,3,0,2,3,0,6
MEXICALI,187,340,337,13,2,3,0,15,3,0,29
MEXICALI,188,307,241,15,1,4,0,40,3,2,31
MEXICALI,189,301,244,11,3,7,0,17,2,0,12
MEXICALI,190,160,174,2,1,0,0,33,1,0,14
MEXICALI,191,248,198,11,2,5,0,14,1,0,14
MEXICALI,192,237,329,15,1,3,0,13,1,0,17
MEXICALI,193,332,272,13,5,4,0,8,1,1,7
MEXICALI,194,215,207,10,2,8,0,12,1,0,17
MEXICALI,195,308,199,11,2,5,0,43,3,0,12
MEXICALI,196,308,234,16,5,6,0,68,1,0,12
MEXICALI,197,327,210,10,1,4,0,7,2,0,6
MEXICALI,198,265,176,36,4,1,0,12,1,3,19
MEXICALI,199,303,248,5,0,1,0,3,2,0,13
MEXICALI,200,276,201,8,1,3,1,3,1,0,14
MEXICALI,201,249,208,5,2,3,0,3,2,1,5
MEXICALI,202,292,216,11,3,1,0,8,1,0,15
MEXICALI,203,244,224,9,0,4,0,3,3,0,10
MEXICALI,204,484,365,21,7,3,0,5,1,0,16
MEXICALI,205,334,272,11,0,6,0,2,1,0,15
MEXICALI,206,361,265,18,2,5,0,9,3,0,20
MEXICALI,207,401,231,9,1,6,0,2,3,0,23
MEXICALI,208,435,264,15,1,4,0,3,5,0,24
MEXICALI,209,348,210,7,0,1,0,5,2,0,8
